,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Foot_and_mouth_disease_virus_type_O,HLA-A02:07,Q9DLK1|Q9DLK1_FMDVP,50,203,10.434000000000001,195.77,0.4406994424733908,0.6770253352791861
1,Foot_and_mouth_disease_virus_type_O,HLA-A02:03,Q9DLK1|Q9DLK1_FMDVP,74,225,20.532,241.87400000000002,0.8672072985301572,0.8364653723518305
2,Foot_and_mouth_disease_virus_type_O,HLA-A66:01,Q9DLK1|Q9DLK1_FMDVP,65,242,14.158999999999999,249.08699999999996,0.5980317621219801,0.8614098671333023
3,Foot_and_mouth_disease_virus_type_O,HLA-A31:08,Q9DLK1|Q9DLK1_FMDVP,48,208,11.612,210.85000000000002,0.4904544686602467,0.7291760328120569
4,Foot_and_mouth_disease_virus_type_O,HLA-A02:36,Q9DLK1|Q9DLK1_FMDVP,60,198,16.256,216.75699999999992,0.6866024666328773,0.749604028191809
5,Foot_and_mouth_disease_virus_type_O,HLA-A68:03,Q9DLK1|Q9DLK1_FMDVP,64,214,16.42,229.694,0.6935293123838487,0.7943436551137424
6,Foot_and_mouth_disease_virus_type_O,HLA-A26:01,Q9DLK1|Q9DLK1_FMDVP,67,233,16.911,248.062,0.7142676127724279,0.8578651413394567
7,Foot_and_mouth_disease_virus_type_O,HLA-A33:01,Q9DLK1|Q9DLK1_FMDVP,63,206,15.059999999999999,213.36599999999999,0.6360871768879878,0.7378770377850477
8,Foot_and_mouth_disease_virus_type_O,HLA-A29:01,Q9DLK1|Q9DLK1_FMDVP,63,230,15.29,228.21499999999997,0.645801655685082,0.789228875163403
9,Foot_and_mouth_disease_virus_type_O,HLA-A24:07,Q9DLK1|Q9DLK1_FMDVP,48,211,11.055000000000001,206.33499999999998,0.46692853522554495,0.7135619479738
10,Foot_and_mouth_disease_virus_type_O,HLA-A02:13,Q9DLK1|Q9DLK1_FMDVP,65,219,17.767000000000003,229.535,0.7504223686433521,0.7937937903320629
11,Foot_and_mouth_disease_virus_type_O,HLA-B15:02,Q9DLK1|Q9DLK1_FMDVP,56,254,12.844999999999999,251.08799999999997,0.5425325223855381,0.8683298635367024
12,Foot_and_mouth_disease_virus_type_O,HLA-B46:01,Q9DLK1|Q9DLK1_FMDVP,60,260,12.800999999999998,243.28499999999997,0.5406741003547896,0.8413449900056021
13,Foot_and_mouth_disease_virus_type_O,HLA-B38:02,Q9DLK1|Q9DLK1_FMDVP,85,258,23.114,280.72700000000003,0.9762628822436223,0.9708295004184505
14,Foot_and_mouth_disease_virus_type_O,HLA-B54:01,Q9DLK1|Q9DLK1_FMDVP,51,216,14.704,215.00900000000001,0.6210508531846597,0.7435589738624023
15,Foot_and_mouth_disease_virus_type_O,HLA-B13:02,Q9DLK1|Q9DLK1_FMDVP,57,215,14.206000000000001,224.70600000000002,0.6000168947457342,0.7770938090067159
16,Foot_and_mouth_disease_virus_type_O,HLA-B14:05,Q9DLK1|Q9DLK1_FMDVP,61,224,14.945,231.531,0.6312299374894408,0.8006964953901272
17,Foot_and_mouth_disease_virus_type_O,HLA-B45:01,Q9DLK1|Q9DLK1_FMDVP,47,190,10.773000000000001,192.166,0.4550177394830209,0.6645617335611179
18,Foot_and_mouth_disease_virus_type_O,HLA-B55:02,Q9DLK1|Q9DLK1_FMDVP,58,231,14.74,234.077,0.6225713803007266,0.8095012484351332
