,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_metapneumovirus,DRB1_1402,Q6WB93|L_HMPVC,95,657,41.95000000000001,1521.8600000000001,0.37485479403091776,0.5750289052286347
1,Human_metapneumovirus,DRB1_1402,Q6WB94|VGLG_HMPVC,10,57,4.859999999999999,137.36,0.14967662457653216,0.22891425714523794
2,Human_metapneumovirus,DRB1_1402,Q6WB95|SH_HMPVC,0,44,0.0,98.24000000000001,0.0,0.46656534954407297
3,Human_metapneumovirus,DRB1_1402,Q6WB96|M22_HMPVC,0,13,0.0,23.120000000000005,0.0,0.10569142857142859
4,Human_metapneumovirus,DRB1_1402,Q6WB97|M21_HMPVC,2,80,0.24,132.27000000000004,0.007130124777183601,0.37698797241064824
5,Human_metapneumovirus,DRB1_1402,Q6WB98|FUS_HMPVC,36,134,23.68,351.3,0.48986346710798506,0.3843965422912792
6,Human_metapneumovirus,DRB1_1402,Q6WB99|MATRX_HMPVC,59,141,39.480000000000004,451.52000000000004,0.6250791640278658,0.6418194740582801
7,Human_metapneumovirus,DRB1_1402,Q6WBA1|NCAP_HMPVC,5,76,0.8499999999999996,146.19000000000003,0.016508059817440274,0.24966271027239353
8,Human_metapneumovirus,DRB1_1402,Q8B9Q8|PHOSP_HMPVC,42,179,17.3,479.2,0.16739235607160136,0.3951154756309727
9,Human_metapneumovirus,DRB1_1406,Q6WB93|L_HMPVC,77,565,32.91,1252.15,0.29407559646144216,0.47312002660036734
10,Human_metapneumovirus,DRB1_1406,Q6WB94|VGLG_HMPVC,5,70,0.6000000000000005,150.56,0.018478595626732385,0.2509124239646696
11,Human_metapneumovirus,DRB1_1406,Q6WB95|SH_HMPVC,2,39,0.08000000000000007,91.82,0.002677376171352077,0.4360752279635258
12,Human_metapneumovirus,DRB1_1406,Q6WB96|M22_HMPVC,2,22,0.4900000000000002,61.76,0.014420247204237792,0.28233142857142857
13,Human_metapneumovirus,DRB1_1406,Q6WB97|M21_HMPVC,15,90,4.479999999999999,215.94,0.1330956625074272,0.6154591574987174
14,Human_metapneumovirus,DRB1_1406,Q6WB98|FUS_HMPVC,31,199,11.830000000000005,507.05999999999995,0.24472486553578826,0.5548309443046284
15,Human_metapneumovirus,DRB1_1406,Q6WB99|MATRX_HMPVC,1,47,0.09999999999999998,92.48000000000002,0.0015832805573147558,0.13145700071073207
16,Human_metapneumovirus,DRB1_1406,Q6WBA1|NCAP_HMPVC,34,162,14.439999999999998,412.7,0.2804428044280442,0.7048074459909487
17,Human_metapneumovirus,DRB1_1406,Q8B9Q8|PHOSP_HMPVC,71,220,33.99999999999999,667.3799999999999,0.3289791969037251,0.5502758057733692
18,Human_metapneumovirus,DRB1_1405,Q6WB93|L_HMPVC,99,636,45.58000000000001,1521.48,0.40729157358591733,0.5748853237007762
19,Human_metapneumovirus,DRB1_1405,Q6WB94|VGLG_HMPVC,20,95,7.739999999999998,248.66,0.2383738835848475,0.4143988000999917
20,Human_metapneumovirus,DRB1_1405,Q6WB95|SH_HMPVC,0,33,0.0,49.08,0.0,0.23309270516717323
21,Human_metapneumovirus,DRB1_1405,Q6WB96|M22_HMPVC,2,31,0.47,70.97,0.013831665685697467,0.32443428571428573
22,Human_metapneumovirus,DRB1_1405,Q6WB97|M21_HMPVC,10,85,2.55,207.0,0.07575757575757576,0.5899789089665394
23,Human_metapneumovirus,DRB1_1405,Q6WB98|FUS_HMPVC,26,164,14.590000000000002,398.09000000000003,0.3018204385601986,0.4355947040157567
24,Human_metapneumovirus,DRB1_1405,Q6WB99|MATRX_HMPVC,9,79,2.16,218.39999999999998,0.034198860037998734,0.31044776119402984
25,Human_metapneumovirus,DRB1_1405,Q6WBA1|NCAP_HMPVC,34,201,16.229999999999997,491.47,0.315206836278889,0.8393305439330545
26,Human_metapneumovirus,DRB1_1405,Q8B9Q8|PHOSP_HMPVC,52,206,18.96,557.78,0.1834542815674891,0.4599071577576042
27,Human_metapneumovirus,DRB1_1602,Q6WB93|L_HMPVC,86,609,35.830000000000005,1345.13,0.3201679921365383,0.5082521593906099
28,Human_metapneumovirus,DRB1_1602,Q6WB94|VGLG_HMPVC,0,16,0.0,24.409999999999997,0.0,0.040679943338055156
29,Human_metapneumovirus,DRB1_1602,Q6WB95|SH_HMPVC,0,47,0.0,78.6,0.0,0.37329027355623096
30,Human_metapneumovirus,DRB1_1602,Q6WB96|M22_HMPVC,0,0,0.0,0.0,0.0,0.0
31,Human_metapneumovirus,DRB1_1602,Q6WB97|M21_HMPVC,42,98,30.5,302.09000000000003,0.9061200237670827,0.8609986889357579
32,Human_metapneumovirus,DRB1_1602,Q6WB98|FUS_HMPVC,11,102,2.7699999999999996,204.39000000000004,0.057302441042614796,0.2236459131195974
33,Human_metapneumovirus,DRB1_1602,Q6WB99|MATRX_HMPVC,4,58,1.0499999999999998,126.33999999999997,0.016624445851804937,0.1795877754086709
34,Human_metapneumovirus,DRB1_1602,Q6WBA1|NCAP_HMPVC,0,48,0.0,83.50999999999999,0.0,0.14261805140466227
35,Human_metapneumovirus,DRB1_1602,Q8B9Q8|PHOSP_HMPVC,11,44,3.3900000000000006,109.99,0.0328011611030479,0.0906902152851642
36,Human_metapneumovirus,DRB1_1201,Q6WB93|L_HMPVC,97,730,44.05,1663.46,0.3936198731123223,0.6285319166622585
37,Human_metapneumovirus,DRB1_1201,Q6WB94|VGLG_HMPVC,1,68,0.020000000000000018,161.45000000000002,0.0006159531875577462,0.26906091159070084
38,Human_metapneumovirus,DRB1_1201,Q6WB95|SH_HMPVC,0,3,0.0,1.5500000000000007,0.0,0.007361322188449851
39,Human_metapneumovirus,DRB1_1201,Q6WB96|M22_HMPVC,9,43,2.66,129.02999999999997,0.07828134196586227,0.5898514285714285
40,Human_metapneumovirus,DRB1_1201,Q6WB97|M21_HMPVC,38,105,19.130000000000003,332.75,0.5683303624480096,0.9483839708145699
41,Human_metapneumovirus,DRB1_1201,Q6WB98|FUS_HMPVC,6,157,0.7300000000000004,309.94,0.015101365328920157,0.3391399496662655
42,Human_metapneumovirus,DRB1_1201,Q6WB99|MATRX_HMPVC,0,86,0.0,145.00999999999993,0.0,0.20612651030561469
43,Human_metapneumovirus,DRB1_1201,Q6WBA1|NCAP_HMPVC,17,126,4.959999999999999,315.29,0.09632938434647502,0.5384510289471438
44,Human_metapneumovirus,DRB1_1201,Q8B9Q8|PHOSP_HMPVC,0,87,0.0,177.01,0.0,0.14595031373422052
45,Human_metapneumovirus,DRB1_0411,Q6WB93|L_HMPVC,74,499,30.940000000000005,1158.3599999999997,0.27647216513269596,0.43768183844811026
46,Human_metapneumovirus,DRB1_0411,Q6WB94|VGLG_HMPVC,21,94,7.519999999999998,256.63,0.2315983985217123,0.4276810265811183
47,Human_metapneumovirus,DRB1_0411,Q6WB95|SH_HMPVC,10,46,2.8400000000000007,122.03999999999998,0.09504685408299868,0.5795972644376899
48,Human_metapneumovirus,DRB1_0411,Q6WB96|M22_HMPVC,0,11,0.0,17.049999999999997,0.0,0.07794285714285713
49,Human_metapneumovirus,DRB1_0411,Q6WB97|M21_HMPVC,0,41,0.0,73.28,0.0,0.20885823405346862
50,Human_metapneumovirus,DRB1_0411,Q6WB98|FUS_HMPVC,20,146,5.85,317.96000000000004,0.12101779064956557,0.34791552686289534
51,Human_metapneumovirus,DRB1_0411,Q6WB99|MATRX_HMPVC,4,68,0.2799999999999998,155.78999999999996,0.004433185560481314,0.22144989339019186
52,Human_metapneumovirus,DRB1_0411,Q6WBA1|NCAP_HMPVC,18,75,8.72,180.20000000000002,0.16935327248009321,0.3077448552642815
53,Human_metapneumovirus,DRB1_0411,Q8B9Q8|PHOSP_HMPVC,54,161,24.96,479.56,0.24150943396226415,0.3954123069565719
54,Human_metapneumovirus,DRB1_0405,Q6WB93|L_HMPVC,72,524,34.89,1211.7999999999997,0.31176838530962375,0.45787393541854005
55,Human_metapneumovirus,DRB1_0405,Q6WB94|VGLG_HMPVC,35,44,26.369999999999997,184.17000000000002,0.8121342777948876,0.306924422964753
56,Human_metapneumovirus,DRB1_0405,Q6WB95|SH_HMPVC,4,56,1.5700000000000003,127.13999999999999,0.05254350736278448,0.6038183890577506
57,Human_metapneumovirus,DRB1_0405,Q6WB96|M22_HMPVC,0,0,0.0,0.0,0.0,0.0
58,Human_metapneumovirus,DRB1_0405,Q6WB97|M21_HMPVC,0,49,0.0,89.36000000000001,0.0,0.25468847973550707
59,Human_metapneumovirus,DRB1_0405,Q6WB98|FUS_HMPVC,9,104,1.7200000000000006,242.92000000000002,0.035581299131154334,0.26580588685851847
60,Human_metapneumovirus,DRB1_0405,Q6WB99|MATRX_HMPVC,14,39,4.989999999999998,116.33,0.0790056998100063,0.1653589196872779
61,Human_metapneumovirus,DRB1_0405,Q6WBA1|NCAP_HMPVC,2,62,0.050000000000000044,142.85000000000002,0.0009710623422023702,0.2439586713346427
62,Human_metapneumovirus,DRB1_0405,Q8B9Q8|PHOSP_HMPVC,42,111,20.45,328.74,0.19787131107885822,0.27105647215969525
63,Human_metapneumovirus,DRB1_0406,Q6WB93|L_HMPVC,53,364,25.41,776.0999999999999,0.22705745688499684,0.2932463783448828
64,Human_metapneumovirus,DRB1_0406,Q6WB94|VGLG_HMPVC,18,105,7.1800000000000015,285.11,0.22112719433323072,0.4751437380218316
65,Human_metapneumovirus,DRB1_0406,Q6WB95|SH_HMPVC,1,43,0.12,80.83000000000001,0.004016064257028112,0.3838810790273557
66,Human_metapneumovirus,DRB1_0406,Q6WB96|M22_HMPVC,0,10,0.0,12.100000000000001,0.0,0.05531428571428572
67,Human_metapneumovirus,DRB1_0406,Q6WB97|M21_HMPVC,0,61,0.0,103.72000000000003,0.0,0.2956164852077752
68,Human_metapneumovirus,DRB1_0406,Q6WB98|FUS_HMPVC,45,207,15.200000000000003,530.8299999999999,0.31443938767066615,0.580840354524565
69,Human_metapneumovirus,DRB1_0406,Q6WB99|MATRX_HMPVC,20,117,7.700000000000001,286.84999999999997,0.12191260291323623,0.40774697938877036
70,Human_metapneumovirus,DRB1_0406,Q6WBA1|NCAP_HMPVC,41,106,27.1,320.83000000000004,0.5263157894736842,0.547912219281018
