,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,H1N1,DRB1_1402,P03428|PB2_I34A1,61,333,26.53,820.2,0.22924047351594226,0.6540722015327076
1,H1N1,DRB1_1402,P03431|RDRP_I34A1,35,202,11.89,441.4,0.21296793838438113,0.4792616720955483
2,H1N1,DRB1_1402,P03433|PA_I34A1,22,208,11.68,424.4,0.21037463976945245,0.4432792638472546
3,H1N1,DRB1_1402,P03452|HEMA_I34A1,56,195,28.2,535.61,0.8676923076923077,0.8908867117978743
4,H1N1,DRB1_1402,P03466|NCAP_I34A1,27,162,8.23,397.7,0.16731042894897338,0.505799460751895
5,H1N1,DRB1_1402,P03468|NRAM_I34A1,10,52,2.8,122.19999999999999,0.05924672027084215,0.18270984719356478
6,H1N1,DRB1_1402,P03485|M1_I34A1,2,71,0.3500000000000001,128.99,0.007512341704228377,0.2522193109381722
7,H1N1,DRB1_1402,P03496|NS1_I34A1,0,23,0.0,20.260000000000005,0.0,0.04817844573385334
8,H1N1,DRB1_1402,P03508|NEP_I34A1,0,3,0.0,2.1999999999999993,0.0,0.005218340093455726
9,H1N1,DRB1_1402,P06821|M2_I34A1,0,16,0.0,31.64,0.0,0.1825314410984193
10,H1N1,DRB1_1402,P0C0U1|PB1F2_I34A1,0,6,0.0,5.129999999999999,0.0,0.024398363930371918
11,H1N1,DRB1_1402,P0CK64|PAX_I34A1,22,93,11.68,240.02,0.3804560260586319,0.43712324027026533
12,H1N1,DRB1_1402,P0DOG6|PB2S1_I34A1,33,205,17.549999999999997,482.5,0.42617775619232623,0.6695530299876495
13,H1N1,DRB1_1406,P03428|PB2_I34A1,92,349,43.980000000000004,964.98,0.38002246608485263,0.7695276676847503
14,H1N1,DRB1_1406,P03431|RDRP_I34A1,21,239,5.02,504.3699999999999,0.08991581586960413,0.5476330076004342
15,H1N1,DRB1_1406,P03433|PA_I34A1,35,164,13.43,434.76,0.24189481268011528,0.4541001242936673
16,H1N1,DRB1_1406,P03452|HEMA_I34A1,2,65,0.20999999999999996,144.6,0.00646153846153846,0.24051496149431975
17,H1N1,DRB1_1406,P03466|NCAP_I34A1,31,173,14.489999999999998,454.68999999999994,0.29457206749339293,0.5782800020348985
18,H1N1,DRB1_1406,P03468|NRAM_I34A1,18,53,11.55,134.42,0.2443927211172239,0.20098083191292127
19,H1N1,DRB1_1406,P03485|M1_I34A1,1,95,0.040000000000000036,176.39999999999998,0.0008585533376261008,0.34492198193265805
20,H1N1,DRB1_1406,P03496|NS1_I34A1,14,100,4.010000000000002,248.22,0.13483523873570952,0.5902691905260155
21,H1N1,DRB1_1406,P03508|NEP_I34A1,0,24,0.0,39.92,0.0,0.09468915296852393
22,H1N1,DRB1_1406,P06821|M2_I34A1,0,1,0.0,0.5499999999999998,0.0,0.0031729548863505238
23,H1N1,DRB1_1406,P0C0U1|PB1F2_I34A1,2,36,0.3400000000000001,82.68,0.015356820234869019,0.39322743270236854
24,H1N1,DRB1_1406,P0CK64|PAX_I34A1,10,54,4.68,132.19,0.15244299674267098,0.2407437760658544
25,H1N1,DRB1_1406,P0DOG6|PB2S1_I34A1,68,256,37.0,696.47,0.8984944147644486,0.9664737798870432
26,H1N1,DRB1_1405,P03428|PB2_I34A1,63,317,37.7,843.7,0.3257582303637777,0.6728123828738667
27,H1N1,DRB1_1405,P03431|RDRP_I34A1,22,207,5.710000000000001,461.71000000000004,0.10227476267239836,0.501313789359392
28,H1N1,DRB1_1405,P03433|PA_I34A1,8,149,1.6400000000000006,307.6099999999999,0.02953890489913546,0.3212939075213335
29,H1N1,DRB1_1405,P03452|HEMA_I34A1,2,68,0.17999999999999994,99.96000000000001,0.005538461538461536,0.16626469952262937
30,H1N1,DRB1_1405,P03466|NCAP_I34A1,4,123,0.54,242.21000000000004,0.010977841024598497,0.30804547998168597
31,H1N1,DRB1_1405,P03468|NRAM_I34A1,26,62,18.759999999999998,209.91000000000003,0.39695302581464237,0.313851260428815
32,H1N1,DRB1_1405,P03485|M1_I34A1,6,123,1.54,272.62999999999994,0.03305430349860485,0.5330843533690507
33,H1N1,DRB1_1405,P03496|NS1_I34A1,0,54,0.0,114.56999999999996,0.0,0.27244839722248637
34,H1N1,DRB1_1405,P03508|NEP_I34A1,0,19,0.0,30.03,0.0,0.07123034227567068
35,H1N1,DRB1_1405,P06821|M2_I34A1,0,0,0.0,0.0,0.0,0.0
36,H1N1,DRB1_1405,P0C0U1|PB1F2_I34A1,0,24,0.0,30.559999999999988,0.0,0.1453438599828783
37,H1N1,DRB1_1405,P0CK64|PAX_I34A1,0,35,0.0,72.25000000000001,0.0,0.13158134367772134
38,H1N1,DRB1_1405,P0DOG6|PB2S1_I34A1,63,249,37.7,714.15,0.9154929577464788,0.9910078681153989
39,H1N1,DRB1_1602,P03428|PB2_I34A1,2,148,0.27,295.74,0.0023330165039315647,0.2358392012695476
40,H1N1,DRB1_1602,P03431|RDRP_I34A1,62,268,30.44,698.3499999999999,0.5452265806913845,0.7582519001085776
41,H1N1,DRB1_1602,P03433|PA_I34A1,89,235,55.519999999999996,718.83,1.0,0.7508068643527852
42,H1N1,DRB1_1602,P03452|HEMA_I34A1,3,137,0.5700000000000003,285.76,0.017538461538461548,0.47530812860730853
43,H1N1,DRB1_1602,P03466|NCAP_I34A1,50,184,27.48,509.13,0.558650132140679,0.6475174238184871
44,H1N1,DRB1_1602,P03468|NRAM_I34A1,29,187,16.619999999999997,430.59999999999997,0.3516716038933559,0.6438204599144762
45,H1N1,DRB1_1602,P03485|M1_I34A1,5,95,1.1,172.39999999999998,0.023610216784717752,0.33710062179813066
46,H1N1,DRB1_1602,P03496|NS1_I34A1,0,23,0.0,47.989999999999995,0.0,0.11412061257490726
47,H1N1,DRB1_1602,P03508|NEP_I34A1,10,41,3.3899999999999997,98.05,0.07989629978788593,0.23257193007424276
48,H1N1,DRB1_1602,P06821|M2_I34A1,0,15,0.0,27.980000000000004,0.0,0.16141686858197762
49,H1N1,DRB1_1602,P0C0U1|PB1F2_I34A1,10,66,2.5500000000000007,172.64,0.11517615176151765,0.8210786645106058
50,H1N1,DRB1_1602,P0CK64|PAX_I34A1,30,76,22.490000000000002,218.25,0.7325732899022801,0.39747582363546957
51,H1N1,DRB1_1602,P0DOG6|PB2S1_I34A1,2,59,0.27,119.38999999999996,0.006556580864497328,0.16567447927507867
52,H1N1,DRB1_1201,P03428|PB2_I34A1,40,240,15.54,533.97,0.13427806100406114,0.42581679279739076
53,H1N1,DRB1_1201,P03431|RDRP_I34A1,89,322,49.55,921.0,0.8875156725774672,1.0
54,H1N1,DRB1_1201,P03433|PA_I34A1,42,108,19.1,302.82000000000005,0.3440201729106629,0.3162908262917664
55,H1N1,DRB1_1201,P03452|HEMA_I34A1,16,63,6.390000000000001,145.79999999999998,0.19661538461538464,0.24251093627850498
56,H1N1,DRB1_1201,P03466|NCAP_I34A1,20,153,5.649999999999999,324.31,0.11486074405366942,0.4124612097471639
57,H1N1,DRB1_1201,P03468|NRAM_I34A1,6,112,1.0300000000000002,206.41999999999996,0.021794329242488367,0.30863311503842583
