,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,human_parvovirus_B19,DRB1_1402,P0DJY9|75K_PAVHV,0,7,0.0,8.66,0.0,0.03213238840859337
1,human_parvovirus_B19,DRB1_1402,P0DJZ0|11K_PAVHV,20,31,11.760000000000002,121.94,0.41277641277641286,0.667250341997264
2,human_parvovirus_B19,DRB1_1402,P0DJZ1|X_PAVHV,9,30,2.63,85.73,0.24905303030303033,0.41220309645158193
3,human_parvovirus_B19,DRB1_1402,Q9PZT0-2|CAPSD_PAVHV,14,102,3.2299999999999986,214.14,0.056056924678930906,0.28612658836733873
4,human_parvovirus_B19,DRB1_1402,Q9PZT0|CAPSD_PAVHV,19,171,4.099999999999998,345.22,0.0570951121013786,0.3669781335374345
5,human_parvovirus_B19,DRB1_1402,Q9PZT1|NS1_PAVHV,15,105,4.8100000000000005,236.92000000000002,0.06671289875173371,0.20789750789750794
6,human_parvovirus_B19,DRB1_1406,P0DJY9|75K_PAVHV,3,25,0.69,62.93,0.024193548387096774,0.23349782939408556
7,human_parvovirus_B19,DRB1_1406,P0DJZ0|11K_PAVHV,0,5,0.0,8.66,0.0,0.04738714090287278
8,human_parvovirus_B19,DRB1_1406,P0DJZ1|X_PAVHV,0,1,0.0,0.29000000000000004,0.0,0.0013943648427733439
9,human_parvovirus_B19,DRB1_1406,Q9PZT0-2|CAPSD_PAVHV,1,37,0.010000000000000009,70.64999999999999,0.00017355085039916712,0.0944001282719365
10,human_parvovirus_B19,DRB1_1406,Q9PZT0|CAPSD_PAVHV,1,60,0.010000000000000009,101.77000000000001,0.0001392563709789724,0.10818424381584123
11,human_parvovirus_B19,DRB1_1406,Q9PZT1|NS1_PAVHV,27,85,13.92,254.26,0.19306518723994454,0.22311337311337312
12,human_parvovirus_B19,DRB1_1405,P0DJY9|75K_PAVHV,23,52,12.69,167.57,0.4449509116409537,0.6217580052688212
