,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:07,D0EZM8-2|NS1_HBOC1,12,47,2.759,48.720000000000006,0.3740002711129185,0.5814883332338725
1,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:07,D0EZM8-3|NS1_HBOC1,4,18,1.096,18.936,0.16601029990911845,0.22320712904898865
2,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:07,D0EZM8-4|NS1_HBOC1,8,37,1.6630000000000003,37.518,0.2540094699862533,0.5592439667893928
3,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:07,D0EZM8-5|NS1_HBOC1,0,5,0.0,5.2219999999999995,0.0,0.12534805568891022
4,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:07,D0EZM8|NS1_HBOC1,12,50,2.759,51.232,0.33478946729765807,0.476523550859439
5,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:07,Q3YPH4-2|CAPSD_HBOC1,13,35,2.7349999999999994,36.781,0.40657053664337733,0.38220776656656236
6,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:07,Q3YPH4-3|CAPSD_HBOC1,13,35,2.7349999999999994,36.781,0.4097378277153557,0.4004550997299886
7,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:07,Q3YPH4|CAPSD_HBOC1,14,41,2.8439999999999994,43.691,0.37534644318331783,0.4142151518311702
8,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:07,Q3YPH5|NP1_HBOC1,1,5,0.187,4.335999999999999,0.06862385321100918,0.12367017483813923
9,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:03,D0EZM8-2|NS1_HBOC1,11,38,2.9299999999999997,40.849999999999994,0.39718042564728206,0.48755743868234164
10,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:03,D0EZM8-3|NS1_HBOC1,3,11,0.754,10.437999999999999,0.11420781581338987,0.12303738978735441
11,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:03,D0EZM8-4|NS1_HBOC1,8,28,2.176,30.658999999999995,0.33236596914617383,0.4570035923502317
12,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:03,D0EZM8-5|NS1_HBOC1,0,1,0.0,0.2470000000000001,0.0,0.005928948631781088
13,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:03,D0EZM8|NS1_HBOC1,11,38,2.9299999999999997,40.849999999999994,0.3555393762892853,0.37995758612992037
14,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:03,Q3YPH4-2|CAPSD_HBOC1,2,21,0.49,14.911999999999995,0.072840790842872,0.15495723920068993
15,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:03,Q3YPH4-3|CAPSD_HBOC1,2,21,0.49,14.911999999999995,0.07340823970037454,0.16235519554045807
16,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:03,Q3YPH4|CAPSD_HBOC1,2,23,0.49,16.415,0.06466939421934802,0.1556233942301311
17,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A02:03,Q3YPH5|NP1_HBOC1,1,5,0.10599999999999998,3.683,0.038899082568807336,0.10504549214226633
18,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A66:01,D0EZM8-2|NS1_HBOC1,15,51,3.2959999999999994,49.759,0.446794089738376,0.5938891209643731
19,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A66:01,D0EZM8-3|NS1_HBOC1,11,37,2.7380000000000004,37.073,0.4147228112693124,0.43699608656702343
20,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A66:01,D0EZM8-4|NS1_HBOC1,6,25,0.7119999999999997,21.503,0.1087521001985642,0.3205240955773846
21,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],HLA-A66:01,D0EZM8-5|NS1_HBOC1,1,7,0.07700000000000001,5.2620000000000005,0.018138987043580686,0.12630820931349018
