,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Measles_virus,HLA-A02:07,P0C774|V_MEASC,1,7,0.14600000000000002,3.3840000000000003,0.05478424015009382,0.11442483262325018
1,Measles_virus,HLA-A02:07,Q786F2|HEMA_MEASC,13,48,3.238,51.881,0.4742932474000293,0.6077620542617497
2,Measles_virus,HLA-A02:07,Q786F3|FUS_MEASC,11,58,2.904,56.492,0.5370815609395229,0.7765757096707675
3,Measles_virus,HLA-A02:07,Q9W850|MATRX_MEASC,7,28,1.564,30.126,0.3981670061099797,0.6370075909754086
4,Measles_virus,HLA-A02:07,Q9WMB3|L_MEASC,66,235,14.441000000000003,235.656,0.6678227894931559,0.8075416610981466
5,Measles_virus,HLA-A02:07,Q9WMB4|PHOSP_MEASC,3,21,0.34299999999999997,15.901,0.0811834319526627,0.2826090820225718
6,Measles_virus,HLA-A02:07,Q9WMB5|NCAP_MEASC,12,48,2.907,47.88999999999999,0.47016011644832606,0.6102191641182467
7,Measles_virus,HLA-A02:07,Q9YZN9|C_MEASC,4,15,0.643,19.434,0.19291929192919294,0.5712186232437835
8,Measles_virus,HLA-A02:03,P0C774|V_MEASC,3,12,0.41500000000000004,11.825,0.15572232645403378,0.39984445796983836
9,Measles_virus,HLA-A02:03,Q786F2|HEMA_MEASC,10,58,2.6630000000000003,53.58800000000001,0.3900688442947122,0.6277587741905254
10,Measles_virus,HLA-A02:03,Q786F3|FUS_MEASC,14,68,3.816,60.03500000000001,0.7057518032180506,0.8252800879785551
11,Measles_virus,HLA-A02:03,Q9W850|MATRX_MEASC,5,27,0.843,20.113999999999997,0.21461303462321793,0.42530607066584897
12,Measles_virus,HLA-A02:03,Q9WMB3|L_MEASC,64,231,16.82,236.93099999999998,0.7778394376618573,0.8119108077267073
13,Measles_virus,HLA-A02:03,Q9WMB4|PHOSP_MEASC,12,38,3.2,39.946,0.757396449704142,0.7099617879676531
14,Measles_virus,HLA-A02:03,Q9WMB5|NCAP_MEASC,13,33,2.6439999999999997,35.108999999999995,0.4276241306808992,0.4473623853211009
15,Measles_virus,HLA-A02:03,Q9YZN9|C_MEASC,4,19,1.04,20.818,0.3120312031203121,0.6118981835283053
16,Measles_virus,HLA-A66:01,P0C774|V_MEASC,9,31,1.419,29.417,0.5324577861163227,0.9946912828836141
17,Measles_virus,HLA-A66:01,Q786F2|HEMA_MEASC,13,57,2.985,57.532,0.43723451003368974,0.6739609202942691
18,Measles_virus,HLA-A66:01,Q786F3|FUS_MEASC,10,49,2.487,51.077999999999996,0.45995931200295914,0.702151350608289
19,Measles_virus,HLA-A66:01,Q9W850|MATRX_MEASC,6,34,0.8550000000000004,33.102000000000004,0.21766802443991864,0.6999344511872793
20,Measles_virus,HLA-A66:01,Q9WMB3|L_MEASC,64,237,16.09,234.79799999999994,0.744080651128376,0.8046014824257501
21,Measles_virus,HLA-A66:01,Q9WMB4|PHOSP_MEASC,13,41,3.4029999999999996,44.784,0.8054437869822483,0.7959477472673955
22,Measles_virus,HLA-A66:01,Q9WMB5|NCAP_MEASC,10,46,3.203,50.056,0.5180333171599547,0.6378185524974517
23,Measles_virus,HLA-A66:01,Q9YZN9|C_MEASC,1,12,0.449,10.677000000000001,0.13471347134713474,0.3138263476573982
24,Measles_virus,HLA-A31:08,P0C774|V_MEASC,1,8,0.137,6.818,0.051407129455909945,0.23054033948738759
25,Measles_virus,HLA-A31:08,Q786F2|HEMA_MEASC,24,69,5.679,78.49199999999999,0.8318441482349496,0.9194976805210626
26,Measles_virus,HLA-A31:08,Q786F3|FUS_MEASC,10,38,2.791,41.601,0.5161827260958017,0.571874355625816
27,Measles_virus,HLA-A31:08,Q9W850|MATRX_MEASC,6,33,1.5030000000000001,28.914,0.38263747454175157,0.611380119679445
28,Measles_virus,HLA-A31:08,Q9WMB3|L_MEASC,60,245,15.751000000000001,246.34199999999998,0.728403625601184,0.8441602500179907
29,Measles_virus,HLA-A31:08,Q9WMB4|PHOSP_MEASC,1,11,0.138,9.751999999999999,0.03266272189349112,0.1733226695103528
30,Measles_virus,HLA-A31:08,Q9WMB5|NCAP_MEASC,12,38,2.953,40.43899999999999,0.47759987061297104,0.5152777777777777
31,Measles_virus,HLA-A31:08,Q9YZN9|C_MEASC,3,13,0.30500000000000016,10.875,0.09150915091509157,0.3196461113397214
32,Measles_virus,HLA-A02:36,P0C774|V_MEASC,1,5,0.02400000000000002,4.524,0.009005628517823648,0.15297220531547984
33,Measles_virus,HLA-A02:36,Q786F2|HEMA_MEASC,10,62,2.6060000000000003,55.30600000000001,0.38171964259557645,0.6478843540602597
34,Measles_virus,HLA-A02:36,Q786F3|FUS_MEASC,15,66,3.402,61.22699999999999,0.6291843906047716,0.841666093889614
35,Measles_virus,HLA-A02:36,Q9W850|MATRX_MEASC,5,22,0.998,22.903000000000002,0.2540733197556008,0.4842788573361808
36,Measles_virus,HLA-A02:36,Q9WMB3|L_MEASC,57,218,14.453,228.10899999999998,0.6683777284498705,0.7816797398387357
37,Measles_virus,HLA-A02:36,Q9WMB4|PHOSP_MEASC,7,25,1.2850000000000001,26.599999999999998,0.30414201183431955,0.47276281880387455
38,Measles_virus,HLA-A02:36,Q9WMB5|NCAP_MEASC,13,46,2.741,47.955,0.4433123079411289,0.6110474006116209
39,Measles_virus,HLA-A02:36,Q9YZN9|C_MEASC,9,22,1.972,24.684000000000005,0.5916591659165917,0.7255305390629594
