,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Rubella_virs,HLA-A02:07,P07566|POLS_RUBVT,16,53,3.042,58.268,0.24177396280400576,0.28084482874962646
1,Rubella_virs,HLA-A02:07,P13889|POLN_RUBVT,36,144,9.950000000000001,145.269,0.4001125944989545,0.4062548066032592
2,Rubella_virs,HLA-A02:03,P07566|POLS_RUBVT,12,53,2.896,51.190000000000005,0.2301700842473375,0.2467297107107397
3,Rubella_virs,HLA-A02:03,P13889|POLN_RUBVT,42,154,9.759,157.812,0.39243204117741676,0.44133217368931804
4,Rubella_virs,HLA-A66:01,P07566|POLS_RUBVT,19,79,4.534999999999999,77.59599999999999,0.36043554283897633,0.3740034895938768
5,Rubella_virs,HLA-A66:01,P13889|POLN_RUBVT,47,182,12.693999999999997,182.29500000000002,0.5104552034743444,0.5098005766525627
6,Rubella_virs,HLA-A31:08,P07566|POLS_RUBVT,15,73,4.388,71.63900000000001,0.34875218566205696,0.3452914582068115
7,Rubella_virs,HLA-A31:08,P13889|POLN_RUBVT,26,129,6.651,129.205,0.2674521473379443,0.36133071947335016
8,Rubella_virs,HLA-A02:36,P07566|POLS_RUBVT,9,46,2.435,45.258,0.19353044031155625,0.2181381763498077
9,Rubella_virs,HLA-A02:36,P13889|POLN_RUBVT,32,132,8.36,129.571,0.33617500402123207,0.36235426378918345
10,Rubella_virs,HLA-A68:03,P07566|POLS_RUBVT,20,98,5.2700000000000005,97.48199999999999,0.4188523287235735,0.4698516440614245
11,Rubella_virs,HLA-A68:03,P13889|POLN_RUBVT,61,241,15.233000000000002,256.29,0.6125542866334245,0.71673271230854
12,Rubella_virs,HLA-A26:01,P07566|POLS_RUBVT,12,52,3.045,51.00900000000001,0.24201239866475924,0.24585731224153393
13,Rubella_virs,HLA-A26:01,P13889|POLN_RUBVT,29,150,8.055,145.86499999999998,0.32391024609940483,0.4079215618279495
14,Rubella_virs,HLA-A33:01,P07566|POLS_RUBVT,22,91,5.282,91.56799999999998,0.4198060721665873,0.4413468675593086
15,Rubella_virs,HLA-A33:01,P13889|POLN_RUBVT,67,273,17.321,284.401,0.6965176129966222,0.7953470682167119
16,Rubella_virs,HLA-A29:01,P07566|POLS_RUBVT,19,71,4.792,73.111,0.3808615482435226,0.3523863231055458
17,Rubella_virs,HLA-A29:01,P13889|POLN_RUBVT,21,113,3.5969999999999995,98.853,0.14464371883545116,0.27644925205757576
18,Rubella_virs,HLA-A24:07,P07566|POLS_RUBVT,13,61,2.611,61.60500000000001,0.20751867747575908,0.2969287717979121
19,Rubella_virs,HLA-A24:07,P13889|POLN_RUBVT,23,108,6.800000000000001,113.02600000000001,0.2734437831751649,0.31608502688901263
20,Rubella_virs,HLA-A02:13,P07566|POLS_RUBVT,11,51,2.3329999999999997,52.84199999999999,0.18542362104593865,0.25469215419763436
21,Rubella_virs,HLA-A02:13,P13889|POLN_RUBVT,42,165,9.524999999999999,163.41199999999998,0.3830223580505066,0.45699296103540177
22,Rubella_virs,HLA-B15:02,P07566|POLS_RUBVT,20,69,4.166,71.757,0.33110793196630117,0.3458602041701611
23,Rubella_virs,HLA-B15:02,P13889|POLN_RUBVT,36,153,7.806000000000001,152.601,0.31389737815666724,0.4267592517499532
24,Rubella_virs,HLA-B46:01,P07566|POLS_RUBVT,14,71,2.906999999999999,66.305,0.23104434907010013,0.31958221271099035
25,Rubella_virs,HLA-B46:01,P13889|POLN_RUBVT,36,163,8.472999999999999,162.913,0.34071899630046637,0.455597473020099
26,Rubella_virs,HLA-B38:02,P07566|POLS_RUBVT,28,99,7.644,98.811,0.6075345731998094,0.4762572659706759
27,Rubella_virs,HLA-B38:02,P13889|POLN_RUBVT,62,200,15.713999999999999,217.114,0.6318964130609618,0.6071743185460078
28,Rubella_virs,HLA-B54:01,P07566|POLS_RUBVT,41,174,9.909,174.185,0.7875536480686698,0.8395509798818166
29,Rubella_virs,HLA-B54:01,P13889|POLN_RUBVT,78,321,16.942000000000004,308.673,0.6812771433167123,0.8632253950853095
30,Rubella_virs,HLA-B13:02,P07566|POLS_RUBVT,9,50,2.7640000000000002,51.459,0.2196789063741854,0.248026258711935
31,Rubella_virs,HLA-B13:02,P13889|POLN_RUBVT,39,159,8.286999999999997,155.29999999999998,0.3332395045842045,0.4343071919369318
32,Rubella_virs,HLA-B14:05,P07566|POLS_RUBVT,25,87,6.432,86.092,0.5112064854554126,0.4149531989550498
33,Rubella_virs,HLA-B14:05,P13889|POLN_RUBVT,62,214,14.866,230.10899999999995,0.5977963648061766,0.643515734896429
34,Rubella_virs,HLA-B45:01,P07566|POLS_RUBVT,16,71,3.952,75.36200000000002,0.31409950723255453,0.36323587533859675
35,Rubella_virs,HLA-B45:01,P13889|POLN_RUBVT,54,204,13.569000000000003,216.376,0.5456409843976195,0.6051104504993275
36,Rubella_virs,HLA-B55:02,P07566|POLS_RUBVT,54,200,12.581999999999997,207.474,1.0,1.0
37,Rubella_virs,HLA-B55:02,P13889|POLN_RUBVT,82,367,19.283,357.58099999999996,0.7754141869068683,1.0
38,Rubella_virs,HLA-B07:05,P07566|POLS_RUBVT,40,169,9.085,168.70099999999996,0.7220632649817201,0.8131187522291948
39,Rubella_virs,HLA-B07:05,P13889|POLN_RUBVT,86,325,23.741,337.304,0.9546807141708219,0.9432939669613318
40,Rubella_virs,HLA-B35:14,P07566|POLS_RUBVT,18,96,4.430000000000001,86.405,0.3520902877126054,0.41646182172223994
41,Rubella_virs,HLA-B35:14,P13889|POLN_RUBVT,45,173,10.497000000000002,175.526,0.4221087341161332,0.4908705999479839
42,Rubella_virs,HLA-B39:05,P07566|POLS_RUBVT,27,89,7.321000000000001,96.955,0.5818629788586872,0.4673115667505326
43,Rubella_virs,HLA-B39:05,P13889|POLN_RUBVT,60,216,16.469,227.497,0.6622567154576162,0.6362110962271487
44,Rubella_virs,HLA-C14:03,P07566|POLS_RUBVT,23,77,6.158,82.556,0.48942934350659684,0.3979100995787424
45,Rubella_virs,HLA-C14:03,P13889|POLN_RUBVT,26,148,7.096,137.426,0.28534663020749557,0.3843213146112349
46,Rubella_virs,HLA-C05:09,P07566|POLS_RUBVT,19,60,3.9049999999999994,65.95,0.3103640120807503,0.3178711549398961
47,Rubella_virs,HLA-C05:09,P13889|POLN_RUBVT,40,173,9.25,172.42000000000002,0.3719639697603345,0.48218445610924526
48,Rubella_virs,HLA-C06:03,P07566|POLS_RUBVT,13,66,3.6229999999999998,62.679,0.2879510411699253,0.3021053240406027
49,Rubella_virs,HLA-C06:03,P13889|POLN_RUBVT,38,193,10.013,186.587,0.40264597072543024,0.5218034515256683
50,Rubella_virs,HLA-A01:01,P07566|POLS_RUBVT,9,64,1.7969999999999997,54.346000000000004,0.14282308059132096,0.2619412552898195
51,Rubella_virs,HLA-A01:01,P13889|POLN_RUBVT,36,153,9.350999999999999,157.094,0.3760254141869068,0.43932423702601653
52,Rubella_virs,HLA-A02:01,P07566|POLS_RUBVT,12,47,2.343,44.02899999999999,0.1862184072484502,0.21221454254508995
53,Rubella_virs,HLA-A02:01,P13889|POLN_RUBVT,30,144,8.358,136.044,0.33609457937912174,0.38045645601975503
54,Rubella_virs,HLA-A02:02,P07566|POLS_RUBVT,9,47,2.428,45.298,0.19297408996979817,0.21833097159162113
55,Rubella_virs,HLA-A02:02,P13889|POLN_RUBVT,29,144,9.013,147.004,0.36243364967025893,0.4111068541113762
56,Rubella_virs,HLA-A02:06,P07566|POLS_RUBVT,12,60,2.441,61.63099999999999,0.19400731203306312,0.29705408870509076
57,Rubella_virs,HLA-A02:06,P13889|POLN_RUBVT,40,159,8.684999999999999,157.27100000000002,0.3492440083641627,0.4398192297689196
58,Rubella_virs,HLA-A02:11,P07566|POLS_RUBVT,9,46,2.162,41.891000000000005,0.1718327769829916,0.20190963687016208
59,Rubella_virs,HLA-A02:11,P13889|POLN_RUBVT,29,135,7.641,129.06,0.3072623451825639,0.3609252169438533
60,Rubella_virs,HLA-A03:01,P07566|POLS_RUBVT,8,38,1.499,35.555,0.11913845175647754,0.1713708705669144
61,Rubella_virs,HLA-A03:01,P13889|POLN_RUBVT,22,119,5.9270000000000005,106.936,0.2383384268940003,0.29905392065014647
62,Rubella_virs,HLA-A03:02,P07566|POLS_RUBVT,12,43,2.5249999999999995,41.241,0.2006835161341599,0.1987767141906938
63,Rubella_virs,HLA-A03:02,P13889|POLN_RUBVT,27,120,6.239,111.231,0.2508846710632137,0.31106518523075893
64,Rubella_virs,HLA-A11:01,P07566|POLS_RUBVT,10,47,2.2990000000000004,45.559,0.18272134795739953,0.21958896054445376
65,Rubella_virs,HLA-A11:01,P13889|POLN_RUBVT,24,112,5.505000000000001,99.97,0.22136882740871805,0.27957301981928573
66,Rubella_virs,HLA-A23:01,P07566|POLS_RUBVT,8,59,2.112,57.337999999999994,0.167858845970434,0.27636233937746413
67,Rubella_virs,HLA-A23:01,P13889|POLN_RUBVT,23,113,5.537999999999999,113.009,0.22269583400353865,0.31603748521314057
68,Rubella_virs,HLA-A24:02,P07566|POLS_RUBVT,13,67,2.4589999999999996,60.884,0.19543792719758388,0.29345363756422493
69,Rubella_virs,HLA-A24:02,P13889|POLN_RUBVT,29,116,6.455,117.00099999999999,0.25957053241113076,0.32720138933556314
70,Rubella_virs,HLA-A25:01,P07566|POLS_RUBVT,20,60,5.272,65.80699999999999,0.4190112859640758,0.317181911950413
71,Rubella_virs,HLA-A25:01,P13889|POLN_RUBVT,34,159,8.641,149.05700000000002,0.3474746662377352,0.4168482106152173
72,Rubella_virs,HLA-A29:02,P07566|POLS_RUBVT,19,71,4.792,73.111,0.3808615482435226,0.3523863231055458
73,Rubella_virs,HLA-A29:02,P13889|POLN_RUBVT,21,113,3.5969999999999995,98.853,0.14464371883545116,0.27644925205757576
74,Rubella_virs,HLA-A30:01,P07566|POLS_RUBVT,16,72,4.501,69.676,0.35773326975043723,0.3358300317148173
75,Rubella_virs,HLA-A30:01,P13889|POLN_RUBVT,38,193,8.594000000000001,182.692,0.3455846871481422,0.5109108146126333
76,Rubella_virs,HLA-A30:02,P07566|POLS_RUBVT,21,70,5.707,79.786,0.45358448577332705,0.38455902908316225
77,Rubella_virs,HLA-A30:02,P13889|POLN_RUBVT,34,156,8.304,150.26600000000002,0.3339231140421425,0.42022926274047007
78,Rubella_virs,HLA-A31:01,P07566|POLS_RUBVT,37,106,9.164000000000001,110.41799999999999,0.7283420759815612,0.5322016252638885
79,Rubella_virs,HLA-A31:01,P13889|POLN_RUBVT,82,268,19.202,283.148,0.7721569889013994,0.7918429670480256
80,Rubella_virs,HLA-A32:01,P07566|POLS_RUBVT,17,74,3.729,65.11999999999999,0.29637577491654754,0.31387065367226735
81,Rubella_virs,HLA-A32:01,P13889|POLN_RUBVT,42,155,10.911,156.93400000000003,0.4387566350329741,0.43887678595898566
82,Rubella_virs,HLA-A33:03,P07566|POLS_RUBVT,22,96,6.388999999999999,99.244,0.507788904784613,0.4783442744633063
83,Rubella_virs,HLA-A33:03,P13889|POLN_RUBVT,67,301,17.728,293.19800000000004,0.7128840276660768,0.8199484871959083
84,Rubella_virs,HLA-A68:01,P07566|POLS_RUBVT,17,88,5.378,83.662,0.42743601971069795,0.40324088801488384
85,Rubella_virs,HLA-A68:01,P13889|POLN_RUBVT,56,224,12.867999999999999,227.707,0.5174521473379442,0.6367983757526268
86,Rubella_virs,HLA-A68:02,P07566|POLS_RUBVT,13,78,2.75,71.311,0.21856620569066926,0.34371053722394135
87,Rubella_virs,HLA-A68:02,P13889|POLN_RUBVT,37,158,8.815,154.84,0.354471610101335,0.4330207701192178
88,Rubella_virs,HLA-A74:01,P07566|POLS_RUBVT,26,65,6.834999999999999,72.794,0.543236369416627,0.3508584208141743
89,Rubella_virs,HLA-A74:01,P13889|POLN_RUBVT,54,203,13.729000000000001,209.565,0.5520749557664468,0.586063017889653
90,Rubella_virs,HLA-B07:02,P07566|POLS_RUBVT,41,162,9.62,167.45,0.7645843268160866,0.8070890810414799
91,Rubella_virs,HLA-B07:02,P13889|POLN_RUBVT,87,328,24.868000000000002,349.536,1.0,0.9775016010358494
92,Rubella_virs,HLA-B08:01,P07566|POLS_RUBVT,6,41,1.437,38.458999999999996,0.11421077730090609,0.18536780512256956
93,Rubella_virs,HLA-B08:01,P13889|POLN_RUBVT,40,158,8.576,164.192,0.3448608653691491,0.4591742849871778
94,Rubella_virs,HLA-B14:02,P07566|POLS_RUBVT,23,83,5.126,79.559,0.40740740740740755,0.383464916085871
95,Rubella_virs,HLA-B14:02,P13889|POLN_RUBVT,57,206,14.591000000000001,216.43899999999996,0.5867379765160045,0.6052866343569708
96,Rubella_virs,HLA-B15:01,P07566|POLS_RUBVT,17,61,4.293,63.817,0.3412017167381975,0.30759034867019486
97,Rubella_virs,HLA-B15:01,P13889|POLN_RUBVT,37,140,8.868,149.19400000000002,0.3566028631172591,0.41723134059136263
98,Rubella_virs,HLA-B15:03,P07566|POLS_RUBVT,16,57,4.288,58.985,0.34080432363694174,0.28430068345913223
99,Rubella_virs,HLA-B15:03,P13889|POLN_RUBVT,32,141,8.217,145.091,0.3304246421103426,0.40575701729118724
100,Rubella_virs,HLA-B18:01,P07566|POLS_RUBVT,6,40,1.134,38.021,0.09012875536480688,0.1832566972247125
101,Rubella_virs,HLA-B18:01,P13889|POLN_RUBVT,40,157,10.36,159.214,0.41659964613157463,0.4452529636641768
102,Rubella_virs,HLA-B27:05,P07566|POLS_RUBVT,27,93,7.032,101.415,0.5588936576061041,0.48880823621273034
103,Rubella_virs,HLA-B27:05,P13889|POLN_RUBVT,60,265,14.862999999999998,270.874,0.5976757278430109,0.7575178770684127
104,Rubella_virs,HLA-B35:01,P07566|POLS_RUBVT,18,103,4.566,93.62,0.3628993800667621,0.45123726346433773
105,Rubella_virs,HLA-B35:01,P13889|POLN_RUBVT,39,177,8.845999999999998,165.747,0.35571819205404526,0.46352295004488503
106,Rubella_virs,HLA-B35:03,P07566|POLS_RUBVT,28,103,7.107,106.917,0.5648545541249406,0.5153272217241679
107,Rubella_virs,HLA-B35:03,P13889|POLN_RUBVT,48,205,12.314999999999998,196.36099999999996,0.4952147337944345,0.5491371185829225
108,Rubella_virs,HLA-B38:01,P07566|POLS_RUBVT,27,100,7.136,98.179,0.5671594341122239,0.4732111011500236
109,Rubella_virs,HLA-B38:01,P13889|POLN_RUBVT,57,206,14.97,212.851,0.6019784461959145,0.5952525441788015
110,Rubella_virs,HLA-B40:01,P07566|POLS_RUBVT,7,32,1.3730000000000002,29.686,0.10912414560483234,0.1430829887118386
111,Rubella_virs,HLA-B40:01,P13889|POLN_RUBVT,32,149,9.171999999999999,152.293,0.3688274087180311,0.4258979084459186
112,Rubella_virs,HLA-B40:02,P07566|POLS_RUBVT,9,37,1.9459999999999997,33.61999999999999,0.15466539500874266,0.1620444007441896
113,Rubella_virs,HLA-B40:02,P13889|POLN_RUBVT,38,155,10.465,159.27300000000002,0.42082193984236765,0.4454179612451446
114,Rubella_virs,HLA-B40:06,P07566|POLS_RUBVT,15,64,2.970999999999999,62.459,0.2361309807661739,0.3010449502106288
