,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Zika_virus,HLA-A02:07,Q32ZE1|POLG_ZIKV,55,241,13.062000000000001,235.34300000000002,0.4230333257764679,0.5622387011386061
1,Zika_virus,HLA-A02:03,Q32ZE1|POLG_ZIKV,73,288,18.753000000000004,285.144,0.6073452731806848,0.6812141945903073
2,Zika_virus,HLA-A66:01,Q32ZE1|POLG_ZIKV,72,305,18.982,308.844,0.6147617968066845,0.737833925013498
3,Zika_virus,HLA-A31:08,Q32ZE1|POLG_ZIKV,61,269,12.357,269.654,0.40020079670952485,0.6442083032715215
4,Zika_virus,HLA-A02:36,Q32ZE1|POLG_ZIKV,69,275,16.68,274.597,0.5402079217540564,0.6560172200429067
5,Zika_virus,HLA-A68:03,Q32ZE1|POLG_ZIKV,92,351,20.551000000000002,360.069,0.6655763189429025,0.8602113803269132
6,Zika_virus,HLA-A26:01,Q32ZE1|POLG_ZIKV,57,224,13.776,231.93099999999998,0.44615733393788254,0.5540873711721956
7,Zika_virus,HLA-A33:01,Q32ZE1|POLG_ZIKV,86,342,20.273000000000003,324.788,0.6565728535803349,0.7759244305775213
8,Zika_virus,HLA-A29:01,Q32ZE1|POLG_ZIKV,48,178,12.862000000000002,174.212,0.4165560125659877,0.41619563191919384
9,Zika_virus,HLA-A24:07,Q32ZE1|POLG_ZIKV,41,220,9.556,196.32899999999995,0.30948602519674834,0.4690335465930211
10,Zika_virus,HLA-A02:13,Q32ZE1|POLG_ZIKV,73,302,18.434,292.852,0.5970139586099685,0.6996287465777314
11,Zika_virus,HLA-B15:02,Q32ZE1|POLG_ZIKV,54,235,14.434999999999999,223.999,0.46750008096641504,0.5351376791166367
12,Zika_virus,HLA-B46:01,Q32ZE1|POLG_ZIKV,56,237,11.163999999999998,236.36399999999998,0.3615636234090098,0.5646778886813097
13,Zika_virus,HLA-B38:02,Q32ZE1|POLG_ZIKV,72,290,18.743,285.948,0.6070214075201605,0.6831349651920053
14,Zika_virus,HLA-B54:01,Q32ZE1|POLG_ZIKV,74,289,20.471,287.67600000000004,0.6629853936587103,0.6872631885747597
15,Zika_virus,HLA-B13:02,Q32ZE1|POLG_ZIKV,57,248,13.922999999999998,246.207,0.4509181591475855,0.5881929944431438
16,Zika_virus,HLA-B14:05,Q32ZE1|POLG_ZIKV,83,301,18.945000000000004,305.62899999999996,0.6135634938627458,0.7301532316248668
17,Zika_virus,HLA-B45:01,Q32ZE1|POLG_ZIKV,82,314,19.194,315.97,0.6216277488097937,0.7548580684310363
18,Zika_virus,HLA-B55:02,Q32ZE1|POLG_ZIKV,81,293,22.021,296.164,0.7131845710399326,0.7075411747280103
19,Zika_virus,HLA-B07:05,Q32ZE1|POLG_ZIKV,81,294,21.744999999999997,317.374,0.7042458788094696,0.7582122499295241
20,Zika_virus,HLA-B35:14,Q32ZE1|POLG_ZIKV,46,256,12.371999999999998,238.074,0.4006865952003108,0.5687631097371603
21,Zika_virus,HLA-B39:05,Q32ZE1|POLG_ZIKV,68,280,18.997,280.405,0.6152475952974705,0.6698926375238304
22,Zika_virus,HLA-C14:03,Q32ZE1|POLG_ZIKV,50,219,10.52,209.31699999999995,0.3407066748712634,0.5000621144721941
23,Zika_virus,HLA-C05:09,Q32ZE1|POLG_ZIKV,54,224,12.041,219.966,0.389966641836966,0.5255027688720489
24,Zika_virus,HLA-C06:03,Q32ZE1|POLG_ZIKV,53,269,13.306000000000001,250.94399999999996,0.4309356478932539,0.5995097734732978
25,Zika_virus,HLA-A01:01,Q32ZE1|POLG_ZIKV,46,225,11.527999999999999,224.99900000000002,0.373352333452084,0.5375266972779528
26,Zika_virus,HLA-A02:01,Q32ZE1|POLG_ZIKV,69,284,16.033,273.66099999999994,0.5192538135181527,0.6537810990439148
