,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,TTMV,HLA-A02:07,Q9QU29|ORF3_TTVB1,1,2,0.198,2.96,0.04453441295546559,0.06782301858259056
1,TTMV,HLA-A02:07,Q9QU30|CAPSD_TTVB1,10,40,2.6250000000000004,38.965999999999994,0.3349495980604824,0.34525655452282006
2,TTMV,HLA-A02:07,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
3,TTMV,HLA-A02:03,Q9QU29|ORF3_TTVB1,1,2,0.20600000000000002,2.598,0.046333783175888446,0.05952844671539536
4,TTMV,HLA-A02:03,Q9QU30|CAPSD_TTVB1,9,33,2.46,34.361000000000004,0.313895623325252,0.3044541515669718
5,TTMV,HLA-A02:03,Q9QU31|ORF2_TTVB1,1,1,0.246,1.746,0.13643926788685523,0.10703776360961258
6,TTMV,HLA-A66:01,Q9QU29|ORF3_TTVB1,5,12,1.102,14.262,0.2478632478632479,0.3267878010219279
7,TTMV,HLA-A66:01,Q9QU30|CAPSD_TTVB1,10,51,2.0490000000000004,47.26,0.26145208625749655,0.41874518212668677
8,TTMV,HLA-A66:01,Q9QU31|ORF2_TTVB1,1,5,0.239,4.997,0.13255684969495285,0.30633889161353606
9,TTMV,HLA-A31:08,Q9QU29|ORF3_TTVB1,0,6,0.0,3.189,0.0,0.07307013724995991
10,TTMV,HLA-A31:08,Q9QU30|CAPSD_TTVB1,19,86,3.7159999999999993,82.336,0.4741610310067627,0.7295345602112332
11,TTMV,HLA-A31:08,Q9QU31|ORF2_TTVB1,1,3,0.327,3.283,0.18136439267886856,0.2012628739578225
12,TTMV,HLA-A02:36,Q9QU29|ORF3_TTVB1,1,3,0.317,3.138,0.07130004498425552,0.07190156497032743
13,TTMV,HLA-A02:36,Q9QU30|CAPSD_TTVB1,11,37,2.545,36.324,0.32474161031006765,0.3218472280061314
14,TTMV,HLA-A02:36,Q9QU31|ORF2_TTVB1,0,1,0.0,0.712,0.0,0.04364884747425209
15,TTMV,HLA-A68:03,Q9QU29|ORF3_TTVB1,7,17,1.9390000000000003,19.508,0.4361223571749888,0.4469903535503975
16,TTMV,HLA-A68:03,Q9QU30|CAPSD_TTVB1,10,41,1.976,31.697000000000003,0.2521372974352431,0.2808498950035885
17,TTMV,HLA-A68:03,Q9QU31|ORF2_TTVB1,1,3,0.18,3.779,0.09983361064891846,0.23166993624325652
18,TTMV,HLA-A26:01,Q9QU29|ORF3_TTVB1,0,0,0.0,0.0,0.0,0.0
19,TTMV,HLA-A26:01,Q9QU30|CAPSD_TTVB1,14,74,2.7800000000000002,65.37299999999999,0.3547275743269109,0.5792346337530235
20,TTMV,HLA-A26:01,Q9QU31|ORF2_TTVB1,1,5,0.02300000000000002,4.52,0.012756516916250705,0.27709661598822954
21,TTMV,HLA-A33:01,Q9QU29|ORF3_TTVB1,3,19,0.7649999999999999,16.305,0.1720647773279352,0.3735994317530875
22,TTMV,HLA-A33:01,Q9QU30|CAPSD_TTVB1,16,72,4.028,72.59,0.5139721832333801,0.6431805495255225
23,TTMV,HLA-A33:01,Q9QU31|ORF2_TTVB1,0,2,0.0,0.976,0.0,0.05983325159391859
24,TTMV,HLA-A29:01,Q9QU29|ORF3_TTVB1,0,0,0.0,0.0,0.0,0.0
25,TTMV,HLA-A29:01,Q9QU30|CAPSD_TTVB1,28,89,5.785,95.328,0.738165114201863,0.8446496132410665
26,TTMV,HLA-A29:01,Q9QU31|ORF2_TTVB1,1,4,0.365,4.734,0.2024403771491958,0.2902157920549289
27,TTMV,HLA-A24:07,Q9QU29|ORF3_TTVB1,0,3,0.0,1.8089999999999993,0.0,0.04144994615402239
28,TTMV,HLA-A24:07,Q9QU30|CAPSD_TTVB1,14,72,3.576,68.818,0.4562970524435371,0.6097589069740654
29,TTMV,HLA-A24:07,Q9QU31|ORF2_TTVB1,1,1,0.187,1.687,0.10371602884082086,0.10342079450711135
30,TTMV,HLA-A02:13,Q9QU29|ORF3_TTVB1,1,3,0.274,2.002,0.06162843004948269,0.045872190271062936
31,TTMV,HLA-A02:13,Q9QU30|CAPSD_TTVB1,11,31,2.9190000000000005,34.72200000000001,0.3724639530432564,0.30765277642409694
32,TTMV,HLA-A02:13,Q9QU31|ORF2_TTVB1,1,1,0.01100000000000001,1.5110000000000001,0.006100942872989468,0.09263119176066702
33,TTMV,HLA-B15:02,Q9QU29|ORF3_TTVB1,0,3,0.0,2.053,0.0,0.04704076255069541
34,TTMV,HLA-B15:02,Q9QU30|CAPSD_TTVB1,20,77,4.468000000000001,79.524,0.5701161158606611,0.7046189560609953
