,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_respirovirus_1,HLA-A02:07,A0A059Q9W0|A0A059Q9W0_9MONO,5,19,1.089,21.080000000000002,0.2105161415039629,0.4351685555624368
1,Human_respirovirus_1,HLA-A02:07,A0A059QA59|A0A059QA59_9MONO,3,14,0.887,15.616999999999999,0.17146723371351247,0.3265720081135903
2,Human_respirovirus_1,HLA-A02:07,A0A059QA80|A0A059QA80_9MONO,4,21,0.752,19.873,0.09431832434466324,0.22824950899881705
3,Human_respirovirus_1,HLA-A02:07,A0A059QA96|A0A059QA96_9MONO,10,57,1.3499999999999996,49.988,0.19430051813471497,0.6364249793112229
4,Human_respirovirus_1,HLA-A02:07,J7FVD7|J7FVD7_9MONO,10,35,2.112,38.669,0.31812019882512427,0.5721197236236666
5,Human_respirovirus_1,HLA-A02:07,J7FXG7|J7FXG7_9MONO,13,37,2.447,40.552,0.38144972720187065,0.6503512204509735
6,Human_respirovirus_1,HLA-A02:07,T1UCP9|T1UCP9_9MONO,55,212,12.440000000000003,212.20499999999996,0.527632862535522,0.7158495199670756
7,Human_respirovirus_1,HLA-A02:07,T1UCW6|T1UCW6_9MONO,10,46,1.634,46.32700000000001,0.23266410365940482,0.5809683851469133
8,Human_respirovirus_1,HLA-A02:07,T1UDQ5|T1UDQ5_9MONO,3,14,0.887,15.616999999999999,0.17213273821075104,0.35610534716679965
9,Human_respirovirus_1,HLA-A02:07,T1UF10|T1UF10_9MONO,3,14,0.887,15.616999999999999,0.1863053980256249,0.3721611896194266
10,Human_respirovirus_1,HLA-A02:03,A0A059Q9W0|A0A059Q9W0_9MONO,5,17,1.334,16.781,0.2578774405567369,0.34642141987159636
11,Human_respirovirus_1,HLA-A02:03,A0A059QA59|A0A059QA59_9MONO,4,16,1.278,15.224999999999998,0.2470520007732457,0.31837477258944813
12,Human_respirovirus_1,HLA-A02:03,A0A059QA80|A0A059QA80_9MONO,6,25,1.4020000000000001,25.496000000000002,0.17584347171704504,0.2928319569986333
13,Human_respirovirus_1,HLA-A02:03,A0A059QA96|A0A059QA96_9MONO,12,59,2.847,58.730999999999995,0.40975820379965455,0.7477369660704054
14,Human_respirovirus_1,HLA-A02:03,J7FVD7|J7FVD7_9MONO,10,43,3.0540000000000003,43.524,0.4600090375056485,0.6439509387622246
15,Human_respirovirus_1,HLA-A02:03,J7FXG7|J7FXG7_9MONO,6,36,1.477,31.33299999999999,0.23024162120031177,0.502501844308304
16,Human_respirovirus_1,HLA-A02:03,T1UCP9|T1UCP9_9MONO,61,221,15.189,224.56399999999996,0.6442295457437333,0.7575412059182695
17,Human_respirovirus_1,HLA-A02:03,T1UCW6|T1UCW6_9MONO,19,64,5.048,62.83,0.7187811476576962,0.787925910134059
18,Human_respirovirus_1,HLA-A02:03,T1UDQ5|T1UDQ5_9MONO,4,16,1.278,15.224999999999998,0.248010867455851,0.3471667996807661
19,Human_respirovirus_1,HLA-A02:03,T1UF10|T1UF10_9MONO,4,16,1.278,15.224999999999998,0.26843100189035923,0.3628196268140981
20,Human_respirovirus_1,HLA-A66:01,A0A059Q9W0|A0A059Q9W0_9MONO,8,29,2.056,30.180999999999997,0.39744828919389136,0.6230465927623293
21,Human_respirovirus_1,HLA-A66:01,A0A059QA59|A0A059QA59_9MONO,8,28,2.056,29.973,0.39744828919389136,0.6267748478701826
22,Human_respirovirus_1,HLA-A66:01,A0A059QA80|A0A059QA80_9MONO,15,55,3.8360000000000003,51.44099999999999,0.48112379280070244,0.5908208620947086
23,Human_respirovirus_1,HLA-A66:01,A0A059QA96|A0A059QA96_9MONO,16,48,3.8120000000000003,55.175000000000004,0.5486470926885435,0.7024635559233561
24,Human_respirovirus_1,HLA-A66:01,J7FVD7|J7FVD7_9MONO,17,48,3.8150000000000004,52.713,0.5746347341467088,0.7799050141295182
25,Human_respirovirus_1,HLA-A66:01,J7FXG7|J7FXG7_9MONO,10,33,2.7640000000000002,31.666999999999994,0.43086515978176154,0.5078583571222375
26,Human_respirovirus_1,HLA-A66:01,T1UCP9|T1UCP9_9MONO,62,238,16.291999999999998,235.05899999999994,0.6910124273656528,0.7929448991020043
27,Human_respirovirus_1,HLA-A66:01,T1UCW6|T1UCW6_9MONO,24,69,5.314,78.229,0.756656699416204,0.9810386125079946
28,Human_respirovirus_1,HLA-A66:01,T1UDQ5|T1UDQ5_9MONO,8,28,2.056,29.973,0.3989908790995537,0.683456846425721
29,Human_respirovirus_1,HLA-A66:01,T1UF10|T1UF10_9MONO,8,25,2.056,26.798000000000002,0.4318420499894981,0.6386102042275338
30,Human_respirovirus_1,HLA-A31:08,A0A059Q9W0|A0A059Q9W0_9MONO,6,19,1.2830000000000001,20.521,0.2480185578967717,0.4236287442455771
31,Human_respirovirus_1,HLA-A31:08,A0A059QA59|A0A059QA59_9MONO,5,16,1.2040000000000002,18.373,0.23274695534506093,0.3842035925639364
32,Human_respirovirus_1,HLA-A31:08,A0A059QA80|A0A059QA80_9MONO,2,15,0.26,11.942,0.03261005894895272,0.13715873982105736
33,Human_respirovirus_1,HLA-A31:08,A0A059QA96|A0A059QA96_9MONO,6,32,1.942,31.522,0.2795048934945308,0.40132408173658407
34,Human_respirovirus_1,HLA-A31:08,J7FVD7|J7FVD7_9MONO,9,43,1.072,35.979,0.1614701009188131,0.532320347985619
35,Human_respirovirus_1,HLA-A31:08,J7FXG7|J7FXG7_9MONO,9,22,2.55,25.668,0.39750584567420105,0.4116496134971293
36,Human_respirovirus_1,HLA-A31:08,T1UCP9|T1UCP9_9MONO,60,235,14.831000000000001,231.5,0.6290452559698011,0.7809390159156384
37,Human_respirovirus_1,HLA-A31:08,T1UCW6|T1UCW6_9MONO,7,45,1.3850000000000002,43.355000000000004,0.19720916987042578,0.5436977213729449
38,Human_respirovirus_1,HLA-A31:08,T1UDQ5|T1UDQ5_9MONO,5,15,1.2040000000000002,18.028,0.23365030079565308,0.411081974689317
39,Human_respirovirus_1,HLA-A31:08,T1UF10|T1UF10_9MONO,5,15,1.2040000000000002,18.028,0.25288804872925863,0.429616566975669
40,Human_respirovirus_1,HLA-A02:36,A0A059Q9W0|A0A059Q9W0_9MONO,6,15,1.737,16.311,0.33578194471293255,0.336718895150802
41,Human_respirovirus_1,HLA-A02:36,A0A059QA59|A0A059QA59_9MONO,5,13,1.6139999999999999,14.472,0.3120046394741929,0.30262855230965474
42,Human_respirovirus_1,HLA-A02:36,A0A059QA80|A0A059QA80_9MONO,8,24,1.266,26.363999999999997,0.15878590242066976,0.30280129095983555
43,Human_respirovirus_1,HLA-A02:36,A0A059QA96|A0A059QA96_9MONO,11,62,2.2330000000000005,63.980000000000004,0.32138744962579163,0.8145648991024254
44,Human_respirovirus_1,HLA-A02:36,J7FVD7|J7FVD7_9MONO,11,41,2.1359999999999997,39.116,0.3217352010845006,0.5787332258207697
45,Human_respirovirus_1,HLA-A02:36,J7FXG7|J7FXG7_9MONO,7,42,1.754,38.217999999999996,0.2734216679657054,0.6129197806074991
46,Human_respirovirus_1,HLA-A02:36,T1UCP9|T1UCP9_9MONO,61,220,14.634999999999998,226.17699999999996,0.6207320693896593,0.7629824786295953
47,Human_respirovirus_1,HLA-A02:36,T1UCW6|T1UCW6_9MONO,15,47,4.08,52.926,0.580948312686886,0.6637238058213466
48,Human_respirovirus_1,HLA-A02:36,T1UDQ5|T1UDQ5_9MONO,5,13,1.6139999999999999,14.472,0.31321560256161457,0.3299965796374415
49,Human_respirovirus_1,HLA-A02:36,T1UF10|T1UF10_9MONO,5,13,1.6139999999999999,14.472,0.33900441083805927,0.3448752472416176
50,Human_respirovirus_1,HLA-A68:03,A0A059Q9W0|A0A059Q9W0_9MONO,6,30,1.771,29.375,0.3423545331529093,0.606407795049648
51,Human_respirovirus_1,HLA-A68:03,A0A059QA59|A0A059QA59_9MONO,6,26,1.771,25.577999999999996,0.3423545331529093,0.5348696179502729
52,Human_respirovirus_1,HLA-A68:03,A0A059QA80|A0A059QA80_9MONO,17,61,4.296,60.120999999999995,0.5388185124796188,0.6905142017067316
