,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Hepatitis_C,DRB1_1402,P0C045|F_HCV77,0,16,0.0,25.18,0.0,0.08968194607686007
1,Hepatitis_C,DRB1_1402,P27958|POLG_HCV77,92,430,33.44,1018.79,0.27217971675077324,0.41492320912937763
2,Hepatitis_C,DRB1_1406,P0C045|F_HCV77,2,21,0.41000000000000014,53.89,0.015073529411764711,0.19193646044805357
3,Hepatitis_C,DRB1_1406,P27958|POLG_HCV77,49,394,20.27,850.28,0.16498453524336643,0.3462940412239296
4,Hepatitis_C,DRB1_1405,P0C045|F_HCV77,10,27,2.8200000000000003,89.64,0.1036764705882353,0.31926487872635967
5,Hepatitis_C,DRB1_1405,P27958|POLG_HCV77,57,483,32.129999999999995,1002.3899999999999,0.2615171740192088,0.40824397137702256
6,Hepatitis_C,DRB1_1602,P0C045|F_HCV77,0,2,0.0,1.2899999999999991,0.0,0.004594507960252161
7,Hepatitis_C,DRB1_1602,P27958|POLG_HCV77,96,600,40.56,1402.3300000000002,0.3301318573986652,0.5711277730036615
8,Hepatitis_C,DRB1_1201,P0C045|F_HCV77,0,1,0.0,0.5599999999999996,0.0,0.001994515083520318
9,Hepatitis_C,DRB1_1201,P27958|POLG_HCV77,160,708,90.84,1865.1,0.7393781539964187,0.7596003860925238
10,Hepatitis_C,DRB1_0411,P0C045|F_HCV77,0,0,0.0,0.0,0.0,0.0
11,Hepatitis_C,DRB1_0411,P27958|POLG_HCV77,138,724,75.42,1842.4199999999998,0.6138694448966303,0.7503634890057302
12,Hepatitis_C,DRB1_0405,P0C045|F_HCV77,0,23,0.0,53.78,0.0,0.19154468069950495
13,Hepatitis_C,DRB1_0405,P27958|POLG_HCV77,124,633,52.620000000000005,1586.4899999999998,0.4282923652938304,0.6461307257154726
14,Hepatitis_C,DRB1_0406,P0C045|F_HCV77,0,1,0.0,0.08999999999999986,0.0,0.00032054706699433653
15,Hepatitis_C,DRB1_0406,P27958|POLG_HCV77,182,757,98.32,1963.7,0.8002604590590916,0.7997572667255852
16,Hepatitis_C,HLA-DQA10301-DQB10401,P0C045|F_HCV77,26,72,10.149999999999999,218.55,0.3731617647058823,0.7783951276845817
