,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Mumps_virus,DRB1_1402,P11235|HN_MUMPM,3,87,0.3599999999999999,140.13,0.0110735158412796,0.24370434782608694
1,Mumps_virus,DRB1_1402,P11236|FUS_MUMPM,18,154,7.640000000000001,316.8,0.11924457624473232,0.35746121297602257
2,Mumps_virus,DRB1_1402,P16595|PHOSP_MUMPM,0,38,0.0,40.04999999999998,0.0,0.06303810618103975
3,Mumps_virus,DRB1_1402,P21186|NCAP_MUMPM,59,168,44.35,504.5,0.6961230576047716,0.5363255586503094
4,Mumps_virus,DRB1_1402,P22112|SH_MUMPM,2,20,0.29000000000000004,47.879999999999995,0.01619207146845338,0.29945587591469136
5,Mumps_virus,DRB1_1402,P30928|V_MUMPM,0,14,0.0,12.980000000000004,0.0,0.03561433353454427
6,Mumps_virus,DRB1_1402,P30929|L_MUMPM,113,690,40.51999999999998,1628.9899999999998,0.30124154337967424,0.6060861994553004
7,Mumps_virus,DRB1_1402,Q9JG20|MATRX_MUMPM,12,127,3.2700000000000014,276.98999999999995,0.08207831325301207,0.4633024453885525
8,Mumps_virus,DRB1_1406,P11235|HN_MUMPM,7,98,1.8099999999999996,189.69000000000005,0.05567517686865578,0.32989565217391315
9,Mumps_virus,DRB1_1406,P11236|FUS_MUMPM,30,175,10.689999999999998,405.29999999999995,0.16684875916965813,0.4573201692524682
10,Mumps_virus,DRB1_1406,P16595|PHOSP_MUMPM,3,85,0.22999999999999998,186.52,0.006607296753806376,0.2935797144790896
11,Mumps_virus,DRB1_1406,P21186|NCAP_MUMPM,4,98,0.9300000000000002,177.40000000000003,0.014597394443572439,0.18859098930538137
12,Mumps_virus,DRB1_1406,P22112|SH_MUMPM,0,2,0.0,1.1099999999999994,0.0,0.006942272812558631
13,Mumps_virus,DRB1_1406,P30928|V_MUMPM,2,39,0.20000000000000018,76.24000000000001,0.008853474988933165,0.2091861932722384
14,Mumps_virus,DRB1_1406,P30929|L_MUMPM,152,637,81.22,1657.0,0.6038212772284589,0.6165076719301118
15,Mumps_virus,DRB1_1406,Q9JG20|MATRX_MUMPM,0,64,0.0,92.99000000000001,0.0,0.15553808583949424
16,Mumps_virus,DRB1_1405,P11235|HN_MUMPM,7,141,1.25,307.22999999999996,0.03844970778222085,0.5343130434782608
17,Mumps_virus,DRB1_1405,P11236|FUS_MUMPM,29,156,19.240000000000002,332.48,0.30029655064772903,0.3751537376586742
18,Mumps_virus,DRB1_1405,P16595|PHOSP_MUMPM,15,114,4.42,255.45,0.1269750071818443,0.4020745124580926
19,Mumps_virus,DRB1_1405,P21186|NCAP_MUMPM,44,194,18.560000000000006,544.8,0.2913200439491446,0.5791678183403142
20,Mumps_virus,DRB1_1405,P22112|SH_MUMPM,0,0,0.0,0.0,0.0,0.0
21,Mumps_virus,DRB1_1405,P30928|V_MUMPM,5,70,0.8900000000000006,148.86,0.03939796370075257,0.40843988366350215
22,Mumps_virus,DRB1_1405,P30929|L_MUMPM,109,655,48.28,1549.1299999999999,0.35893242138131,0.5763732829312577
23,Mumps_virus,DRB1_1405,Q9JG20|MATRX_MUMPM,0,29,0.0,26.349999999999994,0.0,0.04407386344629177
24,Mumps_virus,DRB1_1602,P11235|HN_MUMPM,8,114,1.4900000000000002,202.8,0.045832051676407255,0.3526956521739131
