,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A02:07,O91734|POLG_EC01F,39,158,8.402999999999999,166.364,0.45092567748859663,0.6327528040742276
1,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A02:03,O91734|POLG_EC01F,35,157,10.048,153.122,0.5392004292997048,0.5823878655565741
2,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A66:01,O91734|POLG_EC01F,41,202,8.377,188.27399999999997,0.4495304534478132,0.716085820455574
3,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A31:08,O91734|POLG_EC01F,44,224,12.094,210.088,0.6489938288167426,0.7990537081480749
4,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A02:36,O91734|POLG_EC01F,30,160,8.26,152.64,0.4432519452642876,0.5805546152646612
5,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A68:03,O91734|POLG_EC01F,55,182,11.545,193.63600000000002,0.6195331365709685,0.7364797790971433
6,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A26:01,O91734|POLG_EC01F,51,208,12.006999999999998,214.73699999999997,0.6443251945264286,0.8167358255901962
7,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A33:01,O91734|POLG_EC01F,71,182,18.635,212.082,1.0,0.8066377352893075
8,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A29:01,O91734|POLG_EC01F,66,246,16.568,261.23900000000003,0.8890796887577139,0.9936026410975162
9,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A24:07,O91734|POLG_EC01F,47,201,10.888000000000002,201.297,0.5842768983096325,0.7656178091517984
10,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-A02:13,O91734|POLG_EC01F,35,165,8.623999999999999,158.34200000000004,0.46278508183525613,0.6022417380125591
11,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-B15:02,O91734|POLG_EC01F,66,261,16.327,262.921,0.8761470351489133,1.0
12,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-B46:01,O91734|POLG_EC01F,59,217,12.765999999999998,225.066,0.6850550040246846,0.8560213904556883
