,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Vaccina_virus,HLA-A02:07,P01136|VGF_VACCW,5,12,1.433,13.060000000000002,0.499477169745556,0.5117153828069901
1,Vaccina_virus,HLA-A02:07,P03295|VP8_VACCW,7,20,1.88,23.893,0.5369894315909739,0.5869939072327045
2,Vaccina_virus,HLA-A02:07,P03296|C10_VACCW,7,26,1.3010000000000002,26.268,0.3127403846153846,0.4256270659148357
3,Vaccina_virus,HLA-A02:07,P04021|PG057_VACCW,8,33,1.7439999999999998,36.19,0.36145077720207247,0.6686744761834373
4,Vaccina_virus,HLA-A02:07,P04195|CAHH_VACCW,7,28,2.3,29.634000000000004,0.42878448918717366,0.42176425379294646
5,Vaccina_virus,HLA-A02:07,P04297|PG039_VACCW,13,31,2.3709999999999996,34.263000000000005,0.5448069852941176,0.6168512017283284
6,Vaccina_virus,HLA-A02:07,P04298|MCEL_VACCW,24,103,6.462,108.373,0.5671903800579302,0.715385275498551
7,Vaccina_virus,HLA-A02:07,P04300|PG114_VACCW,9,18,2.537,25.808,0.5666741121286575,0.5706325867291663
8,Vaccina_virus,HLA-A02:07,P04302|PG115_VACCW,3,24,0.3800000000000001,21.7,0.08790191996298868,0.47756332665771695
9,Vaccina_virus,HLA-A02:07,P04303|UNG_VACCW,5,24,1.483,22.038999999999998,0.2964221467119728,0.4281412697179267
10,Vaccina_virus,HLA-A02:07,P04305|PG117_VACCW,21,85,5.771999999999999,84.499,0.5842105263157894,0.7189018113136916
11,Vaccina_virus,HLA-A02:07,P04308|ETF1_VACCW,30,81,8.904000000000002,93.806,0.6674662668665668,0.6382967141389329
12,Vaccina_virus,HLA-A02:07,P04310|RP18_VACCW,3,13,1.019,13.839,0.4631818181818181,0.46304413290059226
13,Vaccina_virus,HLA-A02:07,P04311|PG121_VACCW,5,17,1.329,19.368000000000002,0.35870445344129553,0.5080930769432567
14,Vaccina_virus,HLA-A02:07,P04312|PG122_VACCW,6,26,1.862,25.525,0.5922391857506362,0.5906377267678637
15,Vaccina_virus,HLA-A02:07,P04318|MCES_VACCW,9,43,3.588,44.266000000000005,1.0,0.9284171228423416
16,Vaccina_virus,HLA-A02:07,P05807|NTP1_VACCW,14,62,3.1129999999999995,58.57000000000001,0.4085838036487728,0.610212225081525
17,Vaccina_virus,HLA-A02:07,P06440|PG129_VACCW,16,58,3.4160000000000004,56.321,0.41360939581063083,0.545434296284101
18,Vaccina_virus,HLA-A02:07,P06856|DPOL_VACCW,26,103,6.496,105.54500000000002,0.5442815249266864,0.6021302328765561
19,Vaccina_virus,HLA-A02:07,P07239|DUSP_VACCW,7,22,1.521,23.277,0.4154602567604479,0.7016851053567661
