,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,human_parvovirus_B19,HLA-A02:07,P0DJY9|75K_PAVHV,0,1,0.0,0.806,0.0,0.03995241399821553
1,human_parvovirus_B19,HLA-A02:07,P0DJZ0|11K_PAVHV,3,9,0.548,9.348,0.19934521644234268,0.38524623943952196
2,human_parvovirus_B19,HLA-A02:07,P0DJZ1|X_PAVHV,3,14,0.45500000000000007,12.992,0.122542418529491,0.3873583780560525
3,human_parvovirus_B19,HLA-A02:07,Q9PZT0-2|CAPSD_PAVHV,17,65,4.311,64.47,0.4315315315315315,0.5688596336427487
4,human_parvovirus_B19,HLA-A02:07,Q9PZT0|CAPSD_PAVHV,22,83,5.899000000000001,80.076,0.5085344827586208,0.5681848821780562
5,human_parvovirus_B19,HLA-A02:07,Q9PZT1|NS1_PAVHV,14,58,2.8280000000000003,55.479000000000006,0.39646712463199213,0.6229535808125042
6,human_parvovirus_B19,HLA-A02:03,P0DJY9|75K_PAVHV,3,9,0.33499999999999996,8.299,0.25769230769230766,0.4113710716764152
7,human_parvovirus_B19,HLA-A02:03,P0DJZ0|11K_PAVHV,2,7,0.505,6.247999999999999,0.18370316478719534,0.2574902122398516
8,human_parvovirus_B19,HLA-A02:03,P0DJZ1|X_PAVHV,1,7,0.386,6.818,0.10395906275249125,0.20327966607036374
9,human_parvovirus_B19,HLA-A02:03,Q9PZT0-2|CAPSD_PAVHV,9,38,2.785,39.580000000000005,0.27877877877877877,0.3492394028165038
10,human_parvovirus_B19,HLA-A02:03,Q9PZT0|CAPSD_PAVHV,15,56,4.711,62.509,0.40612068965517245,0.44353699985099304
11,human_parvovirus_B19,HLA-A02:03,Q9PZT1|NS1_PAVHV,27,64,7.133000000000001,77.281,1.0,0.8677603359608345
12,human_parvovirus_B19,HLA-A66:01,P0DJY9|75K_PAVHV,1,8,0.013000000000000012,4.32,0.010000000000000009,0.21413700803013783
13,human_parvovirus_B19,HLA-A66:01,P0DJZ0|11K_PAVHV,2,11,0.32099999999999995,10.843,0.11676973444889048,0.4468576138471049
14,human_parvovirus_B19,HLA-A66:01,P0DJZ1|X_PAVHV,3,11,0.15399999999999991,10.13,0.04147589550228924,0.30202742993440673
15,human_parvovirus_B19,HLA-A66:01,Q9PZT0-2|CAPSD_PAVHV,12,52,2.183,52.646,0.2185185185185185,0.4645289944587584
16,human_parvovirus_B19,HLA-A66:01,Q9PZT0|CAPSD_PAVHV,19,76,3.7489999999999988,76.96500000000002,0.3231896551724137,0.5461105631754097
17,human_parvovirus_B19,HLA-A66:01,Q9PZT1|NS1_PAVHV,8,36,1.7510000000000003,36.099000000000004,0.24547876068975188,0.40534258573064746
18,human_parvovirus_B19,HLA-A31:08,P0DJY9|75K_PAVHV,0,0,0.0,0.0,0.0,0.0
19,human_parvovirus_B19,HLA-A31:08,P0DJZ0|11K_PAVHV,2,9,0.66,9.743,0.2400873044743543,0.4015248300020606
20,human_parvovirus_B19,HLA-A31:08,P0DJZ1|X_PAVHV,6,26,1.275,26.226999999999997,0.3433880958793429,0.7819618366129993
21,human_parvovirus_B19,HLA-A31:08,Q9PZT0-2|CAPSD_PAVHV,26,85,5.8580000000000005,91.44900000000001,0.5863863863863864,0.8069124342639327
22,human_parvovirus_B19,HLA-A31:08,Q9PZT0|CAPSD_PAVHV,33,106,7.8919999999999995,113.309,0.6803448275862068,0.8039919678144934
23,human_parvovirus_B19,HLA-A31:08,Q9PZT1|NS1_PAVHV,21,65,4.986,67.23400000000001,0.6990046263844104,0.754946214826293
24,human_parvovirus_B19,HLA-A02:36,P0DJY9|75K_PAVHV,1,4,0.016000000000000014,4.934,0.012307692307692318,0.24457222167145834
25,human_parvovirus_B19,HLA-A02:36,P0DJZ0|11K_PAVHV,1,3,0.395,4.635,0.14368861404146963,0.19101586647434576
26,human_parvovirus_B19,HLA-A02:36,P0DJZ1|X_PAVHV,1,10,0.318,9.662,0.08564503097225964,0.2880739415623137
27,human_parvovirus_B19,HLA-A02:36,Q9PZT0-2|CAPSD_PAVHV,12,48,3.068,45.066,0.3071071071071071,0.39764585465711366
28,human_parvovirus_B19,HLA-A02:36,Q9PZT0|CAPSD_PAVHV,15,64,4.375,63.10600000000001,0.3771551724137931,0.4477730552815878
29,human_parvovirus_B19,HLA-A02:36,Q9PZT1|NS1_PAVHV,25,59,5.702999999999999,70.816,0.7995233422122527,0.79516719441263
30,human_parvovirus_B19,HLA-A68:03,P0DJY9|75K_PAVHV,0,8,0.0,4.530999999999999,0.0,0.2245960146723505
31,human_parvovirus_B19,HLA-A68:03,P0DJZ0|11K_PAVHV,3,11,0.40700000000000003,13.711,0.14805383775918515,0.5650525448176386
32,human_parvovirus_B19,HLA-A68:03,P0DJZ1|X_PAVHV,0,3,0.0,1.9429999999999996,0.0,0.057930828861061406
33,human_parvovirus_B19,HLA-A68:03,Q9PZT0-2|CAPSD_PAVHV,8,40,1.9769999999999999,38.878,0.19789789789789788,0.3430452122966153
34,human_parvovirus_B19,HLA-A68:03,Q9PZT0|CAPSD_PAVHV,14,55,2.862,55.915,0.2467241379310345,0.396748809718093
