,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_astrovirus_1,DRB1_1402,O12792|CAPSD_HASV1,47,227,25.380000000000003,543.56,0.26065523261784945,0.4428512070131415
1,Human_astrovirus_1,DRB1_1402,P0C6K4|NS1A_HASV1,56,327,18.340000000000003,809.8,0.25071770334928234,0.6157800285914165
2,Human_astrovirus_1,DRB1_1402,Q67726|NS1AB_HASV1,91,478,32.83,1212.7199999999998,0.43529567753911425,0.8008188331627429
3,Human_astrovirus_1,DRB1_1406,O12792|CAPSD_HASV1,38,158,26.03,392.5,0.2673308000410804,0.3197790469362316
4,Human_astrovirus_1,DRB1_1406,P0C6K4|NS1A_HASV1,107,420,48.989999999999995,1119.51,0.6697197539302802,0.8512866137421298
5,Human_astrovirus_1,DRB1_1406,Q67726|NS1AB_HASV1,125,537,57.230000000000004,1375.03,0.7588172898435429,0.9080001320698649
6,Human_astrovirus_1,DRB1_1405,O12792|CAPSD_HASV1,58,152,36.480000000000004,443.76,0.3746533839991784,0.3615417831042602
7,Human_astrovirus_1,DRB1_1405,P0C6K4|NS1A_HASV1,118,459,64.79,1246.41,0.8857142857142857,0.9477826444018616
8,Human_astrovirus_1,DRB1_1405,Q67726|NS1AB_HASV1,138,573,74.07,1496.77,0.9821002386634844,0.9883910588701422
9,Human_astrovirus_1,DRB1_1602,O12792|CAPSD_HASV1,32,258,9.170000000000002,597.1099999999999,0.094176851186197,0.4864796604231675
10,Human_astrovirus_1,DRB1_1602,P0C6K4|NS1A_HASV1,16,256,3.860000000000001,559.01,0.05276828434723173,0.425076801411321
11,Human_astrovirus_1,DRB1_1602,Q67726|NS1AB_HASV1,118,408,65.68,1145.87,0.8708565367276585,0.7566744808003433
12,Human_astrovirus_1,DRB1_1201,O12792|CAPSD_HASV1,0,59,0.0,93.44,0.0,0.07612778126298467
13,Human_astrovirus_1,DRB1_1201,P0C6K4|NS1A_HASV1,117,479,73.15,1315.08,1.0,1.0
14,Human_astrovirus_1,DRB1_1201,Q67726|NS1AB_HASV1,126,530,75.42,1440.12,1.0,0.9509822696206292
15,Human_astrovirus_1,DRB1_0411,O12792|CAPSD_HASV1,54,301,28.249999999999993,694.29,0.29013043031734614,0.565654508273519
16,Human_astrovirus_1,DRB1_0411,P0C6K4|NS1A_HASV1,24,228,6.489999999999998,527.64,0.08872180451127817,0.40122273930103114
17,Human_astrovirus_1,DRB1_0411,Q67726|NS1AB_HASV1,96,394,49.81,1072.13,0.6604348979050649,0.7079803215901211
18,Human_astrovirus_1,DRB1_0405,O12792|CAPSD_HASV1,69,283,44.02000000000001,733.06,0.45208996610865776,0.5972413455976406
19,Human_astrovirus_1,DRB1_0405,P0C6K4|NS1A_HASV1,21,277,6.68,606.95,0.09131920710868079,0.46153085743833083
20,Human_astrovirus_1,DRB1_0405,Q67726|NS1AB_HASV1,93,466,41.45000000000001,1177.6100000000001,0.5495889684433838,0.7776339683692673
21,Human_astrovirus_1,DRB1_0406,O12792|CAPSD_HASV1,78,352,35.589999999999996,874.49,0.3655129916812159,0.712467716573924
22,Human_astrovirus_1,DRB1_0406,P0C6K4|NS1A_HASV1,28,216,14.2,452.70000000000005,0.1941216678058783,0.344237612920887
23,Human_astrovirus_1,DRB1_0406,Q67726|NS1AB_HASV1,80,362,39.84,892.03,0.5282418456642801,0.5890514081949351
24,Human_astrovirus_1,HLA-DQA10301-DQB10401,O12792|CAPSD_HASV1,47,250,16.96,604.79,0.1741809592276882,0.49273673833519366
25,Human_astrovirus_1,HLA-DQA10301-DQB10401,P0C6K4|NS1A_HASV1,31,245,8.819999999999997,573.5799999999999,0.12057416267942578,0.43615597530188277
26,Human_astrovirus_1,HLA-DQA10301-DQB10401,Q67726|NS1AB_HASV1,44,402,14.639999999999993,884.06,0.19411296738265704,0.5837884240763362
27,Human_astrovirus_1,HLA-DQA10303-DQB10401,O12792|CAPSD_HASV1,47,250,16.96,604.79,0.1741809592276882,0.49273673833519366
28,Human_astrovirus_1,HLA-DQA10303-DQB10401,P0C6K4|NS1A_HASV1,31,245,8.819999999999997,573.5799999999999,0.12057416267942578,0.43615597530188277
29,Human_astrovirus_1,HLA-DQA10303-DQB10401,Q67726|NS1AB_HASV1,44,402,14.639999999999993,884.06,0.19411296738265704,0.5837884240763362
30,Human_astrovirus_1,DRB1_0101,O12792|CAPSD_HASV1,20,229,5.030000000000001,511.8900000000001,0.051658621752079706,0.41704890786289844
31,Human_astrovirus_1,DRB1_0101,P0C6K4|NS1A_HASV1,27,283,7.989999999999998,623.4599999999999,0.10922761449077235,0.47408522675426584
32,Human_astrovirus_1,DRB1_0101,Q67726|NS1AB_HASV1,74,456,33.19,1119.31,0.4400689472288517,0.7391356027338462
33,Human_astrovirus_1,DRB1_0102,O12792|CAPSD_HASV1,23,142,8.310000000000002,330.53,0.08534456198007602,0.26929062008619775
34,Human_astrovirus_1,DRB1_0102,P0C6K4|NS1A_HASV1,91,384,29.869999999999997,1051.79,0.4083390293916609,0.7997916476564163
35,Human_astrovirus_1,DRB1_0102,Q67726|NS1AB_HASV1,108,462,35.640000000000015,1240.54,0.47255369928400975,0.8191897513784792
36,Human_astrovirus_1,DRB1_0301,O12792|CAPSD_HASV1,26,164,7.310000000000002,374.01,0.07507445825202837,0.3047148059735541
37,Human_astrovirus_1,DRB1_0301,P0C6K4|NS1A_HASV1,25,317,6.549999999999997,708.6199999999999,0.08954203691045792,0.5388417434680779
38,Human_astrovirus_1,DRB1_0301,Q67726|NS1AB_HASV1,110,549,53.26999999999999,1425.8400000000001,0.7063113232564305,0.941552481262588
39,Human_astrovirus_1,DRB1_0302,O12792|CAPSD_HASV1,94,345,47.67000000000001,982.9100000000001,0.4895758447160317,0.8008000586601056
40,Human_astrovirus_1,DRB1_0302,P0C6K4|NS1A_HASV1,46,211,29.86,534.8599999999999,0.4082023239917976,0.4067128995954618
41,Human_astrovirus_1,DRB1_0302,Q67726|NS1AB_HASV1,74,410,42.67,1024.87,0.5657650490586051,0.6767722125004126
42,Human_astrovirus_1,DRB1_0401,O12792|CAPSD_HASV1,81,442,37.25,1137.72,0.3825613638697751,0.926927432561247
43,Human_astrovirus_1,DRB1_0401,P0C6K4|NS1A_HASV1,31,215,13.560000000000002,485.23,0.1853725222146275,0.3689737506463485
44,Human_astrovirus_1,DRB1_0401,Q67726|NS1AB_HASV1,66,331,36.75,832.6400000000001,0.48727128082736676,0.5498332617954899
45,Human_astrovirus_1,DRB1_0402,O12792|CAPSD_HASV1,30,256,7.829999999999998,635.61,0.0804149121906131,0.5178465223519444
46,Human_astrovirus_1,DRB1_0402,P0C6K4|NS1A_HASV1,78,219,49.69000000000001,667.4300000000001,0.6792891319207109,0.507520455029352
47,Human_astrovirus_1,DRB1_0402,Q67726|NS1AB_HASV1,83,362,50.34,958.55,0.6674622116149562,0.6329778452801531
48,Human_astrovirus_1,DRB1_0403,O12792|CAPSD_HASV1,78,353,35.589999999999996,874.49,0.3655129916812159,0.712467716573924
49,Human_astrovirus_1,DRB1_0403,P0C6K4|NS1A_HASV1,28,216,14.2,452.70000000000005,0.1941216678058783,0.344237612920887
50,Human_astrovirus_1,DRB1_0403,Q67726|NS1AB_HASV1,80,362,39.84,892.03,0.5282418456642801,0.5890514081949351
51,Human_astrovirus_1,DRB1_0404,O12792|CAPSD_HASV1,45,309,19.070000000000004,698.0899999999999,0.19585087809386878,0.5687504582820736
