,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Marburgvirus,HLA-A02:07,P27588|NCAP_MABVM,17,61,3.833,61.895999999999994,0.3447872627507421,0.5419964973730297
1,Marburgvirus,HLA-A02:07,P31352|L_MABVM,73,258,18.080000000000002,269.556,0.6992574257425743,0.7468828621144445
2,Marburgvirus,HLA-A02:07,P35253|VGP_MABVM,10,54,2.2590000000000003,48.669,0.3613821788513838,0.6301907314609798
3,Marburgvirus,HLA-A02:07,P35256|VP24_MABVM,5,30,1.244,27.533,0.26672384219554035,0.5521175904387583
4,Marburgvirus,HLA-A02:07,P35258|VP30_MABVM,4,12,0.8900000000000001,14.496,0.22144812142323964,0.2944904924427109
5,Marburgvirus,HLA-A02:07,P35259|VP35_MABVM,17,44,4.074999999999999,45.101000000000006,0.6734424062138488,0.8198691147064172
6,Marburgvirus,HLA-A02:07,P35260|VP40_MABVM,13,35,2.512,38.25,0.5152820512820513,0.7004211682841971
7,Marburgvirus,HLA-A02:03,P27588|NCAP_MABVM,21,63,5.112000000000001,69.82600000000001,0.459836286768013,0.6114360770577933
8,Marburgvirus,HLA-A02:03,P31352|L_MABVM,77,246,20.268,254.22500000000002,0.7838799504950494,0.7044038924047126
9,Marburgvirus,HLA-A02:03,P35253|VGP_MABVM,11,33,3.573,36.706,0.5715885458326667,0.4752877804969637
10,Marburgvirus,HLA-A02:03,P35256|VP24_MABVM,11,32,2.053000000000001,31.698999999999998,0.44018010291595216,0.635658137482955
11,Marburgvirus,HLA-A02:03,P35258|VP30_MABVM,2,14,0.5429999999999999,11.137,0.13510823587957202,0.22625142207053472
12,Marburgvirus,HLA-A02:03,P35259|VP35_MABVM,13,45,4.264,48.131,0.7046769129069576,0.8749500090892566
13,Marburgvirus,HLA-A02:03,P35260|VP40_MABVM,9,31,2.177,31.166000000000007,0.44656410256410256,0.5707013367515108
14,Marburgvirus,HLA-A66:01,P27588|NCAP_MABVM,12,49,3.4419999999999997,47.271,0.30961590357110724,0.41393169877408054
15,Marburgvirus,HLA-A66:01,P31352|L_MABVM,48,201,11.356,195.61200000000002,0.4392017326732673,0.5419996231726646
16,Marburgvirus,HLA-A66:01,P35253|VGP_MABVM,17,65,4.0040000000000004,64.519,0.6405375139977604,0.8354245166970958
17,Marburgvirus,HLA-A66:01,P35256|VP24_MABVM,4,24,1.433,18.990000000000002,0.3072469982847342,0.38080532606080053
18,Marburgvirus,HLA-A66:01,P35258|VP30_MABVM,7,20,1.588,22.172,0.39512316496640953,0.45043068421908017
19,Marburgvirus,HLA-A66:01,P35259|VP35_MABVM,15,51,3.295,51.816,0.5445380928772103,0.9419378294855482
20,Marburgvirus,HLA-A66:01,P35260|VP40_MABVM,3,38,0.9730000000000001,30.147999999999996,0.1995897435897436,0.5520600622596593
21,Marburgvirus,HLA-A31:08,P27588|NCAP_MABVM,11,41,2.5620000000000003,42.708,0.23045785733561214,0.37397548161120836
22,Marburgvirus,HLA-A31:08,P31352|L_MABVM,90,345,23.673000000000002,360.908,0.9155708539603961,1.0
23,Marburgvirus,HLA-A31:08,P35253|VGP_MABVM,4,32,0.7080000000000002,24.810000000000002,0.11326187809950411,0.3212523792875734
24,Marburgvirus,HLA-A31:08,P35256|VP24_MABVM,6,29,1.484,26.98,0.3181818181818182,0.5410283147509425
25,Marburgvirus,HLA-A31:08,P35258|VP30_MABVM,2,13,0.09200000000000008,10.755000000000003,0.02289126648420007,0.2184909800097514
26,Marburgvirus,HLA-A31:08,P35259|VP35_MABVM,1,18,0.318,15.854,0.052553296975706494,0.28820214506453373
27,Marburgvirus,HLA-A31:08,P35260|VP40_MABVM,7,35,1.638,33.78,0.33599999999999997,0.6185680278337301
28,Marburgvirus,HLA-A02:36,P27588|NCAP_MABVM,19,71,4.389000000000001,71.57799999999999,0.3948007555995323,0.6267775831873904
29,Marburgvirus,HLA-A02:36,P31352|L_MABVM,78,240,20.717000000000002,256.902,0.8012453589108911,0.7118212951777183
30,Marburgvirus,HLA-A02:36,P35253|VGP_MABVM,9,38,2.0749999999999997,38.416000000000004,0.33194688849784026,0.4974297219956236
31,Marburgvirus,HLA-A02:36,P35256|VP24_MABVM,9,29,2.0309999999999997,31.829,0.4354631217838765,0.638265019651881
32,Marburgvirus,HLA-A02:36,P35258|VP30_MABVM,3,13,0.8580000000000001,13.812000000000001,0.21348594177656136,0.28059483178937106
33,Marburgvirus,HLA-A02:36,P35259|VP35_MABVM,15,41,4.829000000000001,45.277,0.798049909105933,0.8230685329940012
34,Marburgvirus,HLA-A02:36,P35260|VP40_MABVM,10,33,2.682,36.812,0.5501538461538461,0.6740889946896172
35,Marburgvirus,HLA-A68:03,P27588|NCAP_MABVM,14,61,3.9550000000000005,57.96499999999999,0.3557614464333903,0.5075744308231173
