,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Sindbis_virus,HLA-A02:07,P03316|POLS_SINDV,22,81,5.393999999999999,80.96,0.36877008272372996,0.40164707049660164
1,Sindbis_virus,HLA-A02:07,P03317|POLN_SINDV,50,201,11.07,196.577,0.42739662561291064,0.6252846873210764
2,Sindbis_virus,HLA-A02:07,P0DOK0|POLSF_SINDV,16,44,3.689,46.18000000000001,0.3665176353700944,0.3242749806895584
3,Sindbis_virus,HLA-A02:03,P03316|POLS_SINDV,25,82,5.805000000000001,83.93200000000002,0.39686880426608323,0.4163913280746144
4,Sindbis_virus,HLA-A02:03,P03317|POLN_SINDV,65,196,15.252999999999997,211.06,0.5888961816146092,0.6713531395126917
5,Sindbis_virus,HLA-A02:03,P0DOK0|POLSF_SINDV,11,46,2.245,42.644000000000005,0.22305017386984602,0.2994452636753037
6,Sindbis_virus,HLA-A66:01,P03316|POLS_SINDV,44,125,9.503,143.105,0.6496889314281806,0.7099518777595872
7,Sindbis_virus,HLA-A66:01,P03317|POLN_SINDV,57,260,12.725,257.293,0.4912937724412184,0.8184140212481711
8,Sindbis_virus,HLA-A66:01,P0DOK0|POLSF_SINDV,32,80,7.220000000000001,92.94,0.717337307501242,0.6526227090794186
9,Sindbis_virus,HLA-A31:08,P03316|POLS_SINDV,28,118,6.731000000000001,118.177,0.4601763861352293,0.5862826809545072
10,Sindbis_virus,HLA-A31:08,P03317|POLN_SINDV,37,178,8.703999999999999,178.884,0.33604880120458663,0.5690056619377822
11,Sindbis_virus,HLA-A31:08,P0DOK0|POLSF_SINDV,16,76,3.4770000000000003,74.54100000000001,0.3454545454545455,0.5234253212555299
12,Sindbis_virus,HLA-A02:36,P03316|POLS_SINDV,19,76,5.282,77.697,0.3611130101866411,0.3854591457062063
13,Sindbis_virus,HLA-A02:36,P03317|POLN_SINDV,51,179,10.957999999999998,197.618,0.4230724682444692,0.6285959666645461
14,Sindbis_virus,HLA-A02:36,P0DOK0|POLSF_SINDV,10,42,2.814,43.36300000000001,0.27958271236959764,0.30449406642791943
15,Sindbis_virus,HLA-A68:03,P03316|POLS_SINDV,21,98,5.238,100.05900000000001,0.35810487454707046,0.49639827355261207
16,Sindbis_virus,HLA-A68:03,P03317|POLN_SINDV,71,268,15.391000000000002,270.553,0.5942241612292961,0.8605922768623958
17,Sindbis_virus,HLA-A68:03,P0DOK0|POLSF_SINDV,14,69,4.269,69.029,0.4241430700447094,0.48472017414507407
18,Sindbis_virus,HLA-A26:01,P03316|POLS_SINDV,38,116,9.428,115.645,0.6445614274970943,0.573721287890063
19,Sindbis_virus,HLA-A26:01,P03317|POLN_SINDV,60,210,14.200000000000001,220.28299999999996,0.548241380641674,0.7006902474712131
20,Sindbis_virus,HLA-A26:01,P0DOK0|POLSF_SINDV,24,74,6.242,72.59,0.6201689021361153,0.5097254406291694
21,Sindbis_virus,HLA-A33:01,P03316|POLS_SINDV,25,87,6.15,88.55000000000001,0.4204553223490804,0.43930148335565816
22,Sindbis_virus,HLA-A33:01,P03317|POLN_SINDV,64,242,14.122,240.599,0.5452299139029381,0.7653126789235957
23,Sindbis_virus,HLA-A33:01,P0DOK0|POLSF_SINDV,19,73,5.285,71.38499999999999,0.5250869349230005,0.5012639561828522
24,Sindbis_virus,HLA-A29:01,P03316|POLS_SINDV,26,104,5.825,111.998,0.39823613864770624,0.5556283177060078
25,Sindbis_virus,HLA-A29:01,P03317|POLN_SINDV,47,192,12.469,200.13600000000002,0.48140998417049524,0.6366053820217572
26,Sindbis_virus,HLA-A29:01,P0DOK0|POLSF_SINDV,18,61,4.074,68.995,0.404769001490313,0.4844814268660909
27,Sindbis_virus,HLA-A24:07,P03316|POLS_SINDV,31,107,6.763999999999999,113.599,0.46243248786490726,0.5635709679019696
28,Sindbis_virus,HLA-A24:07,P03317|POLN_SINDV,39,169,8.869000000000002,165.746,0.34241921161345124,0.5272154717221198
29,Sindbis_virus,HLA-A24:07,P0DOK0|POLSF_SINDV,21,68,4.247,71.95500000000001,0.42195727769498265,0.5052664840952181
30,Sindbis_virus,HLA-A02:13,P03316|POLS_SINDV,27,84,5.525,88.08000000000003,0.3777261229233609,0.43696978717071006
31,Sindbis_virus,HLA-A02:13,P03317|POLN_SINDV,63,205,14.511,221.185,0.5602486390486853,0.7035593867294357
32,Sindbis_virus,HLA-A02:13,P0DOK0|POLSF_SINDV,13,53,2.4110000000000005,49.72800000000001,0.23954297069051173,0.3491889614493365
33,Sindbis_virus,HLA-B15:02,P03316|POLS_SINDV,40,141,11.308,155.643,0.7730908593696587,0.7721535942848639
34,Sindbis_virus,HLA-B15:02,P03317|POLN_SINDV,62,228,16.578000000000003,232.851,0.6400525076251883,0.7406673452509702
35,Sindbis_virus,HLA-B15:02,P0DOK0|POLSF_SINDV,27,78,7.275,89.215,0.722801788375559,0.626465838073169
36,Sindbis_virus,HLA-B46:01,P03316|POLS_SINDV,30,129,9.23,130.273,0.6310248171190264,0.6462916108547899
37,Sindbis_virus,HLA-B46:01,P03317|POLN_SINDV,62,248,16.901000000000003,246.86,0.6525230686073897,0.7852280679432534
38,Sindbis_virus,HLA-B46:01,P0DOK0|POLSF_SINDV,13,71,4.221,68.111,0.41937406855439646,0.47827399761252726
39,Sindbis_virus,HLA-B38:02,P03316|POLS_SINDV,26,107,7.673,101.891,0.5245778355096739,0.5054869276181972
