,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Yellow_fever_virus,HLA-A02:07,P03314|POLG_YEFV1,74,288,18.595000000000002,283.969,0.5528303008681176,0.6763453358040098
1,Yellow_fever_virus,HLA-A02:03,P03314|POLG_YEFV1,95,322,25.817000000000004,345.673,0.767540730170056,0.8233093093379189
2,Yellow_fever_virus,HLA-A66:01,P03314|POLG_YEFV1,68,272,17.124,270.132,0.5090973956475204,0.6433889553134631
3,Yellow_fever_virus,HLA-A31:08,P03314|POLG_YEFV1,60,298,16.631999999999998,285.37,0.49447021048876194,0.6796821782602689
4,Yellow_fever_virus,HLA-A02:36,P03314|POLG_YEFV1,93,327,24.672000000000004,343.731,0.7334998216196933,0.8186839359974085
5,Yellow_fever_virus,HLA-A68:03,P03314|POLG_YEFV1,60,310,13.422999999999998,303.08299999999997,0.3990664763943393,0.7218702513707014
6,Yellow_fever_virus,HLA-A26:01,P03314|POLG_YEFV1,55,249,14.636,238.39,0.43512902842192885,0.5677872042452448
7,Yellow_fever_virus,HLA-A33:01,P03314|POLG_YEFV1,78,328,19.199000000000005,318.894,0.5707872517540731,0.7595282214462984
8,Yellow_fever_virus,HLA-A29:01,P03314|POLG_YEFV1,45,207,12.169999999999998,199.523,0.36181472232132234,0.475215429978707
9,Yellow_fever_virus,HLA-A24:07,P03314|POLG_YEFV1,47,244,12.536000000000001,225.969,0.3726959210369842,0.538203392575585
10,Yellow_fever_virus,HLA-A02:13,P03314|POLG_YEFV1,101,327,27.196,348.29,0.8085384706861696,0.8295423690866911
11,Yellow_fever_virus,HLA-B15:02,P03314|POLG_YEFV1,64,258,16.679,260.423,0.4958675228921393,0.6202644703685531
12,Yellow_fever_virus,HLA-B46:01,P03314|POLG_YEFV1,81,300,18.496,310.39300000000003,0.5498870258056843,0.7392808997327668
13,Yellow_fever_virus,HLA-B38:02,P03314|POLG_YEFV1,68,272,15.453999999999997,268.355,0.45944821025092153,0.6391565719838611
14,Yellow_fever_virus,HLA-B54:01,P03314|POLG_YEFV1,61,246,12.630000000000003,227.91200000000003,0.3754905458437389,0.5428311476737373
15,Yellow_fever_virus,HLA-B13:02,P03314|POLG_YEFV1,67,313,16.407,319.06600000000003,0.4877809489832322,0.7599378837607
16,Yellow_fever_virus,HLA-B14:05,P03314|POLG_YEFV1,81,306,20.56,296.058,0.6112498513497442,0.7051384039365689
