,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_rhinovirus_C,HLA-A02:07,E5D8F2|POLG_HRV15,56,202,13.472999999999999,198.019,0.7381656804733726,0.8180710248868032
1,Human_rhinovirus_C,HLA-A02:03,E5D8F2|POLG_HRV15,37,144,8.456000000000001,143.536,0.46329169406092485,0.5929867468684933
2,Human_rhinovirus_C,HLA-A66:01,E5D8F2|POLG_HRV15,50,209,11.710000000000003,211.284,0.6415735261889108,0.872872393165218
3,Human_rhinovirus_C,HLA-A31:08,E5D8F2|POLG_HRV15,53,229,13.151,230.18999999999997,0.7205237782160858,0.950978286016459
4,Human_rhinovirus_C,HLA-A02:36,E5D8F2|POLG_HRV15,41,151,10.226999999999999,156.60199999999998,0.5603221564760025,0.6469659913408466
5,Human_rhinovirus_C,HLA-A68:03,E5D8F2|POLG_HRV15,45,156,8.972999999999999,165.087,0.4916173570019723,0.6820198631721585
6,Human_rhinovirus_C,HLA-A26:01,E5D8F2|POLG_HRV15,61,234,14.7,238.79499999999996,0.8053911900065744,0.9865279108966519
7,Human_rhinovirus_C,HLA-A33:01,E5D8F2|POLG_HRV15,43,152,10.113999999999999,155.94299999999998,0.554131054131054,0.6442434808474072
8,Human_rhinovirus_C,HLA-A29:01,E5D8F2|POLG_HRV15,62,235,15.395999999999999,235.25600000000003,0.843523997370151,0.9719073272300627
9,Human_rhinovirus_C,HLA-A24:07,E5D8F2|POLG_HRV15,55,212,12.653000000000002,217.96399999999994,0.693239097085251,0.9004693128862741
10,Human_rhinovirus_C,HLA-A02:13,E5D8F2|POLG_HRV15,39,151,8.850999999999999,152.324,0.48493315801008097,0.6292923951482302
11,Human_rhinovirus_C,HLA-B15:02,E5D8F2|POLG_HRV15,47,225,11.424000000000001,219.55,0.6259040105193951,0.9070215156823216
12,Human_rhinovirus_C,HLA-B46:01,E5D8F2|POLG_HRV15,52,198,12.772,206.89499999999998,0.6997589305281612,0.8547402254023863
13,Human_rhinovirus_C,HLA-B38:02,E5D8F2|POLG_HRV15,57,212,16.1,219.117,0.8820951128643436,0.9052326734309416
14,Human_rhinovirus_C,HLA-B54:01,E5D8F2|POLG_HRV15,45,192,12.665000000000001,182.542,0.6938965592811747,0.7541312754073438
15,Human_rhinovirus_C,HLA-B13:02,E5D8F2|POLG_HRV15,39,171,8.539,170.123,0.46783914091606393,0.7028249661235416
16,Human_rhinovirus_C,HLA-B14:05,E5D8F2|POLG_HRV15,60,190,15.312000000000001,199.59,0.8389217619986851,0.8245612585517401
17,Human_rhinovirus_C,HLA-B45:01,E5D8F2|POLG_HRV15,37,129,9.986,131.163,0.547118124041201,0.541870476253429
18,Human_rhinovirus_C,HLA-B55:02,E5D8F2|POLG_HRV15,43,192,10.636999999999999,184.85399999999998,0.5827854481700634,0.7636827841491225
19,Human_rhinovirus_C,HLA-B07:05,E5D8F2|POLG_HRV15,51,194,11.809000000000001,195.09500000000003,0.6469975893052816,0.8059911755957301
20,Human_rhinovirus_C,HLA-B35:14,E5D8F2|POLG_HRV15,57,220,14.607000000000001,227.591,0.8002958579881656,0.9402411012327727
21,Human_rhinovirus_C,HLA-B39:05,E5D8F2|POLG_HRV15,55,198,13.975000000000003,201.36,0.7656695156695157,0.8318736160227387
22,Human_rhinovirus_C,HLA-C14:03,E5D8F2|POLG_HRV15,55,233,13.771000000000003,226.35499999999996,0.7544926583388122,0.9351348448292957
23,Human_rhinovirus_C,HLA-C05:09,E5D8F2|POLG_HRV15,51,216,12.153,231.067,0.6658448389217619,0.9546014145486996
24,Human_rhinovirus_C,HLA-C06:03,E5D8F2|POLG_HRV15,48,223,12.088999999999999,219.26000000000002,0.6623383738768353,0.9058234458141919
25,Human_rhinovirus_C,HLA-A01:01,E5D8F2|POLG_HRV15,60,230,13.745999999999999,229.11399999999998,0.7531229454306375,0.9465330336781571
26,Human_rhinovirus_C,HLA-A02:01,E5D8F2|POLG_HRV15,42,152,9.728000000000002,151.198,0.5329826868288406,0.6246405790395612
27,Human_rhinovirus_C,HLA-A02:02,E5D8F2|POLG_HRV15,38,150,9.279999999999998,150.816,0.5084374315143544,0.6230624318339558
28,Human_rhinovirus_C,HLA-A02:06,E5D8F2|POLG_HRV15,41,163,11.713000000000001,168.88,0.6417378917378918,0.6976897907922134
29,Human_rhinovirus_C,HLA-A02:11,E5D8F2|POLG_HRV15,41,153,10.307,155.63400000000001,0.5647052377821608,0.642966916746538
30,Human_rhinovirus_C,HLA-A03:01,E5D8F2|POLG_HRV15,43,196,12.200999999999999,189.934,0.6684746877054568,0.7846696632184288
31,Human_rhinovirus_C,HLA-A03:02,E5D8F2|POLG_HRV15,42,195,11.199000000000002,190.75699999999995,0.6135765943458251,0.7880697028786725
32,Human_rhinovirus_C,HLA-A11:01,E5D8F2|POLG_HRV15,44,215,12.664,210.69599999999997,0.6938417707648475,0.8704432032256998
33,Human_rhinovirus_C,HLA-A23:01,E5D8F2|POLG_HRV15,50,208,11.839000000000002,212.11700000000002,0.648641244795091,0.8763137455795355
34,Human_rhinovirus_C,HLA-A24:02,E5D8F2|POLG_HRV15,48,226,12.971,222.05500000000004,0.7106618452772298,0.9173703605777178
35,Human_rhinovirus_C,HLA-A25:01,E5D8F2|POLG_HRV15,57,201,13.806000000000001,213.093,0.7564102564102564,0.8803458703771029
36,Human_rhinovirus_C,HLA-A29:02,E5D8F2|POLG_HRV15,62,235,15.395999999999999,235.25600000000003,0.843523997370151,0.9719073272300627
37,Human_rhinovirus_C,HLA-A30:01,E5D8F2|POLG_HRV15,68,217,18.252000000000002,225.184,1.0,0.9302971213272963
38,Human_rhinovirus_C,HLA-A30:02,E5D8F2|POLG_HRV15,65,235,16.528,242.05599999999998,0.9055445978522899,1.0
39,Human_rhinovirus_C,HLA-A31:01,E5D8F2|POLG_HRV15,41,140,8.855,149.781,0.48515231207538895,0.618786561787355
40,Human_rhinovirus_C,HLA-A32:01,E5D8F2|POLG_HRV15,46,192,9.435000000000002,194.423,0.5169296515450362,0.803214958521995
41,Human_rhinovirus_C,HLA-A33:03,E5D8F2|POLG_HRV15,41,144,9.688,154.744,0.5307911461757615,0.6392900816340021
42,Human_rhinovirus_C,HLA-A68:01,E5D8F2|POLG_HRV15,41,160,8.616000000000001,172.744,0.4720578566732413,0.7136530389661897
43,Human_rhinovirus_C,HLA-A68:02,E5D8F2|POLG_HRV15,52,211,13.689,207.99900000000002,0.7499999999999999,0.8593011534520939
44,Human_rhinovirus_C,HLA-A74:01,E5D8F2|POLG_HRV15,43,155,11.153999999999998,168.66500000000002,0.6111111111111109,0.6968015665796345
45,Human_rhinovirus_C,HLA-B07:02,E5D8F2|POLG_HRV15,50,186,11.614999999999998,185.225,0.6363686171378478,0.7652154873252471
46,Human_rhinovirus_C,HLA-B08:01,E5D8F2|POLG_HRV15,48,190,12.492,196.77699999999996,0.6844181459566074,0.812939980830882
47,Human_rhinovirus_C,HLA-B14:02,E5D8F2|POLG_HRV15,56,189,16.467,207.443,0.9022024983563444,0.8570041643256107
