,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Hepatitis_E,HLA-A02:07,Q81862|POLN_HEVCH,47,147,10.245999999999997,157.26999999999998,0.43652010906612115,0.48326532117308685
1,Hepatitis_E,HLA-A02:07,Q81870|ORF3_HEVCH,2,11,0.777,9.562000000000001,0.1499421072944809,0.1625002124296858
2,Hepatitis_E,HLA-A02:07,Q81871-2|CAPSD_HEVCH,9,44,2.361,43.641,0.2196892155950498,0.312973321858864
3,Hepatitis_E,HLA-A02:07,Q81871|CAPSD_HEVCH,9,53,2.361,52.005,0.19857022708158115,0.32751421715883544
4,Hepatitis_E,HLA-A02:03,Q81862|POLN_HEVCH,47,149,12.056,149.124,0.5136332651670075,0.4582339782197203
5,Hepatitis_E,HLA-A02:03,Q81870|ORF3_HEVCH,4,11,0.6949999999999998,10.556000000000001,0.13411810111925895,0.17939262104243495
6,Hepatitis_E,HLA-A02:03,Q81871-2|CAPSD_HEVCH,12,43,2.862,41.169999999999995,0.2663068763375826,0.2952524383247275
7,Hepatitis_E,HLA-A02:03,Q81871|CAPSD_HEVCH,15,52,3.4960000000000004,50.157999999999994,0.29402859545836835,0.31588228255461714
8,Hepatitis_E,HLA-A66:01,Q81862|POLN_HEVCH,46,173,10.855999999999996,176.22699999999998,0.4625085207907292,0.5415171218564861
9,Hepatitis_E,HLA-A66:01,Q81870|ORF3_HEVCH,4,7,0.9729999999999999,9.854,0.18776534156696256,0.16746256988936659
10,Hepatitis_E,HLA-A66:01,Q81871-2|CAPSD_HEVCH,14,56,2.577,61.101,0.2397878477714711,0.43818846815834767
11,Hepatitis_E,HLA-A66:01,Q81871|CAPSD_HEVCH,15,64,2.995,70.402,0.25189234650967196,0.44337382783225326
12,Hepatitis_E,HLA-A31:08,Q81862|POLN_HEVCH,35,158,7.5649999999999995,152.379,0.3222989093387866,0.4682360677499447
13,Hepatitis_E,HLA-A31:08,Q81870|ORF3_HEVCH,0,0,0.0,0.0,0.0,0.0
14,Hepatitis_E,HLA-A31:08,Q81871-2|CAPSD_HEVCH,6,41,1.146,36.075,0.10663440960267981,0.2587134251290878
15,Hepatitis_E,HLA-A31:08,Q81871|CAPSD_HEVCH,6,45,1.146,40.803,0.0963835155592935,0.2569668801602146
16,Hepatitis_E,HLA-A02:36,Q81862|POLN_HEVCH,37,140,9.014,141.886,0.3840320381731424,0.43599277268369435
17,Hepatitis_E,HLA-A02:36,Q81870|ORF3_HEVCH,0,7,0.0,6.451,0.0,0.10963071223425044
18,Hepatitis_E,HLA-A02:36,Q81871-2|CAPSD_HEVCH,12,45,3.512,45.465999999999994,0.32678887131292456,0.32606138841078597
