,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_rhinovirus_14_[B],HLA-A02:07,P03303|POLG_HRV14,56,210,14.376,214.572,0.8116072940777961,0.8546778408004589
1,Human_rhinovirus_14_[B],HLA-A02:03,P03303|POLG_HRV14,39,172,9.948,167.654,0.5616214080054198,0.667795232936078
2,Human_rhinovirus_14_[B],HLA-A66:01,P03303|POLG_HRV14,54,236,12.316,218.924,0.6953085304578559,0.8720126186986171
3,Human_rhinovirus_14_[B],HLA-A31:08,P03303|POLG_HRV14,37,182,9.075000000000001,171.899,0.5123355727431831,0.6847038111019056
4,Human_rhinovirus_14_[B],HLA-A02:36,P03303|POLG_HRV14,45,182,10.874,183.16900000000004,0.6138993959238979,0.7295941941240204
5,Human_rhinovirus_14_[B],HLA-A68:03,P03303|POLG_HRV14,42,187,9.262,182.39000000000001,0.5228927906057699,0.7264913007456505
6,Human_rhinovirus_14_[B],HLA-A26:01,P03303|POLG_HRV14,58,213,15.030999999999999,217.56900000000007,0.8485857844520974,0.8666154164807855
7,Human_rhinovirus_14_[B],HLA-A33:01,P03303|POLG_HRV14,44,151,10.582,150.277,0.5974143284593237,0.5985795997705691
8,Human_rhinovirus_14_[B],HLA-A29:01,P03303|POLG_HRV14,53,219,11.512,222.221,0.6499181392197823,0.8851451468994966
9,Human_rhinovirus_14_[B],HLA-A24:07,P03303|POLG_HRV14,40,189,9.716,180.12100000000004,0.5485236831705528,0.7174534765152
10,Human_rhinovirus_14_[B],HLA-A02:13,P03303|POLG_HRV14,42,184,10.28,185.397,0.5803647038897985,0.7384687081766618
11,Human_rhinovirus_14_[B],HLA-B15:02,P03303|POLG_HRV14,57,232,12.077000000000002,237.262,0.6818156156495232,0.9450560831049647
12,Human_rhinovirus_14_[B],HLA-B46:01,P03303|POLG_HRV14,48,207,11.459,201.618,0.646925986563541,0.8030797909629724
13,Human_rhinovirus_14_[B],HLA-B38:02,P03303|POLG_HRV14,60,208,15.790000000000001,222.868,0.891435668717891,0.8877222611688229
14,Human_rhinovirus_14_[B],HLA-B54:01,P03303|POLG_HRV14,63,194,17.487999999999996,203.17199999999997,0.9872974651385987,0.8092696450194379
15,Human_rhinovirus_14_[B],HLA-B13:02,P03303|POLG_HRV14,54,193,12.796000000000001,203.07600000000002,0.722407271495512,0.8088872602128611
16,Human_rhinovirus_14_[B],HLA-B14:05,P03303|POLG_HRV14,48,174,11.982999999999999,180.49999999999997,0.676508778862982,0.7189630998661652
17,Human_rhinovirus_14_[B],HLA-B45:01,P03303|POLG_HRV14,34,140,6.783999999999999,136.19500000000002,0.38299553999887087,0.5424885284558029
18,Human_rhinovirus_14_[B],HLA-B55:02,P03303|POLG_HRV14,58,201,16.657,213.45100000000002,0.9403827697171571,0.8502127015486586
