,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,West_nile_virus,DRB1_1402,P06935|POLG_WNV,185,929,84.75,2267.16,0.4503427387215049,0.6899347240608024
1,West_nile_virus,DRB1_1406,P06935|POLG_WNV,209,849,115.27,2266.74,0.6125192624475264,0.6898069110330031
2,West_nile_virus,DRB1_1405,P06935|POLG_WNV,163,772,85.81,1922.8299999999997,0.45597534406716617,0.5851493434366487
3,West_nile_virus,DRB1_1602,P06935|POLG_WNV,79,737,37.52,1552.96,0.1993729741218981,0.4725917134553643
4,West_nile_virus,DRB1_1201,P06935|POLG_WNV,119,724,51.96000000000002,1836.61,0.2761039375099635,0.5589111547298428
5,West_nile_virus,DRB1_0411,P06935|POLG_WNV,168,829,80.91999999999999,2043.85,0.42999096657633235,0.6219777544468282
6,West_nile_virus,DRB1_0405,P06935|POLG_WNV,179,899,82.94999999999999,2392.33,0.44077793719113656,0.7280260495123324
7,West_nile_virus,DRB1_0406,P06935|POLG_WNV,199,982,95.35,2488.19,0.5066687921781179,0.757197851523866
8,West_nile_virus,HLA-DQA10301-DQB10401,P06935|POLG_WNV,255,1041,143.22,2702.56,0.7610393750996334,0.8224342295461116
9,West_nile_virus,HLA-DQA10303-DQB10401,P06935|POLG_WNV,255,1041,143.22,2702.56,0.7610393750996334,0.8224342295461116
10,West_nile_virus,DRB1_0101,P06935|POLG_WNV,128,802,65.91,1854.1999999999998,0.35023114937031724,0.5642640860607719
11,West_nile_virus,DRB1_0102,P06935|POLG_WNV,138,675,62.900000000000006,1562.4199999999998,0.33423667570009036,0.4754705497481778
12,West_nile_virus,DRB1_0301,P06935|POLG_WNV,57,799,24.46,1682.1099999999997,0.1299750252404485,0.5118942195036593
13,West_nile_virus,DRB1_0302,P06935|POLG_WNV,37,722,10.190000000000001,1498.3900000000003,0.05414740421914024,0.4559851493434367
14,West_nile_virus,DRB1_0401,P06935|POLG_WNV,266,886,156.75,2378.14,0.8329347999362346,0.723707795073112
15,West_nile_virus,DRB1_0402,P06935|POLG_WNV,188,914,101.0,2340.69,0.5366916414262182,0.7123111334276715
16,West_nile_virus,DRB1_0403,P06935|POLG_WNV,199,982,95.35,2488.19,0.5066687921781179,0.757197851523866
17,West_nile_virus,DRB1_0404,P06935|POLG_WNV,166,864,80.32000000000001,2053.0699999999997,0.4268026993995431,0.6247835547237564
18,West_nile_virus,DRB1_0407,P06935|POLG_WNV,292,990,188.19,2711.07,1.0,0.8250239649427124
19,West_nile_virus,DRB1_0701,P06935|POLG_WNV,212,1090,78.10000000000002,2808.0600000000004,0.4150061108454223,0.8545396448623729
20,West_nile_virus,DRB1_0802,P06935|POLG_WNV,346,1143,181.25,3286.05,0.9631223763218024,1.0
21,West_nile_virus,DRB1_0804,P06935|POLG_WNV,227,981,131.24,2526.58,0.6973803071364048,0.7688805708981907
22,West_nile_virus,DRB1_1001,P06935|POLG_WNV,200,856,101.61000000000001,2270.6400000000003,0.5399330463892875,0.6909937462911399
23,West_nile_virus,DRB1_1101,P06935|POLG_WNV,294,1152,149.01999999999998,3224.5699999999997,0.791859291141931,0.9812906072640403
24,West_nile_virus,DRB1_1102,P06935|POLG_WNV,94,742,45.84,1643.1399999999999,0.24358361230671133,0.5000349964242783
25,West_nile_virus,DRB1_1104,P06935|POLG_WNV,277,1005,148.07,2812.42,0.7868112014453478,0.8558664658176229
26,West_nile_virus,DRB1_1202,P06935|POLG_WNV,139,727,68.41999999999999,1873.87,0.3635687337265529,0.5702499961960408
27,West_nile_virus,DRB1_1301,P06935|POLG_WNV,94,742,45.84,1643.1399999999999,0.24358361230671133,0.5000349964242783
28,West_nile_virus,DRB1_1302,P06935|POLG_WNV,106,737,52.03,1607.2800000000002,0.27647590201392214,0.48912219838407817
29,West_nile_virus,DRB1_1401,P06935|POLG_WNV,143,704,64.09,1772.9499999999998,0.3405600722673894,0.5395383515162581
30,West_nile_virus,DRB1_1404,P06935|POLG_WNV,135,697,63.21000000000001,1675.3000000000002,0.33588394707476493,0.5098218225529131
31,West_nile_virus,DRB1_1501,P06935|POLG_WNV,116,734,55.900000000000006,1669.73,0.29704022530421387,0.5081267783509076
32,West_nile_virus,DRB1_1502,P06935|POLG_WNV,123,740,51.16000000000001,1697.48,0.2718529146075775,0.5165715676876493
33,West_nile_virus,DRB1_1503,P06935|POLG_WNV,112,666,52.99,1498.33,0.2815771294967852,0.45596689033946525
34,West_nile_virus,DRB1_1601,P06935|POLG_WNV,88,802,43.91,1693.98,0.23332801955470533,0.5155064591226548
35,West_nile_virus,HLA-DPA10103-DPB10101,P06935|POLG_WNV,136,659,60.5,1648.1,0.32148360699293266,0.5015444074192419
36,West_nile_virus,HLA-DPA10201-DPB10101,P06935|POLG_WNV,106,705,49.38,1581.98,0.2623943886497689,0.48142298504283254
37,West_nile_virus,HLA-DPA10202-DPB10101,P06935|POLG_WNV,115,658,53.13999999999999,1559.48,0.2823741962909825,0.47457585855358253
38,West_nile_virus,HLA-DPA10301-DPB10101,P06935|POLG_WNV,132,621,67.24000000000001,1521.46,0.3572984749455338,0.4630057363704143
39,West_nile_virus,HLA-DPA10401-DPB10101,P06935|POLG_WNV,126,657,56.96000000000002,1608.3000000000002,0.30267283064987527,0.48943260145159084
40,West_nile_virus,HLA-DPA10103-DPB10201,P06935|POLG_WNV,157,870,72.44999999999999,2055.28,0.3849832615973218,0.6254560947033673
41,West_nile_virus,HLA-DPA10201-DPB10201,P06935|POLG_WNV,146,746,65.25,1784.15,0.3467240554758489,0.5429466989242403
42,West_nile_virus,HLA-DPA10202-DPB10201,P06935|POLG_WNV,88,661,42.489999999999995,1458.3000000000002,0.2257824539029704,0.44378509152325746
43,West_nile_virus,HLA-DPA10301-DPB10201,P06935|POLG_WNV,88,694,40.35000000000001,1564.0,0.2144109676390882,0.47595137018608963
44,West_nile_virus,HLA-DPA10401-DPB10201,P06935|POLG_WNV,140,828,63.20999999999998,1958.2199999999998,0.33588394707476477,0.5959191126124069
45,West_nile_virus,HLA-DPA10103-DPB10301,P06935|POLG_WNV,144,935,52.49000000000001,2170.2599999999998,0.27892024018279404,0.660446432647099
46,West_nile_virus,HLA-DPA10201-DPB10301,P06935|POLG_WNV,133,801,61.89,1952.2399999999998,0.3288697592858282,0.5940992985499307
