,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,HPV1,HLA-A02:07,P03099|VL1_HPV1,8,43,2.521,35.475,0.4052403150618872,0.47127826341100515
1,HPV1,HLA-A02:07,P03105|VL2_HPV1,7,28,2.109,28.887999999999998,0.29271339347675224,0.29827260430971286
2,HPV1,HLA-A02:07,P03111|VE1_HPV1,10,45,2.4149999999999996,41.419999999999995,0.3286608600979858,0.5302574475439427
3,HPV1,HLA-A02:07,P03118|VE2_HPV1,7,24,1.4180000000000001,28.817999999999998,0.37286352879305823,0.47251918410179045
4,HPV1,HLA-A02:07,P06465|VE7_HPV1,1,11,0.33599999999999997,8.647,0.15620641562064155,0.41043288399468386
5,HPV1,HLA-A02:07,P06923|VE4_HPV1,0,4,0.0,3.3739999999999997,0.0,0.2504267794848957
6,HPV1,HLA-A02:07,P06929|VE6_HPV1,6,20,1.5570000000000002,20.541999999999998,0.8508196721311476,0.9391916605705924
7,HPV1,HLA-A02:07,Q84215|Q84215_HPV1,1,5,0.131,3.2089999999999996,0.11283376399655469,0.2651846954797124
8,HPV1,HLA-A02:03,P03099|VL1_HPV1,7,20,1.2189999999999999,19.747999999999998,0.19594920430798907,0.26234822116534257
9,HPV1,HLA-A02:03,P03105|VL2_HPV1,4,20,0.6990000000000001,19.92,0.09701596113809854,0.2056767612105193
10,HPV1,HLA-A02:03,P03111|VE1_HPV1,10,44,2.063,42.69499999999999,0.2807566684812194,0.5465799546810389
11,HPV1,HLA-A02:03,P03118|VE2_HPV1,5,30,1.444,28.994,0.37970023665527225,0.47540499770446637
12,HPV1,HLA-A02:03,P06465|VE7_HPV1,2,9,0.785,9.436,0.3649465364946537,0.44788304537687484
13,HPV1,HLA-A02:03,P06923|VE4_HPV1,0,3,0.0,2.661,0.0,0.19750612335782677
14,HPV1,HLA-A02:03,P06929|VE6_HPV1,6,14,1.37,14.532,0.7486338797814208,0.6644111192392099
15,HPV1,HLA-A02:03,Q84215|Q84215_HPV1,2,2,0.45599999999999996,3.456,0.3927648578811369,0.2855962317163871
16,HPV1,HLA-A66:01,P03099|VL1_HPV1,11,54,2.581,52.507999999999996,0.4148850667095323,0.6975582538459494
17,HPV1,HLA-A66:01,P03105|VL2_HPV1,16,51,4.151,51.574,0.5761276891047883,0.5325086989292832
18,HPV1,HLA-A66:01,P03111|VE1_HPV1,9,50,2.665,47.834,0.3626837234621666,0.6123692599183235
19,HPV1,HLA-A66:01,P03118|VE2_HPV1,7,42,1.295,39.903000000000006,0.3405206415987379,0.6542762510657835
20,HPV1,HLA-A66:01,P06465|VE7_HPV1,2,7,0.607,7.349,0.28219432821943286,0.34882285931270174
21,HPV1,HLA-A66:01,P06923|VE4_HPV1,1,8,0.184,8.0,0.20421753607103219,0.5937801528983894
22,HPV1,HLA-A66:01,P06929|VE6_HPV1,2,13,0.623,10.387000000000002,0.3404371584699453,0.4748994147768838
23,HPV1,HLA-A66:01,Q84215|Q84215_HPV1,1,6,0.236,5.572000000000001,0.2032730404823428,0.46045781340385106
24,HPV1,HLA-A31:08,P03099|VL1_HPV1,13,65,3.163,62.53399999999999,0.5084391576916895,0.8307516539575417
25,HPV1,HLA-A31:08,P03105|VL2_HPV1,6,21,0.8010000000000002,18.589,0.11117279666897989,0.191934001713973
26,HPV1,HLA-A31:08,P03111|VE1_HPV1,17,65,4.888000000000001,63.349000000000004,0.6652150244964617,0.8109917683356164
27,HPV1,HLA-A31:08,P03118|VE2_HPV1,12,32,2.5989999999999998,33.489999999999995,0.6834078359190114,0.5491244179182788
28,HPV1,HLA-A31:08,P06465|VE7_HPV1,1,2,0.297,2.842,0.13807531380753138,0.13489652553635845
29,HPV1,HLA-A31:08,P06923|VE4_HPV1,1,3,0.41300000000000003,3.677,0.4583795782463929,0.2729162027759222
30,HPV1,HLA-A31:08,P06929|VE6_HPV1,5,14,0.31599999999999984,13.802000000000001,0.1726775956284152,0.6310351133869788
31,HPV1,HLA-A31:08,Q84215|Q84215_HPV1,2,8,0.31600000000000006,8.612,0.2721791559000862,0.7116767209321544
32,HPV1,HLA-A02:36,P03099|VL1_HPV1,7,24,1.581,25.043,0.2541392059154477,0.33269123468926853
33,HPV1,HLA-A02:36,P03105|VL2_HPV1,7,26,2.0229999999999997,27.936,0.2807772380291464,0.28844307234824634
34,HPV1,HLA-A02:36,P03111|VE1_HPV1,10,49,2.13,47.626,0.2898747958628198,0.6097064509108598
35,HPV1,HLA-A02:36,P03118|VE2_HPV1,3,30,1.174,28.412,0.3087036550092033,0.46586213681379934
36,HPV1,HLA-A02:36,P06465|VE7_HPV1,2,13,0.5249999999999999,10.258000000000001,0.2440725244072524,0.4868995633187773
37,HPV1,HLA-A02:36,P06923|VE4_HPV1,0,5,0.0,4.989,0.0,0.3702961478512581
38,HPV1,HLA-A02:36,P06929|VE6_HPV1,6,20,1.83,17.958999999999996,1.0,0.8210954645208484
39,HPV1,HLA-A02:36,Q84215|Q84215_HPV1,1,3,0.25,3.56,0.21533161068044787,0.294190562763408
40,HPV1,HLA-A68:03,P03099|VL1_HPV1,13,63,2.9590000000000005,56.363,0.47564700208969635,0.7487711560432553
41,HPV1,HLA-A68:03,P03105|VL2_HPV1,16,48,4.199,56.018,0.5827897293546148,0.5783936149342805
42,HPV1,HLA-A68:03,P03111|VE1_HPV1,12,50,2.1899999999999995,49.346000000000004,0.2980402830702231,0.6317258330879624
43,HPV1,HLA-A68:03,P03118|VE2_HPV1,7,37,1.4649999999999999,38.474000000000004,0.385222193005522,0.6308454122122384
44,HPV1,HLA-A68:03,P06465|VE7_HPV1,1,7,0.347,8.121,0.16132031613203163,0.3854661097398899
45,HPV1,HLA-A68:03,P06923|VE4_HPV1,4,13,0.7949999999999999,13.381,0.8823529411764705,0.9931715282416687
46,HPV1,HLA-A68:03,P06929|VE6_HPV1,3,7,0.986,8.948,0.5387978142076503,0.40910753474762257
47,HPV1,HLA-A68:03,Q84215|Q84215_HPV1,0,5,0.0,3.855999999999999,0.0,0.3186513511280059
48,HPV1,HLA-A26:01,P03099|VL1_HPV1,14,54,3.509,56.73300000000001,0.5640572255264428,0.7536865318702343
49,HPV1,HLA-A26:01,P03105|VL2_HPV1,11,49,3.2199999999999998,47.826,0.446911866759195,0.493810079400316
50,HPV1,HLA-A26:01,P03111|VE1_HPV1,13,53,2.6420000000000003,52.517999999999994,0.359553620032662,0.6723336704517813
51,HPV1,HLA-A26:01,P03118|VE2_HPV1,9,32,2.353,34.015,0.618722061530371,0.5577326687217157
52,HPV1,HLA-A26:01,P06465|VE7_HPV1,3,8,0.8340000000000001,8.754000000000001,0.38772663877266395,0.41551167647617243
53,HPV1,HLA-A26:01,P06923|VE4_HPV1,0,3,0.0,2.268,0.0,0.1683366733466934
54,HPV1,HLA-A26:01,P06929|VE6_HPV1,3,10,0.379,10.949,0.20710382513661202,0.5005943672275055
55,HPV1,HLA-A26:01,Q84215|Q84215_HPV1,2,12,0.6080000000000001,10.988999999999999,0.5236864771748493,0.9081067680356996
56,HPV1,HLA-A33:01,P03099|VL1_HPV1,19,58,4.905,66.816,0.7884584471949849,0.8876371655551718
57,HPV1,HLA-A33:01,P03105|VL2_HPV1,18,52,5.3100000000000005,55.707,0.7369882026370577,0.57518249682502
58,HPV1,HLA-A33:01,P03111|VE1_HPV1,13,51,3.5489999999999995,52.561,0.4829885683179096,0.6728841550062089
59,HPV1,HLA-A33:01,P03118|VE2_HPV1,9,45,1.448,46.45000000000001,0.38075203786484363,0.7616252377516889
60,HPV1,HLA-A33:01,P06465|VE7_HPV1,0,3,0.0,3.0970000000000004,0.0,0.14700018986140118
61,HPV1,HLA-A33:01,P06923|VE4_HPV1,2,8,0.2909999999999999,10.054,0.322974472807991,0.7462332071550509
62,HPV1,HLA-A33:01,P06929|VE6_HPV1,3,11,1.013,12.16,0.5535519125683059,0.5559619604974396
63,HPV1,HLA-A33:01,Q84215|Q84215_HPV1,4,9,0.7509999999999999,12.100999999999999,0.6468561584840653,1.0
64,HPV1,HLA-A29:01,P03099|VL1_HPV1,14,55,2.7880000000000003,51.48900000000001,0.4481594598939078,0.6840210431224594
65,HPV1,HLA-A29:01,P03105|VL2_HPV1,7,30,2.202,30.972,0.3056210964607911,0.31979019318334356
66,HPV1,HLA-A29:01,P03111|VE1_HPV1,11,40,2.209,39.562,0.30062602068590094,0.5064713940061193
67,HPV1,HLA-A29:01,P03118|VE2_HPV1,11,45,2.663,47.681000000000004,0.7002366552721537,0.7818095363022234
68,HPV1,HLA-A29:01,P06465|VE7_HPV1,1,7,0.405,7.018000000000001,0.1882845188284519,0.33311182836529335
69,HPV1,HLA-A29:01,P06923|VE4_HPV1,3,10,0.533,9.143,0.5915649278579357,0.6786164922437469
70,HPV1,HLA-A29:01,P06929|VE6_HPV1,5,22,1.319,19.846000000000007,0.7207650273224043,0.9073701536210683
71,HPV1,HLA-A29:01,Q84215|Q84215_HPV1,3,11,1.161,11.694999999999999,1.0,0.9664490537972068
72,HPV1,HLA-A24:07,P03099|VL1_HPV1,16,70,4.301,73.015,0.6913679472753578,0.9699896378563647
73,HPV1,HLA-A24:07,P03105|VL2_HPV1,5,25,1.287,23.022,0.17862595419847327,0.23770534119420555
74,HPV1,HLA-A24:07,P03111|VE1_HPV1,12,56,2.326,47.34700000000001,0.3165487207403375,0.6061347022902719
75,HPV1,HLA-A24:07,P03118|VE2_HPV1,8,32,1.8150000000000004,33.102,0.4772547988430189,0.5427625106578342
76,HPV1,HLA-A24:07,P06465|VE7_HPV1,1,3,0.386,2.776,0.17945141794514183,0.1317638124169356
77,HPV1,HLA-A24:07,P06923|VE4_HPV1,0,1,0.0,1.331,0.0,0.09879017293846953
78,HPV1,HLA-A24:07,P06929|VE6_HPV1,7,18,1.2640000000000002,21.185,0.6907103825136613,0.968589978054133
79,HPV1,HLA-A24:07,Q84215|Q84215_HPV1,1,4,0.306,3.982,0.2635658914728682,0.32906371374266596
80,HPV1,HLA-A02:13,P03099|VL1_HPV1,6,27,1.547,23.677999999999997,0.24867384664844883,0.31455748332757655
81,HPV1,HLA-A02:13,P03105|VL2_HPV1,8,21,2.012,23.931,0.2792505204718945,0.24709089219522776
82,HPV1,HLA-A02:13,P03111|VE1_HPV1,8,41,1.9540000000000002,39.216,0.26592270005443663,0.5020419136379348
83,HPV1,HLA-A02:13,P03118|VE2_HPV1,6,33,1.217,33.369,0.3200105180120958,0.5471404210664392
