,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,SARS,DRB1_1402,P0C6X7|R1AB_SARS,425,1846,205.64,4659.62,0.5185726894464758,0.5273992681455424
1,SARS,DRB1_1402,P59594|SPIKE_SARS,114,470,60.580000000000005,1198.0,0.6150878261752463,0.6732265986321925
2,SARS,DRB1_1402,P59595|NCAP_SARS,29,120,9.540000000000006,328.15999999999997,0.22795698924731198,0.6038680234804851
3,SARS,DRB1_1402,P59596|VME1_SARS,1,51,0.18999999999999995,88.22,0.009152215799614642,0.2140327041583774
4,SARS,DRB1_1402,P59632|AP3A_SARS,16,99,6.629999999999999,238.95,0.10822722820763954,0.3846649173360807
5,SARS,DRB1_1402,P59633|NS3B_SARS,0,0,0.0,0.0,0.0,0.0
6,SARS,DRB1_1402,P59634|NS6_SARS,4,25,1.4100000000000001,62.30999999999999,0.07721796276013144,0.31251880830574785
7,SARS,DRB1_1402,P59635|NS7A_SARS,0,10,0.0,5.680000000000007,0.0,0.028042458652184677
8,SARS,DRB1_1402,P59636|ORF9B_SARS,5,22,1.3499999999999996,61.39999999999999,0.046391752577319575,0.2222543980308405
9,SARS,DRB1_1402,P59637|VEMP_SARS,0,12,0.0,18.009999999999998,0.0,0.1193268402570728
10,SARS,DRB1_1402,Q7TFA0|NS8A_SARS,0,0,0.0,0.0,,0.0
11,SARS,DRB1_1402,Q7TFA1|NS7B_SARS,0,0,0.0,0.0,,0.0
12,SARS,DRB1_1402,Q7TLC7|Y14_SARS,0,0,0.0,0.0,0.0,0.0
13,SARS,DRB1_1402,Q80H93|NS8B_SARS,0,0,0.0,0.0,0.0,0.0
14,SARS,DRB1_1406,P0C6X7|R1AB_SARS,185,1353,86.06,2943.11,0.217021813138318,0.33311601805980473
15,SARS,DRB1_1406,P59594|SPIKE_SARS,30,347,7.270000000000007,735.0299999999999,0.07381460046705256,0.41305654991036755
16,SARS,DRB1_1406,P59595|NCAP_SARS,29,86,14.450000000000001,265.28,0.34528076463560337,0.48815854847910495
17,SARS,DRB1_1406,P59596|VME1_SARS,0,33,0.0,36.900000000000006,0.0,0.08952399437139115
18,SARS,DRB1_1406,P59632|AP3A_SARS,11,74,3.2800000000000002,181.47,0.053542278811622594,0.2921328418036349
19,SARS,DRB1_1406,P59633|NS3B_SARS,0,4,0.0,2.84,0.0,0.011298535964353913
20,SARS,DRB1_1406,P59634|NS6_SARS,0,25,0.0,45.60000000000001,0.0,0.22870899789346988
21,SARS,DRB1_1406,P59635|NS7A_SARS,0,0,0.0,0.0,0.0,0.0
22,SARS,DRB1_1406,P59636|ORF9B_SARS,18,31,10.120000000000001,113.04,0.347766323024055,0.40917975819879826
23,SARS,DRB1_1406,P59637|VEMP_SARS,0,0,0.0,0.0,0.0,0.0
24,SARS,DRB1_1406,Q7TFA0|NS8A_SARS,0,0,0.0,0.0,,0.0
25,SARS,DRB1_1406,Q7TFA1|NS7B_SARS,0,0,0.0,0.0,,0.0
26,SARS,DRB1_1406,Q7TLC7|Y14_SARS,0,4,0.0,3.0799999999999983,0.0,0.020589611605053803
27,SARS,DRB1_1406,Q80H93|NS8B_SARS,0,0,0.0,0.0,0.0,0.0
28,SARS,DRB1_1405,P0C6X7|R1AB_SARS,204,1340,90.76000000000002,3094.96,0.2288740385827765,0.3503031661250763
29,SARS,DRB1_1405,P59594|SPIKE_SARS,86,512,35.56,1288.2,0.36105188343994316,0.72391527909682
30,SARS,DRB1_1405,P59595|NCAP_SARS,11,77,2.1099999999999994,209.86,0.05041816009557944,0.3861766924902932
31,SARS,DRB1_1405,P59596|VME1_SARS,0,34,0.0,35.04000000000002,0.0,0.08501140278519098
32,SARS,DRB1_1405,P59632|AP3A_SARS,20,76,7.600000000000003,209.42000000000002,0.12406137773424751,0.3371271269659846
33,SARS,DRB1_1405,P59633|NS3B_SARS,0,22,0.0,27.450000000000003,0.0,0.10920591979630809
34,SARS,DRB1_1405,P59634|NS6_SARS,3,21,0.6400000000000001,53.9,0.03504928806133627,0.27033804794864086
35,SARS,DRB1_1405,P59635|NS7A_SARS,0,0,0.0,0.0,0.0,0.0
36,SARS,DRB1_1405,P59636|ORF9B_SARS,7,38,1.6799999999999997,93.12,0.05773195876288659,0.33707377108520964
37,SARS,DRB1_1405,P59637|VEMP_SARS,0,0,0.0,0.0,0.0,0.0
38,SARS,DRB1_1405,Q7TFA0|NS8A_SARS,0,0,0.0,0.0,,0.0
39,SARS,DRB1_1405,Q7TFA1|NS7B_SARS,0,0,0.0,0.0,,0.0
40,SARS,DRB1_1405,Q7TLC7|Y14_SARS,0,11,0.0,13.29,0.0,0.08884283708804064
41,SARS,DRB1_1405,Q80H93|NS8B_SARS,0,10,0.0,14.549999999999997,0.0,0.09564817249539835
42,SARS,DRB1_1602,P0C6X7|R1AB_SARS,646,2785,365.33,7192.66,0.921270962047661,0.8141014975512416
43,SARS,DRB1_1602,P59594|SPIKE_SARS,52,417,27.78,872.8800000000001,0.28205909229363385,0.4905225654541471
44,SARS,DRB1_1602,P59595|NCAP_SARS,2,90,0.24,159.57999999999998,0.005734767025089606,0.2936532764109453
45,SARS,DRB1_1602,P59596|VME1_SARS,14,91,4.209999999999999,246.85999999999999,0.20279383429672446,0.5989130962200979
46,SARS,DRB1_1602,P59632|AP3A_SARS,33,113,18.169999999999998,324.42999999999995,0.2966046359777995,0.5222717687020073
47,SARS,DRB1_1602,P59633|NS3B_SARS,0,31,0.0,49.76999999999998,0.0,0.19800286441756834
48,SARS,DRB1_1602,P59634|NS6_SARS,0,7,0.0,12.600000000000001,0.0,0.0631959073126693
49,SARS,DRB1_1602,P59635|NS7A_SARS,7,29,1.7000000000000002,93.25,0.17634854771784234,0.46038015304862995
50,SARS,DRB1_1602,P59636|ORF9B_SARS,0,1,0.0,0.21999999999999975,0.0,0.000796351263302685
51,SARS,DRB1_1602,P59637|VEMP_SARS,0,32,0.0,74.63000000000001,0.0,0.49446763400251775
52,SARS,DRB1_1602,Q7TFA0|NS8A_SARS,0,0,0.0,0.0,,0.0
53,SARS,DRB1_1602,Q7TFA1|NS7B_SARS,0,0,0.0,0.0,,0.0
54,SARS,DRB1_1602,Q7TLC7|Y14_SARS,3,18,0.33999999999999986,53.67,0.03417085427135677,0.3587806671568955
55,SARS,DRB1_1602,Q80H93|NS8B_SARS,0,0,0.0,0.0,0.0,0.0
56,SARS,DRB1_1201,P0C6X7|R1AB_SARS,543,1988,301.05,5410.17,0.7591728659689825,0.6123502986387236
57,SARS,DRB1_1201,P59594|SPIKE_SARS,43,326,13.780000000000001,717.4699999999999,0.13991268149050665,0.40318855402390574
58,SARS,DRB1_1201,P59595|NCAP_SARS,20,89,9.62,257.6,0.229868578255675,0.4740260935171044
59,SARS,DRB1_1201,P59596|VME1_SARS,0,26,0.0,37.64999999999998,0.0,0.09134358775292342
60,SARS,DRB1_1201,P59632|AP3A_SARS,0,13,0.0,11.969999999999999,0.0,0.01926946666881308
61,SARS,DRB1_1201,P59633|NS3B_SARS,10,36,2.59,102.58,0.0965697240865026,0.4080999363462762
62,SARS,DRB1_1201,P59634|NS6_SARS,4,80,0.7399999999999998,191.28,0.04052573932092004,0.9593740595847129
63,SARS,DRB1_1201,P59635|NS7A_SARS,0,24,0.0,44.13000000000001,0.0,0.21787213033818814
64,SARS,DRB1_1201,P59636|ORF9B_SARS,30,50,20.64,176.68,0.709278350515464,0.639542460001448
65,SARS,DRB1_1201,P59637|VEMP_SARS,0,22,0.0,26.019999999999996,0.0,0.17239780030477703
66,SARS,DRB1_1201,Q7TFA0|NS8A_SARS,0,0,0.0,0.0,,0.0
67,SARS,DRB1_1201,Q7TFA1|NS7B_SARS,0,0,0.0,0.0,,0.0
68,SARS,DRB1_1201,Q7TLC7|Y14_SARS,0,21,0.0,29.330000000000013,0.0,0.19606925596630798
69,SARS,DRB1_1201,Q80H93|NS8B_SARS,0,0,0.0,0.0,0.0,0.0
70,SARS,DRB1_0411,P0C6X7|R1AB_SARS,183,1699,75.45,3723.05,0.19026604463497668,0.42139355682851
71,SARS,DRB1_0411,P59594|SPIKE_SARS,82,448,31.32,1066.9499999999998,0.3180018275967103,0.5995819026799813
72,SARS,DRB1_0411,P59595|NCAP_SARS,16,64,5.0,192.37,0.11947431302270012,0.35399223451042455
73,SARS,DRB1_0411,P59596|VME1_SARS,0,2,0.0,0.0799999999999983,0.0,0.00019408996069677882
74,SARS,DRB1_0411,P59632|AP3A_SARS,4,58,0.5900000000000003,142.32000000000002,0.00963108063989553,0.22910864630789293
75,SARS,DRB1_0411,P59633|NS3B_SARS,0,0,0.0,0.0,0.0,0.0
76,SARS,DRB1_0411,P59634|NS6_SARS,0,0,0.0,0.0,0.0,0.0
77,SARS,DRB1_0411,P59635|NS7A_SARS,0,8,0.0,6.719999999999999,0.0,0.03317699333497901
78,SARS,DRB1_0411,P59636|ORF9B_SARS,10,77,2.3500000000000005,199.82000000000002,0.08075601374570449,0.7233041337870123
79,SARS,DRB1_0411,P59637|VEMP_SARS,0,4,0.0,2.740000000000002,0.0,0.018154111177367004
80,SARS,DRB1_0411,Q7TFA0|NS8A_SARS,0,0,0.0,0.0,,0.0
81,SARS,DRB1_0411,Q7TFA1|NS7B_SARS,0,0,0.0,0.0,,0.0
82,SARS,DRB1_0411,Q7TLC7|Y14_SARS,0,0,0.0,0.0,0.0,0.0
83,SARS,DRB1_0411,Q80H93|NS8B_SARS,0,0,0.0,0.0,0.0,0.0
84,SARS,DRB1_0405,P0C6X7|R1AB_SARS,392,2125,183.14999999999998,5197.0199999999995,0.4618585298196948,0.5882249077258974
85,SARS,DRB1_0405,P59594|SPIKE_SARS,58,419,35.11,944.96,0.3564828916641283,0.5310285531247718
86,SARS,DRB1_0405,P59595|NCAP_SARS,10,111,3.5100000000000007,245.91000000000003,0.0838709677419355,0.45251458329499666
87,SARS,DRB1_0405,P59596|VME1_SARS,0,23,0.0,38.010000000000005,0.0,0.09221699257605902
88,SARS,DRB1_0405,P59632|AP3A_SARS,0,40,0.0,57.23000000000002,0.0,0.09212962217678973
89,SARS,DRB1_0405,P59633|NS3B_SARS,0,9,0.0,9.829999999999998,0.0,0.039107256524506674
90,SARS,DRB1_0405,P59634|NS6_SARS,0,1,0.0,0.11000000000000032,0.0,0.0005517103019360034
91,SARS,DRB1_0405,P59635|NS7A_SARS,0,31,0.0,47.18000000000001,0.0,0.23293014070599855
92,SARS,DRB1_0405,P59636|ORF9B_SARS,1,52,0.06000000000000005,94.59,0.0020618556701030946,0.3423948454354594
93,SARS,DRB1_0405,P59637|VEMP_SARS,0,14,0.0,18.099999999999994,0.0,0.1199231431789571
