,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1402,O91734|POLG_EC01F,122,783,56.19,1911.7399999999998,0.3548916819301459,0.7734921527612004
1,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1406,O91734|POLG_EC01F,96,452,44.22,1144.25,0.2792900903176909,0.4629648361163148
2,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1405,O91734|POLG_EC01F,76,448,37.879999999999995,1050.3,0.23924714204509567,0.4249525605182132
3,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1602,O91734|POLG_EC01F,113,618,54.49,1510.78,0.3441546137813428,0.6112632860894088
4,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1201,O91734|POLG_EC01F,175,593,68.66,1713.57,0.4336512347628371,0.6933123480217028
5,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0411,O91734|POLG_EC01F,214,808,106.86999999999999,2191.43,0.6749826312132887,0.8866550411277043
6,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0405,O91734|POLG_EC01F,163,794,93.46,1989.6499999999999,0.5902861112865534,0.805014626330632
7,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0406,O91734|POLG_EC01F,197,879,94.78,2287.08,0.5986231289079771,0.9253551386365753
8,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DQA10301-DQB10401,O91734|POLG_EC01F,201,669,107.02000000000001,1874.1799999999998,0.6759300195793597,0.7582953345444394
9,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DQA10303-DQB10401,O91734|POLG_EC01F,201,669,107.02000000000001,1874.1799999999998,0.6759300195793597,0.7582953345444394
10,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0101,O91734|POLG_EC01F,117,625,47.39,1518.6599999999999,0.29931156445398854,0.6144515429463863
11,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0102,O91734|POLG_EC01F,122,507,64.31,1340.48,0.4061769721467821,0.5423597146752874
12,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0301,O91734|POLG_EC01F,39,406,10.560000000000006,949.9200000000001,0.06669614097138891,0.38433869969290785
13,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0302,O91734|POLG_EC01F,87,678,29.870000000000005,1558.9399999999998,0.18865660329691156,0.6307488762203781
14,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0401,O91734|POLG_EC01F,223,816,122.14,2256.33,0.7714267668793028,0.912913654074131
15,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0402,O91734|POLG_EC01F,93,611,44.17000000000001,1405.17,0.2789742941956674,0.568533361385678
16,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0403,O91734|POLG_EC01F,197,879,94.78,2287.08,0.5986231289079771,0.9253551386365753
17,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0404,O91734|POLG_EC01F,164,740,66.54000000000002,1847.3,0.4202614791890357,0.7474196563318054
18,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0407,O91734|POLG_EC01F,260,871,158.32999999999998,2471.5699999999997,1.0,1.0
19,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0701,O91734|POLG_EC01F,95,634,34.18,1494.8799999999999,0.2158782290153477,0.6048301282180962
20,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0802,O91734|POLG_EC01F,118,713,59.709999999999994,1679.32,0.37712372892060886,0.679454759525322
21,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_0804,O91734|POLG_EC01F,87,457,41.18000000000001,1109.0700000000002,0.2600896860986548,0.4487309685746308
22,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1001,O91734|POLG_EC01F,142,639,66.92999999999999,1651.2200000000003,0.4227246889408198,0.6680854679414301
23,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1101,O91734|POLG_EC01F,183,739,99.31,1964.4500000000003,0.6272342575633172,0.7948186780062877
24,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1102,O91734|POLG_EC01F,98,533,60.12,1331.5,0.3797132571212026,0.5387263965819298
25,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1104,O91734|POLG_EC01F,127,457,70.47999999999999,1286.66,0.4451462136044969,0.5205840821825803
26,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1202,O91734|POLG_EC01F,158,540,59.360000000000014,1506.25,0.37491315606644365,0.6094304429977707
27,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1301,O91734|POLG_EC01F,98,533,60.12,1331.5,0.3797132571212026,0.5387263965819298
28,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1302,O91734|POLG_EC01F,195,702,128.33,1843.2,0.8105223267858273,0.7457607917234795
29,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1401,O91734|POLG_EC01F,50,442,23.07,968.6199999999999,0.145708330701699,0.3919047407113697
30,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1404,O91734|POLG_EC01F,60,482,25.72,1056.5900000000001,0.16244552516895094,0.42749750158805955
31,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1501,O91734|POLG_EC01F,197,694,110.93,1832.2999999999997,0.7006252763216069,0.7413506394720765
32,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1502,O91734|POLG_EC01F,173,817,71.97000000000001,2043.46,0.454556938040801,0.8267862128120993
33,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1503,O91734|POLG_EC01F,159,606,76.86000000000001,1566.33,0.48544179877471116,0.6337388785266046
34,Echovirus_1_strain_Farouk_[Enterovirus_B],DRB1_1601,O91734|POLG_EC01F,117,644,58.980000000000004,1573.17,0.372513105539064,0.636506350214641
35,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10103-DPB10101,O91734|POLG_EC01F,88,450,39.269999999999996,1075.31,0.24802627423735238,0.435071634629001
36,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10201-DPB10101,O91734|POLG_EC01F,87,366,43.39,911.05,0.2740478746920988,0.3686118540037304
37,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10202-DPB10101,O91734|POLG_EC01F,78,350,39.830000000000005,858.89,0.251563190804017,0.3475078593768334
38,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10301-DPB10101,O91734|POLG_EC01F,73,370,32.9,892.24,0.207793848291543,0.3610013068616305
39,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10401-DPB10101,O91734|POLG_EC01F,88,434,41.75,1028.71,0.26368976188972404,0.4162172222514435
40,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10103-DPB10201,O91734|POLG_EC01F,117,844,52.28,2022.87,0.3301964251878987,0.8184554756693114
41,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10201-DPB10201,O91734|POLG_EC01F,119,710,50.93000000000001,1678.3500000000001,0.321669929893261,0.6790622964350597
42,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10202-DPB10201,O91734|POLG_EC01F,158,700,75.2,1834.13,0.47495736752352685,0.7420910595289635
43,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10301-DPB10201,O91734|POLG_EC01F,142,708,62.5,1832.86,0.39474515252952697,0.7415772161015064
44,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10401-DPB10201,O91734|POLG_EC01F,123,801,53.55000000000001,1928.12,0.3382176466872988,0.7801195191720243
45,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10103-DPB10301,O91734|POLG_EC01F,143,502,70.78999999999999,1358.35,0.4471041495610434,0.5495899367608443
46,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10201-DPB10301,O91734|POLG_EC01F,19,385,4.979999999999997,752.9300000000001,0.03145329375355269,0.30463632427970894
47,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10202-DPB10301,O91734|POLG_EC01F,32,310,9.169999999999998,642.57,0.05791700877913219,0.25998454423706396
48,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10301-DPB10301,O91734|POLG_EC01F,113,479,52.21,1251.77,0.32975431061706567,0.5064675489668511
49,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10401-DPB10301,O91734|POLG_EC01F,136,502,66.69999999999999,1359.04,0.42127202677951114,0.549869111536392
50,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10103-DPB10401,O91734|POLG_EC01F,76,682,32.01999999999999,1445.48,0.20223583654392718,0.5848428326933893
51,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10201-DPB10401,O91734|POLG_EC01F,66,579,24.990000000000002,1253.6299999999999,0.15783490178740608,0.5072201070574575
52,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10202-DPB10401,O91734|POLG_EC01F,71,464,31.410000000000004,1084.34,0.1983831238552391,0.43872518277855777
53,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10301-DPB10401,O91734|POLG_EC01F,69,574,27.300000000000004,1223.1999999999998,0.1724246826248974,0.4949080948546875
54,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10401-DPB10401,O91734|POLG_EC01F,80,695,33.080000000000005,1487.56,0.20893071433082808,0.6018684479905486
55,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10103-DPB10402,O91734|POLG_EC01F,93,672,41.53,1466.91,0.2623002589528201,0.5935134347803219
56,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10201-DPB10402,O91734|POLG_EC01F,82,499,37.19,1186.51,0.2348891555611697,0.4800632796157908
57,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10202-DPB10402,O91734|POLG_EC01F,77,469,31.79999999999999,1082.5,0.20084633360702325,0.4379807167104311
58,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10301-DPB10402,O91734|POLG_EC01F,82,591,28.160000000000004,1316.79,0.1778563759237037,0.5327747140481557
59,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10401-DPB10402,O91734|POLG_EC01F,99,667,43.12,1476.88,0.2723425756331712,0.5975473079864217
60,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10103-DPB10501,O91734|POLG_EC01F,83,467,38.2,1141.8200000000002,0.2412682372260469,0.46198165538503877
61,Echovirus_1_strain_Farouk_[Enterovirus_B],HLA-DPA10201-DPB10501,O91734|POLG_EC01F,91,526,36.08,1279.1699999999998,0.22787848165224533,0.5175536197639558
