,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Zaire_ebolavirus,HLA-A02:07,P18272|NCAP_EBOZM,8,47,1.637,44.858,0.16902426432627773,0.40892640637392086
1,Zaire_ebolavirus,HLA-A02:07,P60170|VSGP_EBOZM,9,26,2.485,28.956000000000003,0.626733921815889,0.5447567445535615
2,Zaire_ebolavirus,HLA-A02:07,Q05127|VP35_EBOZM,10,28,1.8960000000000004,29.316000000000003,0.35439252336448607,0.6054397885215093
3,Zaire_ebolavirus,HLA-A02:07,Q05128|VP40_EBOZM,9,46,2.047,46.37800000000001,0.2666058869497265,0.5668226983292799
4,Zaire_ebolavirus,HLA-A02:07,Q05318|L_EBOZM,74,260,17.570000000000004,264.397,0.6602036598654796,0.7574391162728071
5,Zaire_ebolavirus,HLA-A02:07,Q05320|VGP_EBOZM,11,41,3.0749999999999997,40.592,0.5793142426525998,0.5431675855055398
6,Zaire_ebolavirus,HLA-A02:07,Q05322|VP24_EBOZM,6,18,1.071,20.126,0.2716205934567588,0.41398745243237683
7,Zaire_ebolavirus,HLA-A02:07,Q05323|VP30_EBOZM,2,20,0.19199999999999995,13.765999999999998,0.05204662510165355,0.31772335956793685
8,Zaire_ebolavirus,HLA-A02:07,Q9YMG2|VSSGP_EBOZM,8,22,2.177,25.163000000000004,0.5675182481751825,0.5432543880481012
9,Zaire_ebolavirus,HLA-A02:03,P18272|NCAP_EBOZM,19,60,4.331999999999999,60.792,0.4472896231285492,0.554181062380922
10,Zaire_ebolavirus,HLA-A02:03,P60170|VSGP_EBOZM,13,31,3.898,39.795,0.9831021437578815,0.7486736651992325
11,Zaire_ebolavirus,HLA-A02:03,Q05127|VP35_EBOZM,6,29,1.425,29.517000000000003,0.2663551401869159,0.6095908799900869
12,Zaire_ebolavirus,HLA-A02:03,Q05128|VP40_EBOZM,7,24,1.492,23.115000000000002,0.19432143787444645,0.2825069358722089
13,Zaire_ebolavirus,HLA-A02:03,Q05318|L_EBOZM,75,237,21.823,257.661,0.8200127757111187,0.7381419612853692
14,Zaire_ebolavirus,HLA-A02:03,Q05320|VGP_EBOZM,16,47,4.336,53.754000000000005,0.8168801808590808,0.7192902638762512
15,Zaire_ebolavirus,HLA-A02:03,Q05322|VP24_EBOZM,7,22,1.564,26.943,0.3966522952066955,0.5542116630669547
16,Zaire_ebolavirus,HLA-A02:03,Q05323|VP30_EBOZM,2,13,0.235,14.077,0.06370290051504472,0.3249013317330995
17,Zaire_ebolavirus,HLA-A02:03,Q9YMG2|VSSGP_EBOZM,11,26,3.286,33.525,0.8566214807090718,0.7237850558086314
18,Zaire_ebolavirus,HLA-A66:01,P18272|NCAP_EBOZM,13,64,3.6639999999999997,61.72,0.3783169850283944,0.5626407285522849
19,Zaire_ebolavirus,HLA-A66:01,P60170|VSGP_EBOZM,8,40,1.9779999999999998,36.86,0.4988650693568726,0.6934567483162133
20,Zaire_ebolavirus,HLA-A66:01,Q05127|VP35_EBOZM,8,39,2.229,38.562,0.41663551401869164,0.7963899960760825
21,Zaire_ebolavirus,HLA-A66:01,Q05128|VP40_EBOZM,6,39,1.5779999999999998,36.327999999999996,0.2055222714248502,0.44399359577614544
22,Zaire_ebolavirus,HLA-A66:01,Q05318|L_EBOZM,62,242,13.846,246.781,0.520272047495585,0.7069731598804814
23,Zaire_ebolavirus,HLA-A66:01,Q05320|VGP_EBOZM,19,65,4.465000000000001,65.54299999999999,0.8411831198191411,0.8770406251672642
24,Zaire_ebolavirus,HLA-A66:01,Q05322|VP24_EBOZM,3,22,0.6839999999999999,17.249999999999996,0.17347197565305605,0.3548287565566182
25,Zaire_ebolavirus,HLA-A66:01,Q05323|VP30_EBOZM,4,22,0.47699999999999987,22.965999999999998,0.12930333423692053,0.5300620859971842
26,Zaire_ebolavirus,HLA-A66:01,Q9YMG2|VSSGP_EBOZM,7,34,1.5230000000000001,32.276,0.3970281543274244,0.696819879531078
27,Zaire_ebolavirus,HLA-A31:08,P18272|NCAP_EBOZM,13,56,2.5180000000000002,55.348,0.2599896747547754,0.5045534517808145
28,Zaire_ebolavirus,HLA-A31:08,P60170|VSGP_EBOZM,14,48,3.825,49.48700000000001,0.9646910466582599,0.9310117771005006
29,Zaire_ebolavirus,HLA-A31:08,Q05127|VP35_EBOZM,3,14,0.664,13.125,0.1241121495327103,0.2710600772392144
30,Zaire_ebolavirus,HLA-A31:08,Q05128|VP40_EBOZM,3,24,0.906,21.255000000000003,0.11799947903099765,0.2597743855489422
31,Zaire_ebolavirus,HLA-A31:08,Q05318|L_EBOZM,100,327,24.637,349.067,0.9257505730282194,1.0
32,Zaire_ebolavirus,HLA-A31:08,Q05320|VGP_EBOZM,12,57,3.4230000000000005,56.957,0.6448756593820649,0.7621500829631216
33,Zaire_ebolavirus,HLA-A31:08,Q05322|VP24_EBOZM,8,28,2.19,27.188000000000002,0.5554146588891707,0.5592512598992081
34,Zaire_ebolavirus,HLA-A31:08,Q05323|VP30_EBOZM,5,16,1.163,16.596,0.3152615885063703,0.38304059824128145
35,Zaire_ebolavirus,HLA-A31:08,Q9YMG2|VSSGP_EBOZM,9,40,2.662,38.988,0.6939520333680916,0.8417280165806688
36,Zaire_ebolavirus,HLA-A02:36,P18272|NCAP_EBOZM,13,59,2.7700000000000005,60.239999999999995,0.28600929272070214,0.5491490195720939
37,Zaire_ebolavirus,HLA-A02:36,P60170|VSGP_EBOZM,11,29,2.8790000000000004,32.066,0.7261034047919295,0.6032659818640178
38,Zaire_ebolavirus,HLA-A02:36,Q05127|VP35_EBOZM,6,30,1.091,31.206000000000003,0.20392523364485982,0.6444724396439561
39,Zaire_ebolavirus,HLA-A02:36,Q05128|VP40_EBOZM,4,33,1.198,26.179000000000002,0.15603021620213595,0.3199545348993535
40,Zaire_ebolavirus,HLA-A02:36,Q05318|L_EBOZM,62,244,17.903,245.315,0.6727163416375456,0.702773393073536
41,Zaire_ebolavirus,HLA-A02:36,Q05320|VGP_EBOZM,13,43,2.920000000000001,43.094,0.5501130369253958,0.5766472193973131
42,Zaire_ebolavirus,HLA-A02:36,Q05322|VP24_EBOZM,7,23,1.311,24.054,0.3324879533350241,0.4947855600123418
43,Zaire_ebolavirus,HLA-A02:36,Q05323|VP30_EBOZM,5,16,0.98,16.225,0.2656546489563567,0.37447780829505856
44,Zaire_ebolavirus,HLA-A02:36,Q9YMG2|VSSGP_EBOZM,10,25,2.5949999999999998,27.796,0.6764859228362877,0.6000993112977395
45,Zaire_ebolavirus,HLA-A68:03,P18272|NCAP_EBOZM,10,51,2.732,48.090999999999994,0.282085699535364,0.43839849767997296
46,Zaire_ebolavirus,HLA-A68:03,P60170|VSGP_EBOZM,10,37,1.9009999999999998,38.964,0.4794451450189155,0.7330398464838018
47,Zaire_ebolavirus,HLA-A68:03,Q05127|VP35_EBOZM,9,31,2.92,36.658,0.5457943925233645,0.7570682142045806
48,Zaire_ebolavirus,HLA-A68:03,Q05128|VP40_EBOZM,4,26,1.3780000000000001,21.377,0.1794738213076322,0.2612654453013285
49,Zaire_ebolavirus,HLA-A68:03,Q05318|L_EBOZM,64,237,14.729,236.93699999999998,0.553451320783076,0.6787722700799559
50,Zaire_ebolavirus,HLA-A68:03,Q05320|VGP_EBOZM,18,69,3.5409999999999995,74.732,0.6671062547098718,1.0
51,Zaire_ebolavirus,HLA-A68:03,Q05322|VP24_EBOZM,5,22,1.0650000000000002,19.656,0.27009890945980225,0.4043196544276457
52,Zaire_ebolavirus,HLA-A68:03,Q05323|VP30_EBOZM,7,30,1.089,29.002000000000002,0.29520195174844127,0.6693747547718514
53,Zaire_ebolavirus,HLA-A68:03,Q9YMG2|VSSGP_EBOZM,6,33,1.445,31.532000000000004,0.3766944734098019,0.6807573565923272
54,Zaire_ebolavirus,HLA-A26:01,P18272|NCAP_EBOZM,24,61,5.807,71.73600000000002,0.599586990191017,0.6539467806776851
55,Zaire_ebolavirus,HLA-A26:01,P60170|VSGP_EBOZM,10,39,2.7110000000000003,42.225,0.6837326607818413,0.794389885991647
56,Zaire_ebolavirus,HLA-A26:01,Q05127|VP35_EBOZM,10,31,1.912,34.711,0.35738317757009347,0.7168583878895519
