,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_respirovirus_1,DRB1_1402,A0A059Q9W0|A0A059Q9W0_9MONO,3,51,0.81,100.82999999999998,0.028056806373397993,0.18135870640502183
1,Human_respirovirus_1,DRB1_1402,A0A059QA59|A0A059QA59_9MONO,3,51,0.81,100.82999999999998,0.028056806373397993,0.18135870640502183
2,Human_respirovirus_1,DRB1_1402,A0A059QA80|A0A059QA80_9MONO,8,79,1.2400000000000002,183.86,0.020401447844685755,0.2212568292859034
3,Human_respirovirus_1,DRB1_1402,A0A059QA96|A0A059QA96_9MONO,22,171,7.969999999999999,382.25,0.09331460016391523,0.3670081514694729
4,Human_respirovirus_1,DRB1_1402,J7FVD7|J7FVD7_9MONO,17,176,3.5299999999999994,377.18999999999994,0.05429098738849583,0.4556645485515475
5,Human_respirovirus_1,DRB1_1402,J7FXG7|J7FXG7_9MONO,44,93,29.090000000000003,333.0,0.7204061416542843,0.6127744143679958
6,Human_respirovirus_1,DRB1_1402,T1UCP9|T1UCP9_9MONO,195,805,96.79,2086.29,0.4348744215303051,0.611214788990288
7,Human_respirovirus_1,DRB1_1402,T1UCW6|T1UCW6_9MONO,5,118,0.4500000000000002,217.05999999999995,0.010323468685478326,0.2340698564696494
8,Human_respirovirus_1,DRB1_1402,T1UDQ5|T1UDQ5_9MONO,3,51,0.81,100.82999999999998,0.028056806373397993,0.2178318354649153
9,Human_respirovirus_1,DRB1_1402,T1UF10|T1UF10_9MONO,3,51,0.81,100.82999999999998,0.028056806373397993,0.2178318354649153
10,Human_respirovirus_1,DRB1_1406,A0A059Q9W0|A0A059Q9W0_9MONO,14,94,2.5600000000000005,224.40999999999997,0.08867336335296157,0.40363688688238564
11,Human_respirovirus_1,DRB1_1406,A0A059QA59|A0A059QA59_9MONO,14,94,2.5600000000000005,224.40999999999997,0.08867336335296157,0.40363688688238564
12,Human_respirovirus_1,DRB1_1406,A0A059QA80|A0A059QA80_9MONO,6,89,1.42,160.67999999999995,0.023362948338269168,0.19336205444174343
13,Human_respirovirus_1,DRB1_1406,A0A059QA96|A0A059QA96_9MONO,29,210,10.469999999999995,515.38,0.12258517737969787,0.49482972165948186
14,Human_respirovirus_1,DRB1_1406,J7FVD7|J7FVD7_9MONO,50,178,23.189999999999998,477.85999999999996,0.35665948938788056,0.5772789871705042
15,Human_respirovirus_1,DRB1_1406,J7FXG7|J7FXG7_9MONO,28,88,13.729999999999999,248.67000000000002,0.3400198117880138,0.45759343429696553
16,Human_respirovirus_1,DRB1_1406,T1UCP9|T1UCP9_9MONO,236,922,128.31,2560.37,0.5764927887855507,0.7501047358167195
