,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Hantaan,DRB1_1402,P05133|NCAP_HANTV,20,96,9.209999999999999,249.36,0.25697544642857145,0.4230886694492518
1,Hantaan,DRB1_1402,P08668|GP_HANTV,10,159,1.9000000000000004,321.51,0.041475660336171144,0.34971066829098496
2,Hantaan,DRB1_1402,P23456|L_HANTV,109,688,51.81999999999999,1560.1399999999999,0.29981485767183513,0.5283702594877978
3,Hantaan,DRB1_1406,P05133|NCAP_HANTV,28,84,10.89,228.34,0.30385044642857145,0.3874240727544199
4,Hantaan,DRB1_1406,P08668|GP_HANTV,10,67,3.45,136.06,0.07531106745252128,0.14799425687434736
5,Hantaan,DRB1_1406,P23456|L_HANTV,62,672,20.02000000000001,1488.7000000000003,0.11582966905808845,0.5041757824935484
6,Hantaan,DRB1_1405,P05133|NCAP_HANTV,6,115,1.6199999999999992,251.26999999999998,0.04520089285714284,0.4263293630594862
7,Hantaan,DRB1_1405,P08668|GP_HANTV,14,111,4.210000000000001,246.82999999999993,0.09190133158698975,0.26848024712843704
8,Hantaan,DRB1_1405,P23456|L_HANTV,98,697,52.23,1604.96,0.30218699375144636,0.543549381252667
9,Hantaan,DRB1_1602,P05133|NCAP_HANTV,29,47,22.42,168.07,0.6255580357142858,0.285164070718382
10,Hantaan,DRB1_1602,P08668|GP_HANTV,46,282,16.229999999999997,606.3499999999999,0.35428945645055654,0.6595348938391923
11,Hantaan,DRB1_1602,P23456|L_HANTV,129,823,44.03,1975.94,0.25474427215922235,0.6691886180293558
12,Hantaan,DRB1_1201,P05133|NCAP_HANTV,17,70,8.33,150.31,0.23242187500000003,0.2550307102378771
13,Hantaan,DRB1_1201,P08668|GP_HANTV,41,187,20.91,454.72,0.4564505566470203,0.49460494256874343
14,Hantaan,DRB1_1201,P23456|L_HANTV,226,709,107.33,2028.15,0.6209789400601712,0.6868704999424264
15,Hantaan,DRB1_0411,P05133|NCAP_HANTV,22,118,6.410000000000002,290.4799999999999,0.1788504464285715,0.49285690047168196
16,Hantaan,DRB1_0411,P08668|GP_HANTV,45,216,22.44,509.12,0.48984937786509497,0.5537765402018795
17,Hantaan,DRB1_0411,P23456|L_HANTV,189,767,77.85,2010.5600000000002,0.4504165702383706,0.6809133211864236
18,Hantaan,DRB1_0405,P05133|NCAP_HANTV,45,174,18.190000000000005,478.40999999999997,0.5075334821428573,0.8117173979436016
19,Hantaan,DRB1_0405,P08668|GP_HANTV,36,220,28.259999999999998,495.1500000000001,0.6168958742632612,0.5385811869126349
20,Hantaan,DRB1_0405,P23456|L_HANTV,249,968,126.17999999999998,2601.76,0.7300393427447348,0.8811341330425301
21,Hantaan,DRB1_0406,P05133|NCAP_HANTV,23,108,6.690000000000001,266.29999999999995,0.18666294642857148,0.45183073738504864
22,Hantaan,DRB1_0406,P08668|GP_HANTV,13,158,3.219999999999999,354.12,0.07029032962235317,0.3851809954751131
23,Hantaan,DRB1_0406,P23456|L_HANTV,129,695,56.120000000000005,1633.6699999999998,0.32469335801897703,0.5532725536281555
24,Hantaan,HLA-DQA10301-DQB10401,P05133|NCAP_HANTV,2,41,0.6499999999999999,67.75999999999999,0.018136160714285712,0.11496827174318774
25,Hantaan,HLA-DQA10301-DQB10401,P08668|GP_HANTV,89,329,42.199999999999996,919.3600000000001,0.9211962453612746,1.0
26,Hantaan,HLA-DQA10301-DQB10401,P23456|L_HANTV,150,621,76.49,1648.26,0.4425480212913676,0.5582137269112757
27,Hantaan,HLA-DQA10303-DQB10401,P05133|NCAP_HANTV,2,41,0.6499999999999999,67.75999999999999,0.018136160714285712,0.11496827174318774
28,Hantaan,HLA-DQA10303-DQB10401,P08668|GP_HANTV,89,329,42.199999999999996,919.3600000000001,0.9211962453612746,1.0
29,Hantaan,HLA-DQA10303-DQB10401,P23456|L_HANTV,150,621,76.49,1648.26,0.4425480212913676,0.5582137269112757
30,Hantaan,DRB1_0101,P05133|NCAP_HANTV,21,86,10.95,194.79000000000002,0.3055245535714286,0.33049984729715975
31,Hantaan,DRB1_0101,P08668|GP_HANTV,74,276,41.56,777.26,0.9072254966164593,0.8454359554472676
