,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Nipah_virus,HLA-A02:07,P0C1C7|W_NIPAV,6,22,2.036,21.353,0.4721706864564008,0.3919419970631425
1,Nipah_virus,HLA-A02:07,Q997F0|L_NIPAV,60,236,14.332,235.281,0.5720900526904039,0.7603051807042035
2,Nipah_virus,HLA-A02:07,Q997F1|C_NIPAV,4,16,0.732,15.231000000000002,0.2684268426842684,0.5987969806573361
3,Nipah_virus,HLA-A02:07,Q997F2|V_NIPAV,6,22,2.036,21.353,0.5074775672981058,0.45089427117427205
4,Nipah_virus,HLA-A02:07,Q9IH62|GLYCP_NIPAV,9,62,2.395,53.376000000000005,0.3686316761582269,0.681068252287198
5,Nipah_virus,HLA-A02:07,Q9IH63|FUS_NIPAV,17,70,4.392,68.933,0.6683914168315326,0.8499543784370301
6,Nipah_virus,HLA-A02:07,Q9IK90|MATRX_NIPAV,10,37,2.501,37.13699999999999,0.6362248791656067,0.7727376766058386
7,Nipah_virus,HLA-A02:07,Q9IK91|PHOSP_NIPAV,13,49,2.968,46.709,0.4434483789033319,0.5213814504336567
8,Nipah_virus,HLA-A02:07,Q9IK92|NCAP_NIPAV,10,41,2.751,40.08800000000001,0.4232958916756424,0.5340224862791072
9,Nipah_virus,HLA-A02:03,P0C1C7|W_NIPAV,3,21,0.45999999999999996,17.809,0.10667903525046384,0.32689060205580034
10,Nipah_virus,HLA-A02:03,Q997F0|L_NIPAV,50,209,12.549000000000001,209.495,0.5009180903720262,0.6769783103252158
11,Nipah_virus,HLA-A02:03,Q997F1|C_NIPAV,3,8,0.936,7.0280000000000005,0.3432343234323433,0.27630130523667246
12,Nipah_virus,HLA-A02:03,Q997F2|V_NIPAV,3,18,0.45999999999999996,16.092,0.11465603190428714,0.33980193002090503
13,Nipah_virus,HLA-A02:03,Q9IH62|GLYCP_NIPAV,18,59,4.907,62.94,0.7552716638448514,0.8031031886794859
14,Nipah_virus,HLA-A02:03,Q9IH63|FUS_NIPAV,23,65,5.784000000000001,73.552,0.8802313194338762,0.9069073512367145
15,Nipah_virus,HLA-A02:03,Q9IK90|MATRX_NIPAV,8,25,2.317,27.719,0.5894174510302722,0.5767702199379929
16,Nipah_virus,HLA-A02:03,Q9IK91|PHOSP_NIPAV,11,42,2.647,39.661,0.3954878230987599,0.44270932166497373
17,Nipah_virus,HLA-A02:03,Q9IK92|NCAP_NIPAV,18,49,4.266,57.065,0.6564086782581936,0.760177439121863
18,Nipah_virus,HLA-A66:01,P0C1C7|W_NIPAV,8,37,0.9820000000000002,37.056000000000004,0.22773654916512068,0.6801762114537446
19,Nipah_virus,HLA-A66:01,Q997F0|L_NIPAV,54,219,13.815000000000001,225.24600000000004,0.5514529778061632,0.7278773072747015
20,Nipah_virus,HLA-A66:01,Q997F1|C_NIPAV,5,13,1.498,14.751,0.5493215988265493,0.5799260890077056
21,Nipah_virus,HLA-A66:01,Q997F2|V_NIPAV,8,37,0.9820000000000002,37.056000000000004,0.2447657028913261,0.7824819984374011
22,Nipah_virus,HLA-A66:01,Q9IH62|GLYCP_NIPAV,11,49,1.8529999999999998,45.769,0.28520855779590576,0.5840042873001492
23,Nipah_virus,HLA-A66:01,Q9IH63|FUS_NIPAV,20,58,4.8229999999999995,58.517999999999994,0.7339826510424593,0.721535843752312
