,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Rotavirus_B,HLA-A02:07,Q45UF0|NSP5_ROTJ1,1,9,0.439,8.117,0.1985526910900045,0.38410940753359835
1,Rotavirus_B,HLA-A02:07,Q45UF1|NSP4_ROTJ1,8,20,1.911,22.411,0.3841206030150754,0.4645922301919649
2,Rotavirus_B,HLA-A02:07,Q45UF2|VP7_ROTJ1,8,24,1.4050000000000002,24.603,0.3764737406216507,0.540986850784995
3,Rotavirus_B,HLA-A02:07,Q45UF4|NSP2_ROTJ1,2,17,0.251,15.353000000000002,0.08070739549839229,0.3733615427640379
4,Rotavirus_B,HLA-A02:07,Q45UF5|VP6_ROTJ1,10,42,2.099,40.405,0.3785392245266006,0.6501625205162039
5,Rotavirus_B,HLA-A02:07,Q45UF6|NSP1N_ROTJ1,2,14,0.5660000000000001,13.383000000000001,0.08669015163118396,0.22105315318291435
6,Rotavirus_B,HLA-A02:07,Q45UF7|VP3_ROTJ1,14,80,3.508,78.904,0.31821480406386066,0.554728309394751
7,Rotavirus_B,HLA-A02:07,Q45UF8|VP4_ROTJ1,17,73,4.468,78.45,0.40430730250656055,0.6219723937810689
8,Rotavirus_B,HLA-A02:07,Q45UF9|VP2_ROTJ1,30,111,6.817,102.01599999999999,0.6177616674218396,0.7291179770864156
9,Rotavirus_B,HLA-A02:07,Q45UG0|RDRP_ROTJ1,25,118,6.055,118.888,0.3926463912846118,0.6169750123251772
10,Rotavirus_B,HLA-A02:07,Q5Y9A9|NSP3_ROTJ1,4,18,0.9219999999999999,17.581000000000003,0.2999349381912817,0.5906800161268648
11,Rotavirus_B,HLA-A02:03,Q45UF0|NSP5_ROTJ1,1,10,0.33299999999999996,7.772,0.1506105834464043,0.367783456369487
12,Rotavirus_B,HLA-A02:03,Q45UF1|NSP4_ROTJ1,8,21,2.55,22.503999999999998,0.5125628140703518,0.46652017081968566
13,Rotavirus_B,HLA-A02:03,Q45UF2|VP7_ROTJ1,6,15,1.2570000000000001,17.503,0.3368167202572348,0.3848674084172567
14,Rotavirus_B,HLA-A02:03,Q45UF4|NSP2_ROTJ1,5,19,1.663,20.928,0.5347266881028939,0.5089370394688845
15,Rotavirus_B,HLA-A02:03,Q45UF5|VP6_ROTJ1,15,40,4.224,45.085,0.7617673579801624,0.7254690567373606
16,Rotavirus_B,HLA-A02:03,Q45UF6|NSP1N_ROTJ1,2,12,0.825,9.593,0.1263593199571144,0.15845198374682037
17,Rotavirus_B,HLA-A02:03,Q45UF7|VP3_ROTJ1,19,68,5.1659999999999995,66.775,0.4686139332365747,0.469456337572677
