,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_coxsackievirus_24A,DRB1_1402,P36290|POLG_CXA24,142,741,51.26999999999998,1831.53,0.3327924185382317,0.6552669144821812
1,Human_coxsackievirus_24A,DRB1_1406,P36290|POLG_CXA24,187,578,103.50999999999999,1671.48,0.6718810852914449,0.5980057887223666
2,Human_coxsackievirus_24A,DRB1_1405,P36290|POLG_CXA24,149,520,91.52,1356.0299999999997,0.5940542645722445,0.4851471687852626
3,Human_coxsackievirus_24A,DRB1_1602,P36290|POLG_CXA24,129,774,47.2,1822.06,0.3063741399454758,0.6518788303775549
4,Human_coxsackievirus_24A,DRB1_1201,P36290|POLG_CXA24,167,683,78.57,1717.94,0.5099961054134752,0.6146277937383053
5,Human_coxsackievirus_24A,DRB1_0411,P36290|POLG_CXA24,144,745,58.91,1807.62,0.3823834869531351,0.6467126282159071
6,Human_coxsackievirus_24A,DRB1_0405,P36290|POLG_CXA24,149,739,75.05,1825.58,0.4871478644683889,0.6531381815970148
7,Human_coxsackievirus_24A,DRB1_0406,P36290|POLG_CXA24,194,951,107.30000000000001,2395.23,0.69648189017266,0.8569419947121559
8,Human_coxsackievirus_24A,HLA-DQA10301-DQB10401,P36290|POLG_CXA24,107,591,48.28,1411.91,0.31338439568999094,0.5051393693941877
9,Human_coxsackievirus_24A,HLA-DQA10303-DQB10401,P36290|POLG_CXA24,107,591,48.28,1411.91,0.31338439568999094,0.5051393693941877
10,Human_coxsackievirus_24A,DRB1_0101,P36290|POLG_CXA24,109,576,54.44,1335.99,0.35336881734389197,0.47797745331992886
11,Human_coxsackievirus_24A,DRB1_0102,P36290|POLG_CXA24,113,575,56.45,1477.77,0.3664156822017396,0.5287021169264674
12,Human_coxsackievirus_24A,DRB1_0301,P36290|POLG_CXA24,140,464,73.31,1236.25,0.47585356354667013,0.4422934503003481
13,Human_coxsackievirus_24A,DRB1_0302,P36290|POLG_CXA24,211,761,104.13,2040.4199999999998,0.6759054913669998,0.730001538412001
14,Human_coxsackievirus_24A,DRB1_0401,P36290|POLG_CXA24,220,811,99.00999999999999,2164.76,0.6426716863559652,0.7744866891584887
15,Human_coxsackievirus_24A,DRB1_0402,P36290|POLG_CXA24,254,735,148.20999999999998,2125.9,0.9620277813838762,0.7605837379118382
16,Human_coxsackievirus_24A,DRB1_0403,P36290|POLG_CXA24,194,951,107.30000000000001,2395.23,0.69648189017266,0.8569419947121559
17,Human_coxsackievirus_24A,DRB1_0404,P36290|POLG_CXA24,192,862,123.63,2225.49,0.8024795534207452,0.7962140753964987
18,Human_coxsackievirus_24A,DRB1_0407,P36290|POLG_CXA24,278,898,143.61,2613.8599999999997,0.9321692846942751,0.9351613007094582
19,Human_coxsackievirus_24A,DRB1_0701,P36290|POLG_CXA24,180,800,98.87,2024.05,0.6417629495001947,0.7241448397010471
20,Human_coxsackievirus_24A,DRB1_0802,P36290|POLG_CXA24,101,547,35.66,1350.9,0.2314682591198234,0.4833118074909931
21,Human_coxsackievirus_24A,DRB1_0804,P36290|POLG_CXA24,112,555,55.02,1282.14,0.3571335843177983,0.4587115262835902
22,Human_coxsackievirus_24A,DRB1_1001,P36290|POLG_CXA24,170,801,83.57000000000001,2058.13,0.5424509931195638,0.7363376492349084
23,Human_coxsackievirus_24A,DRB1_1101,P36290|POLG_CXA24,125,573,57.870000000000005,1453.8199999999997,0.37563287031026876,0.5201335198508812
24,Human_coxsackievirus_24A,DRB1_1102,P36290|POLG_CXA24,207,646,118.75000000000003,1879.6399999999999,0.770803583019603,0.6724792403822416
25,Human_coxsackievirus_24A,DRB1_1104,P36290|POLG_CXA24,103,597,54.230000000000004,1400.3099999999997,0.3520057120602363,0.5009892346936949
26,Human_coxsackievirus_24A,DRB1_1202,P36290|POLG_CXA24,133,631,62.52000000000001,1551.1399999999999,0.4058159158769311,0.5549517189070834
27,Human_coxsackievirus_24A,DRB1_1301,P36290|POLG_CXA24,207,646,118.75000000000003,1879.6399999999999,0.770803583019603,0.6724792403822416
28,Human_coxsackievirus_24A,DRB1_1302,P36290|POLG_CXA24,255,800,154.06,2317.1800000000003,1.0,0.829018028042031
29,Human_coxsackievirus_24A,DRB1_1401,P36290|POLG_CXA24,97,475,57.47,1174.02,0.37303647929378164,0.4200294087131362
30,Human_coxsackievirus_24A,DRB1_1404,P36290|POLG_CXA24,103,532,61.08999999999999,1306.1,0.39653381799298965,0.46728370106150424
31,Human_coxsackievirus_24A,DRB1_1501,P36290|POLG_CXA24,219,1062,90.32999999999998,2609.46,0.5863300012981953,0.9335871116851335
32,Human_coxsackievirus_24A,DRB1_1502,P36290|POLG_CXA24,229,1069,108.94000000000003,2795.09,0.7071270933402573,1.0
33,Human_coxsackievirus_24A,DRB1_1503,P36290|POLG_CXA24,209,883,90.61000000000001,2309.0899999999997,0.5881474750097365,0.8261236668586699
34,Human_coxsackievirus_24A,DRB1_1601,P36290|POLG_CXA24,123,750,52.889999999999986,1743.5100000000002,0.34330780215500445,0.6237759785910293
35,Human_coxsackievirus_24A,HLA-DPA10103-DPB10101,P36290|POLG_CXA24,83,537,42.67000000000001,1270.42,0.2769700116837596,0.45451845915516137
36,Human_coxsackievirus_24A,HLA-DPA10201-DPB10101,P36290|POLG_CXA24,79,369,34.58,904.49,0.2244580033753083,0.3235995978662583
37,Human_coxsackievirus_24A,HLA-DPA10202-DPB10101,P36290|POLG_CXA24,73,356,29.58,854.39,0.19200311566921976,0.3056753092029237
38,Human_coxsackievirus_24A,HLA-DPA10301-DPB10101,P36290|POLG_CXA24,55,431,20.570000000000007,968.4799999999998,0.13351940802284828,0.3464933150632
39,Human_coxsackievirus_24A,HLA-DPA10401-DPB10101,P36290|POLG_CXA24,71,500,35.72,1143.42,0.2318577177722965,0.4090816395894229
40,Human_coxsackievirus_24A,HLA-DPA10103-DPB10201,P36290|POLG_CXA24,87,750,36.57,1694.58,0.23737504868233156,0.6062702811000719
41,Human_coxsackievirus_24A,HLA-DPA10201-DPB10201,P36290|POLG_CXA24,76,640,31.96,1455.7199999999998,0.20745164221731793,0.5208132832932033
42,Human_coxsackievirus_24A,HLA-DPA10202-DPB10201,P36290|POLG_CXA24,98,660,40.23,1529.63,0.26113202648318834,0.5472560811995321
43,Human_coxsackievirus_24A,HLA-DPA10301-DPB10201,P36290|POLG_CXA24,126,711,48.54000000000002,1749.0700000000002,0.31507204985070764,0.6257651810854034
44,Human_coxsackievirus_24A,HLA-DPA10401-DPB10201,P36290|POLG_CXA24,91,725,37.74,1643.94,0.2449694924055563,0.5881527965110247
45,Human_coxsackievirus_24A,HLA-DPA10103-DPB10301,P36290|POLG_CXA24,71,389,43.55,911.1300000000001,0.28268207192003114,0.3259751922120576
46,Human_coxsackievirus_24A,HLA-DPA10201-DPB10301,P36290|POLG_CXA24,70,423,25.609999999999992,1008.1700000000001,0.16623393483058543,0.3606932156030754
47,Human_coxsackievirus_24A,HLA-DPA10202-DPB10301,P36290|POLG_CXA24,57,434,19.730000000000004,979.3799999999999,0.1280669868882254,0.3503930106007319
48,Human_coxsackievirus_24A,HLA-DPA10301-DPB10301,P36290|POLG_CXA24,53,359,29.3,811.7099999999998,0.19018564195767884,0.29040567566697306
49,Human_coxsackievirus_24A,HLA-DPA10401-DPB10301,P36290|POLG_CXA24,69,371,41.16,873.0899999999999,0.2671686355965208,0.312365612556304
50,Human_coxsackievirus_24A,HLA-DPA10103-DPB10401,P36290|POLG_CXA24,150,621,68.71,1582.63,0.44599506685706863,0.5662179035379898
51,Human_coxsackievirus_24A,HLA-DPA10201-DPB10401,P36290|POLG_CXA24,118,588,52.91000000000001,1456.6699999999998,0.343437621705829,0.5211531650143644
52,Human_coxsackievirus_24A,HLA-DPA10202-DPB10401,P36290|POLG_CXA24,102,578,48.69,1335.91,0.3160456964818901,0.4779488317013048
53,Human_coxsackievirus_24A,HLA-DPA10301-DPB10401,P36290|POLG_CXA24,123,635,60.86999999999999,1565.16,0.3951058029339218,0.5599676575709548
54,Human_coxsackievirus_24A,HLA-DPA10401-DPB10401,P36290|POLG_CXA24,150,656,68.95,1643.46,0.4475529014669609,0.5879810667992802
55,Human_coxsackievirus_24A,HLA-DPA10103-DPB10402,P36290|POLG_CXA24,124,687,69.49000000000001,1628.29,0.4510580293392185,0.5825536923676876
56,Human_coxsackievirus_24A,HLA-DPA10201-DPB10402,P36290|POLG_CXA24,115,611,60.99000000000001,1456.81,0.395884720238868,0.5212032528469566
57,Human_coxsackievirus_24A,HLA-DPA10202-DPB10402,P36290|POLG_CXA24,97,597,54.18,1428.98,0.3516811631831754,0.5112465072681023
58,Human_coxsackievirus_24A,HLA-DPA10301-DPB10402,P36290|POLG_CXA24,120,627,65.53999999999999,1551.1799999999998,0.4254186680514085,0.5549660297163954
59,Human_coxsackievirus_24A,HLA-DPA10401-DPB10402,P36290|POLG_CXA24,131,698,67.18,1696.69,0.43606387121900564,0.6070251762912822
60,Human_coxsackievirus_24A,HLA-DPA10103-DPB10501,P36290|POLG_CXA24,170,601,84.13,1674.4,0.5460859405426457,0.5990504778021459
61,Human_coxsackievirus_24A,HLA-DPA10201-DPB10501,P36290|POLG_CXA24,87,599,41.069999999999986,1445.4499999999998,0.26658444761781114,0.5171389830023362
62,Human_coxsackievirus_24A,HLA-DPA10202-DPB10501,P36290|POLG_CXA24,80,609,38.16,1379.6,0.2476957029728677,0.49357981317238436
63,Human_coxsackievirus_24A,HLA-DPA10301-DPB10501,P36290|POLG_CXA24,120,527,60.7,1334.52,0.3940023367519149,0.47745153107771127
64,Human_coxsackievirus_24A,HLA-DPA10401-DPB10501,P36290|POLG_CXA24,149,575,70.53999999999999,1548.18,0.457873555757497,0.5538927190179923
65,Human_coxsackievirus_24A,HLA-DPA10103-DPB10601,P36290|POLG_CXA24,30,400,12.61,851.52,0.08185122679475529,0.30464850863478454
66,Human_coxsackievirus_24A,HLA-DPA10201-DPB10601,P36290|POLG_CXA24,49,463,15.93,1012.0499999999997,0.10340127223159808,0.3620813641063435
