,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_polyomavirus_9,HLA-A02:07,E9NQ88|E9NQ88_9POLY,15,42,3.053,44.56700000000001,0.5501892232834745,0.6840045429430904
1,Human_polyomavirus_9,HLA-A02:07,E9NQ89|E9NQ89_9POLY,8,24,2.265,25.717000000000002,0.5171232876712328,0.5639816662646111
2,Human_polyomavirus_9,HLA-A02:07,E9NQ90|E9NQ90_9POLY,7,36,1.7369999999999999,35.564,0.31789897510980963,0.6026775122860533
3,Human_polyomavirus_9,HLA-A02:07,E9NQ91|E9NQ91_9POLY,22,70,6.206,77.775,0.826364846870839,0.7892814012725925
4,Human_polyomavirus_9,HLA-A02:07,E9NQ92|E9NQ92_9POLY,4,13,1.187,14.768,0.3717507046664579,0.35643086428692106
5,Human_polyomavirus_9,HLA-A02:03,E9NQ88|E9NQ88_9POLY,9,34,2.5810000000000004,40.519999999999996,0.4651288520454137,0.6218920744060408
6,Human_polyomavirus_9,HLA-A02:03,E9NQ89|E9NQ89_9POLY,6,17,1.867,21.564999999999998,0.426255707762557,0.4729270378736375
7,Human_polyomavirus_9,HLA-A02:03,E9NQ90|E9NQ90_9POLY,8,35,2.013,31.372,0.36841142020497797,0.5316387053041858
8,Human_polyomavirus_9,HLA-A02:03,E9NQ91|E9NQ91_9POLY,12,57,2.5729999999999995,56.263,0.34260985352862844,0.5709718994509787
9,Human_polyomavirus_9,HLA-A02:03,E9NQ92|E9NQ92_9POLY,3,17,0.5349999999999999,15.256,0.16755402442843717,0.3682089155986774
10,Human_polyomavirus_9,HLA-A66:01,E9NQ88|E9NQ88_9POLY,8,33,1.9370000000000003,33.421,0.3490719048477204,0.5129381791392964
11,Human_polyomavirus_9,HLA-A66:01,E9NQ89|E9NQ89_9POLY,6,26,1.745,25.34,0.39840182648401823,0.5557139410951994
12,Human_polyomavirus_9,HLA-A66:01,E9NQ90|E9NQ90_9POLY,6,28,2.4530000000000003,28.217,0.4489385065885798,0.4781731909845789
13,Human_polyomavirus_9,HLA-A66:01,E9NQ91|E9NQ91_9POLY,12,59,2.4539999999999997,53.315,0.3267643142476698,0.5410548107855772
14,Human_polyomavirus_9,HLA-A66:01,E9NQ92|E9NQ92_9POLY,1,4,0.09100000000000003,2.3899999999999997,0.028499843407453814,0.05768348900634759
15,Human_polyomavirus_9,HLA-A31:08,E9NQ88|E9NQ88_9POLY,9,41,2.891,41.74999999999999,0.5209947738331231,0.640769844680459
16,Human_polyomavirus_9,HLA-A31:08,E9NQ89|E9NQ89_9POLY,8,35,2.883,38.871,0.6582191780821917,0.8524529046689621
17,Human_polyomavirus_9,HLA-A31:08,E9NQ90|E9NQ90_9POLY,4,23,0.6259999999999999,17.416999999999998,0.1145680819912152,0.2951533638366378
18,Human_polyomavirus_9,HLA-A31:08,E9NQ91|E9NQ91_9POLY,24,67,6.552,79.13300000000001,0.8724367509986685,0.8030627467297212
