,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Rift_Valley,HLA-A02:07,P21401-3|GP_RVFVZ,3,9,0.44500000000000006,7.928000000000001,0.17943548387096778,0.41287365899385486
1,Rift_Valley,HLA-A02:07,P21401-5|GP_RVFVZ,3,8,0.44500000000000006,7.552999999999999,0.17943548387096778,0.39334444328715756
2,Rift_Valley,HLA-A02:07,P21401|GP_RVFVZ,12,73,3.3520000000000003,67.17899999999999,0.28730607696922955,0.46542836952153965
3,Rift_Valley,HLA-A02:07,P21698|NSS_RVFVZ,9,31,1.5959999999999996,31.617,0.39108061749571177,0.7040236923556525
4,Rift_Valley,HLA-A02:07,P21700|NCAP_RVFVZ,6,21,1.843,21.593,0.4650517284885188,0.4912188907593612
5,Rift_Valley,HLA-A02:03,P21401-3|GP_RVFVZ,2,13,0.5509999999999999,11.733,0.22217741935483867,0.6110301010311426
6,Rift_Valley,HLA-A02:03,P21401-5|GP_RVFVZ,2,12,0.5509999999999999,10.645,0.22217741935483867,0.5543693365274451
7,Rift_Valley,HLA-A02:03,P21401|GP_RVFVZ,16,78,3.7490000000000006,72.986,0.32133367618068065,0.5056603250703211
8,Rift_Valley,HLA-A02:03,P21698|NSS_RVFVZ,7,27,1.902,25.103,0.4660622396471453,0.5589748157384934
9,Rift_Valley,HLA-A02:03,P21700|NCAP_RVFVZ,3,22,0.804,22.794,0.2028766086298259,0.5185404249510897
10,Rift_Valley,HLA-A66:01,P21401-3|GP_RVFVZ,4,10,0.8079999999999998,11.987,0.32580645161290317,0.6242578898031456
11,Rift_Valley,HLA-A66:01,P21401-5|GP_RVFVZ,4,10,0.8079999999999998,11.987,0.32580645161290317,0.6242578898031456
12,Rift_Valley,HLA-A66:01,P21401|GP_RVFVZ,25,89,5.805,88.743,0.49755721265106717,0.6148276961022046
13,Rift_Valley,HLA-A66:01,P21698|NSS_RVFVZ,6,21,1.0630000000000002,20.538000000000004,0.26047537368292095,0.4573248123984058
14,Rift_Valley,HLA-A66:01,P21700|NCAP_RVFVZ,9,25,1.8780000000000001,27.689,0.473883421650265,0.629896719595978
15,Rift_Valley,HLA-A31:08,P21401-3|GP_RVFVZ,1,3,0.258,3.395,0.10403225806451613,0.17680449953129884
16,Rift_Valley,HLA-A31:08,P21401-5|GP_RVFVZ,1,3,0.258,3.395,0.10403225806451613,0.17680449953129884
17,Rift_Valley,HLA-A31:08,P21401|GP_RVFVZ,13,84,3.695,78.17500000000001,0.3167052369932288,0.5416106638584435
18,Rift_Valley,HLA-A31:08,P21698|NSS_RVFVZ,4,17,0.7070000000000001,13.793999999999997,0.17324185248713556,0.30715446792402407
19,Rift_Valley,HLA-A31:08,P21700|NCAP_RVFVZ,4,16,1.162,15.631,0.29321221296997224,0.355589426270531
20,Rift_Valley,HLA-A02:36,P21401-3|GP_RVFVZ,1,8,0.435,6.472999999999999,0.17540322580645162,0.3371003020518696
21,Rift_Valley,HLA-A02:36,P21401-5|GP_RVFVZ,1,7,0.435,5.687999999999999,0.17540322580645162,0.2962191438391834
22,Rift_Valley,HLA-A02:36,P21401|GP_RVFVZ,16,68,4.163,66.79100000000001,0.356818376617811,0.46274023472682185
23,Rift_Valley,HLA-A02:36,P21698|NSS_RVFVZ,10,31,2.531,31.165999999999997,0.620191129625092,0.693981161905186
24,Rift_Valley,HLA-A02:36,P21700|NCAP_RVFVZ,4,23,0.7169999999999999,20.467,0.18092354277062828,0.4656035306428864
25,Rift_Valley,HLA-A68:03,P21401-3|GP_RVFVZ,1,14,0.359,13.195999999999998,0.14475806451612902,0.6872200812415373
26,Rift_Valley,HLA-A68:03,P21401-5|GP_RVFVZ,1,13,0.359,12.674,0.14475806451612902,0.6600354129778149
27,Rift_Valley,HLA-A68:03,P21401|GP_RVFVZ,18,90,4.968,90.244,0.42581640524556447,0.6252268979755851
28,Rift_Valley,HLA-A68:03,P21698|NSS_RVFVZ,8,38,2.352,32.916000000000004,0.5763293310463122,0.7329488521231825
29,Rift_Valley,HLA-A68:03,P21700|NCAP_RVFVZ,7,24,1.21,25.546,0.30532424930608126,0.5811456390190637
30,Rift_Valley,HLA-A26:01,P21401-3|GP_RVFVZ,3,7,0.96,7.119999999999999,0.3870967741935484,0.3707947088844912
31,Rift_Valley,HLA-A26:01,P21401-5|GP_RVFVZ,3,7,0.96,7.119999999999999,0.3870967741935484,0.3707947088844912
32,Rift_Valley,HLA-A26:01,P21401|GP_RVFVZ,22,81,5.389,84.23400000000001,0.4619010885403275,0.5835885213872993
33,Rift_Valley,HLA-A26:01,P21698|NSS_RVFVZ,5,17,0.9889999999999999,17.365,0.24234256309728008,0.3866708232202899
34,Rift_Valley,HLA-A26:01,P21700|NCAP_RVFVZ,8,29,2.969,32.08,0.7491799142064093,0.7297875244551617
35,Rift_Valley,HLA-A33:01,P21401-3|GP_RVFVZ,2,6,0.381,6.029,0.1536290322580645,0.31397771065514013
36,Rift_Valley,HLA-A33:01,P21401-5|GP_RVFVZ,2,6,0.381,6.029,0.1536290322580645,0.31397771065514013
37,Rift_Valley,HLA-A33:01,P21401|GP_RVFVZ,14,71,3.282,68.16199999999999,0.28130624839290314,0.47223877288032257
38,Rift_Valley,HLA-A33:01,P21698|NSS_RVFVZ,14,36,4.0809999999999995,43.051,1.0,0.9586274466142645
39,Rift_Valley,HLA-A33:01,P21700|NCAP_RVFVZ,7,32,1.9060000000000001,33.525,0.4809487761796619,0.762659811638382
40,Rift_Valley,HLA-A29:01,P21401-3|GP_RVFVZ,0,4,0.0,2.7680000000000007,0.0,0.1441516508697011
41,Rift_Valley,HLA-A29:01,P21401-5|GP_RVFVZ,0,4,0.0,2.7680000000000007,0.0,0.1441516508697011
42,Rift_Valley,HLA-A29:01,P21401|GP_RVFVZ,15,78,2.4579999999999993,69.857,0.21067969486586094,0.4839820421510621
43,Rift_Valley,HLA-A29:01,P21698|NSS_RVFVZ,4,10,1.014,9.994,0.24846851261945604,0.2225389120220891
44,Rift_Valley,HLA-A29:01,P21700|NCAP_RVFVZ,7,23,2.466,27.924999999999997,0.6222558667676004,0.6352654806861094
45,Rift_Valley,HLA-A24:07,P21401-3|GP_RVFVZ,1,3,0.438,4.304,0.17661290322580644,0.2241433184043329
46,Rift_Valley,HLA-A24:07,P21401-5|GP_RVFVZ,1,3,0.438,4.304,0.17661290322580644,0.2241433184043329
47,Rift_Valley,HLA-A24:07,P21401|GP_RVFVZ,20,79,4.242,81.18800000000002,0.36358961172537935,0.5624852776122713
48,Rift_Valley,HLA-A24:07,P21698|NSS_RVFVZ,4,19,0.4209999999999998,20.153,0.10316098995344275,0.44875192055044644
49,Rift_Valley,HLA-A24:07,P21700|NCAP_RVFVZ,3,12,0.9139999999999999,12.817,0.23063335856674233,0.291573774967014
50,Rift_Valley,HLA-A02:13,P21401-3|GP_RVFVZ,2,10,0.46799999999999997,8.301,0.18870967741935482,0.4322987188834497
51,Rift_Valley,HLA-A02:13,P21401-5|GP_RVFVZ,2,9,0.46799999999999997,7.553000000000001,0.18870967741935482,0.3933444432871577
52,Rift_Valley,HLA-A02:13,P21401|GP_RVFVZ,13,79,3.843,64.211,0.3293905888403189,0.4448655239784395
53,Rift_Valley,HLA-A02:13,P21698|NSS_RVFVZ,6,28,1.8519999999999999,28.033,0.45381034060279346,0.624217862789196
54,Rift_Valley,HLA-A02:13,P21700|NCAP_RVFVZ,6,25,1.1320000000000001,26.337000000000003,0.2856421902599041,0.5991400882660722
55,Rift_Valley,HLA-B15:02,P21401-3|GP_RVFVZ,2,7,0.475,6.655,0.19153225806451613,0.3465784814081867
56,Rift_Valley,HLA-B15:02,P21401-5|GP_RVFVZ,2,7,0.475,6.655,0.19153225806451613,0.3465784814081867
57,Rift_Valley,HLA-B15:02,P21401|GP_RVFVZ,13,90,3.5439999999999996,78.389,0.3037627496357247,0.5430932949050146
58,Rift_Valley,HLA-B15:02,P21698|NSS_RVFVZ,2,22,0.499,16.255,0.12227395246263172,0.36195417399630364
59,Rift_Valley,HLA-B15:02,P21700|NCAP_RVFVZ,11,30,3.495,32.727000000000004,0.8819076457229372,0.7445061194776833
60,Rift_Valley,HLA-B46:01,P21401-3|GP_RVFVZ,3,9,0.831,10.008000000000001,0.3350806451612903,0.5211957087803355
61,Rift_Valley,HLA-B46:01,P21401-5|GP_RVFVZ,3,9,0.831,10.008000000000001,0.3350806451612903,0.5211957087803355
62,Rift_Valley,HLA-B46:01,P21401|GP_RVFVZ,25,96,4.4510000000000005,96.306,0.38150338561755387,0.6672255400518228
63,Rift_Valley,HLA-B46:01,P21698|NSS_RVFVZ,4,16,0.8679999999999999,17.665,0.21269296740994853,0.39335099868623213
64,Rift_Valley,HLA-B46:01,P21700|NCAP_RVFVZ,11,31,2.779,32.032000000000004,0.7012364370426444,0.7286955730469995
65,Rift_Valley,HLA-B38:02,P21401-3|GP_RVFVZ,1,3,0.027000000000000024,3.295,0.010887096774193559,0.17159670867617957
66,Rift_Valley,HLA-B38:02,P21401-5|GP_RVFVZ,0,1,0.0,0.6499999999999999,0.0,0.03385064055827518
67,Rift_Valley,HLA-B38:02,P21401|GP_RVFVZ,18,69,2.595999999999999,66.117,0.2225079283449044,0.4580706397483685
68,Rift_Valley,HLA-B38:02,P21698|NSS_RVFVZ,8,30,2.1790000000000003,32.745000000000005,0.5339377603528548,0.7291411521075954
69,Rift_Valley,HLA-B38:02,P21700|NCAP_RVFVZ,4,23,1.048,20.357999999999997,0.26444612667171336,0.46312389098685103
70,Rift_Valley,HLA-B54:01,P21401-3|GP_RVFVZ,4,10,0.891,11.481000000000002,0.3592741935483871,0.5979064680762421
71,Rift_Valley,HLA-B54:01,P21401-5|GP_RVFVZ,4,10,0.891,11.481000000000002,0.3592741935483871,0.5979064680762421
72,Rift_Valley,HLA-B54:01,P21401|GP_RVFVZ,18,72,4.216,68.02599999999998,0.3613611039684581,0.47129654006567906
